Orthogroup	schistosoma_spindale	opisthorchis_viverrini
OG0000000	SSPN1_67710.1	T265_03248, T265_02413, T265_06638, T265_04635, T265_09917
OG0000000	SSPN1_26510.1	T265_04445
OG0000000	SSPN1_47020.1	T265_08265, T265_07213
OG0000000	SSPN1_61750.1, SSPN1_25780.1	T265_02938, T265_10989
OG0000000	SSPN1_17390.1	T265_10065
OG0000000	SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1	T265_06680
OG0000000	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1	T265_08292, T265_06106, T265_03992, T265_00738
OG0000000	SSPN1_17120.1	T265_00648
OG0000000	SSPN1_8190.1	T265_14052
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	T265_11803
OG0000002	SSPN1_65720.1, SSPN1_61980.1	T265_05040, T265_05430
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	T265_11432
OG0000005	SSPN1_32330.1, SSPN1_34260.1, SSPN1_84120.1, SSPN1_9750.1, SSPN1_10670.1, SSPN1_69880.1, SSPN1_47380.1, SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1	T265_11244
OG0000006	SSPN1_25500.1, SSPN1_88340.1, SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1, SSPN1_29180.1	T265_12134
OG0000006	SSPN1_35780.1, SSPN1_75220.1, SSPN1_10930.1, SSPN1_36210.1, SSPN1_18280.1, SSPN1_68450.1, SSPN1_44910.1, SSPN1_3430.1	T265_06454
OG0000012	SSPN1_39340.1	T265_16252, T265_09012
OG0000014	SSPN1_32740.1	T265_11882
OG0000015	SSPN1_58880.1, SSPN1_58870.1	T265_11957
OG0000015	SSPN1_32590.1	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	SSPN1_42190.1	T265_01476, T265_15570
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	T265_07377
OG0000021	SSPN1_8230.1	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	SSPN1_5730.1, SSPN1_5720.1, SSPN1_5740.1, SSPN1_5750.1, SSPN1_5680.1, SSPN1_5680.2, SSPN1_5700.1	T265_00883
OG0000021	SSPN1_5710.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	T265_03268
OG0000023	SSPN1_44790.1	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001
OG0000023	SSPN1_8610.1	T265_09097
OG0000024	SSPN1_22780.1	T265_04524, T265_12877
OG0000024	SSPN1_88100.1	T265_08845
OG0000024	SSPN1_65160.1	T265_10896, T265_12043, T265_03132
OG0000026	SSPN1_76710.1, SSPN1_76710.2	T265_07485
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	T265_12778, T265_12779, T265_13344, T265_13367
