Orthogroup	schistosoma_intercalatum	schistosoma_turkestanicum
OG0000000	SINT1_5480.1	STRK1_54000.1, STRK1_6720.1
OG0000002	SINT1_48900.1, SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1, SINT1_86910.1, SINT1_86920.1, SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	STRK1_40290.1, STRK1_40290.2
OG0000004	SINT1_82280.1, SINT1_66570.1, SINT1_77150.1, SINT1_1210.1, SINT1_44880.1, SINT1_1220.1, SINT1_37370.1, SINT1_66670.1, SINT1_81820.1, SINT1_77680.1, SINT1_71570.1, SINT1_40360.1, SINT1_17680.1, SINT1_9900.1	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1
OG0000005	SINT1_54080.1, SINT1_10810.1, SINT1_10820.1, SINT1_16870.1, SINT1_29460.1, SINT1_29460.2, SINT1_29460.3, SINT1_29460.4, SINT1_29460.5, SINT1_29460.6, SINT1_29460.7, SINT1_18820.1, SINT1_56920.1	STRK1_81020.1, STRK1_70210.1, STRK1_68120.1
OG0000006	SINT1_40400.1, SINT1_49650.1	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1
OG0000006	SINT1_16380.1	STRK1_1850.1
OG0000006	SINT1_6110.1, SINT1_49590.1, SINT1_9870.1, SINT1_500.1, SINT1_500.3, SINT1_500.2	STRK1_52500.1
OG0000009	SINT1_95730.1, SINT1_75940.1, SINT1_45500.1, SINT1_14510.1, SINT1_51070.1, SINT1_51490.1	STRK1_39640.1
OG0000010	SINT1_7650.1	STRK1_104050.1
OG0000014	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	STRK1_32840.1
