# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SHAE2_31850.1	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.5	4076.1	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.2	4000.2	1861	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.9	3942.9	1834	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.10	3803.9	1807	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.7	3803.7	1806	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.11	3530.0	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.12	3530.0	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.13	3530.0	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.4	3530.0	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SHAE2_31850.6	3530.0	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	SHAE2_102180.1	1327.4	1363	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	SHAE2_36910.2	1195.7	1414	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Duplicated	SHAE2_7120.1	2116.3	1622	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	SHAE2_7120.2	2116.3	1622	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	SHAE2_7120.3	2113.7	1600	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Duplicated	SHAE2_23480.2	522.0	527	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SHAE2_23480.1	515.1	493	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	SHAE2_86090.2	1160.3	1167	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SHAE2_86090.1	1160.2	1167	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Duplicated	SHAE2_16870.1	1017.2	1001	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SHAE2_16870.2	1016.2	1001	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SHAE2_16870.3	937.6	845	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	SHAE2_22960.6	1055.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.2	1054.7	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.7	1034.4	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.1	1034.3	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.8	1002.8	830	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.5	961.3	760	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.9	939.4	717	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SHAE2_22960.10	903.2	680	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Duplicated	SHAE2_4020.4	1802.1	1057	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SHAE2_4020.3	1800.9	1057	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SHAE2_4020.2	1805.4	1039	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SHAE2_4020.8	1755.8	1027	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SHAE2_4020.6	1585.1	878	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	SHAE2_41120.8	1897.6	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.9	1897.6	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.27	1897.3	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.26	1897.2	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.7	1897.1	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.25	1853.3	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.4	1894.1	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.20	1829.9	887	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.17	1829.4	887	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.34	1709.2	854	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.29	1705.9	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.1	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.11	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.33	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.35	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.36	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.5	1705.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.10	1705.6	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.18	1705.6	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.32	1702.4	810	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SHAE2_41120.28	1627.5	741	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	SHAE2_83410.1	805.0	922	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Duplicated	SHAE2_50660.1	1205.9	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SHAE2_50660.5	1204.8	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SHAE2_50660.2	1203.9	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SHAE2_50660.3	1203.9	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SHAE2_50660.4	1203.9	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Duplicated	SHAE2_34950.3	450.9	553	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	SHAE2_34950.7	450.9	553	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	SHAE2_34950.8	450.9	553	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	SHAE2_34950.2	416.4	553	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	SHAE2_34950.4	452.3	504	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	SHAE2_34950.9	452.7	477	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	SHAE2_86180.2	574.5	824	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SHAE2_86180.1	573.6	824	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SHAE2_86180.3	577.3	679	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SHAE2_86180.4	576.9	679	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	SHAE2_28940.1	746.0	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Duplicated	SHAE2_13840.3	233.9	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.1	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.2	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.4	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.5	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.6	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.7	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	SHAE2_13840.8	233.7	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	SHAE2_14430.1	435.0	686	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Duplicated	SHAE2_90970.2	1037.9	854	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
102804at33208	Duplicated	SHAE2_90970.1	1016.4	813	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Duplicated	SHAE2_33760.1	296.6	575	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
103854at33208	Duplicated	SHAE2_33760.2	272.6	550	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Duplicated	SHAE2_10030.1	1271.3	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107151at33208	Duplicated	SHAE2_10030.2	1147.2	723	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107151at33208	Duplicated	SHAE2_10030.4	1157.1	719	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107151at33208	Duplicated	SHAE2_10030.3	1148.1	695	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Duplicated	SHAE2_76120.3	127.6	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.6	127.4	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.7	127.4	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.4	126.9	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.1	126.8	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.2	126.8	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SHAE2_76120.5	126.8	390	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
109109at33208	Duplicated	SHAE2_9970.1	965.9	584	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
109109at33208	Duplicated	SHAE2_9970.2	965.9	584	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
109109at33208	Duplicated	SHAE2_9970.3	965.9	584	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Duplicated	SHAE2_50650.1	639.8	613	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111730at33208	Duplicated	SHAE2_50650.3	608.4	562	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Missing
114954at33208	Missing
115878at33208	Duplicated	SHAE2_57160.1	313.9	248	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	SHAE2_57160.2	281.8	225	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Duplicated	SHAE2_52760.1	1575.8	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	SHAE2_52760.4	1533.7	837	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
