Orthogroup	schistosoma_guineensis	schistosoma_bovis
OG0000000	SGUI1_84060.1, SGUI1_13120.1	SBOV2_46600.1
OG0000000	SGUI1_11720.1	SBOV2_32480.1
OG0000000	SGUI1_65300.1	SBOV2_24640.1
OG0000000	SGUI1_37170.1, SGUI1_93610.1, SGUI1_17850.1, SGUI1_72070.1	SBOV2_45580.1
OG0000000	SGUI1_19340.1, SGUI1_81280.1, SGUI1_26270.1	SBOV2_56410.1
OG0000000	SGUI1_66860.1	SBOV2_38300.1
OG0000000	SGUI1_88850.1, SGUI1_16980.1	SBOV2_95890.1
OG0000000	SGUI1_93570.1	SBOV2_79810.1
OG0000002	SGUI1_40810.1	SBOV2_96700.1
OG0000002	SGUI1_47330.1	SBOV2_18820.1
OG0000002	SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6	SBOV2_57690.1, SBOV2_57690.2
OG0000002	SGUI1_79030.1	SBOV2_83090.1, SBOV2_83090.2
OG0000002	SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1	SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1
OG0000002	SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1	SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1
OG0000002	SGUI1_3520.1, SGUI1_3520.2	SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1
OG0000002	SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3
OG0000003	SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3	SBOV2_12150.1, SBOV2_12150.2
OG0000003	SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2	SBOV2_42190.1
OG0000003	SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1	SBOV2_22620.3
OG0000003	SGUI1_64980.1	SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6
OG0000003	SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1	SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2
OG0000003	SGUI1_22480.1, SGUI1_22480.4	SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3
OG0000003	SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3	SBOV2_67820.1
OG0000003	SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1
OG0000004	SGUI1_94720.1	SBOV2_84080.1
OG0000004	SGUI1_43500.1	SBOV2_45530.3
OG0000004	SGUI1_17400.1	SBOV2_17290.1
OG0000004	SGUI1_69880.1	SBOV2_26620.1, SBOV2_56720.1, SBOV2_56720.2
OG0000004	SGUI1_73310.1	SBOV2_96260.1
OG0000004	SGUI1_89290.1	SBOV2_80040.1
OG0000004	SGUI1_61020.1, SGUI1_55970.1, SGUI1_86110.1, SGUI1_50300.1, SGUI1_74730.1	SBOV2_92090.1
OG0000004	SGUI1_74620.1	SBOV2_31470.1
OG0000004	SGUI1_14570.1, SGUI1_32690.1, SGUI1_78030.1	SBOV2_48210.1
OG0000004	SGUI1_45520.1	SBOV2_48030.1
OG0000004	SGUI1_14050.1, SGUI1_67350.1	SBOV2_45390.1
OG0000004	SGUI1_17760.1	SBOV2_35820.1
OG0000005	SGUI1_46820.1, SGUI1_69540.1	SBOV2_77100.1
OG0000005	SGUI1_48720.1	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1
OG0000005	SGUI1_75960.1, SGUI1_77060.1	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1
OG0000005	SGUI1_24510.1	SBOV2_96430.1
OG0000005	SGUI1_43580.1	SBOV2_22550.1
OG0000006	SGUI1_76880.1	SBOV2_16310.1
OG0000006	SGUI1_58630.1	SBOV2_18200.1
OG0000006	SGUI1_57070.1	SBOV2_32360.1, SBOV2_3690.1
OG0000006	SGUI1_16900.1, SGUI1_94880.1, SGUI1_10300.1, SGUI1_85180.1, SGUI1_51270.1	SBOV2_59330.1, SBOV2_9090.1
OG0000006	SGUI1_74190.1, SGUI1_53820.1	SBOV2_2480.1
OG0000006	SGUI1_46610.1	SBOV2_88050.1, SBOV2_52390.1
OG0000006	SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	SBOV2_58500.1
OG0000006	SGUI1_6200.1, SGUI1_6200.2, SGUI1_6200.3, SGUI1_85990.1, SGUI1_58270.1, SGUI1_82620.1, SGUI1_51360.1, SGUI1_80960.1, SGUI1_25930.1	SBOV2_16520.1, SBOV2_38470.1
OG0000008	SGUI1_53450.1	SBOV2_39270.1
OG0000008	SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1	SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1
OG0000008	SGUI1_29210.1	SBOV2_76140.1, SBOV2_89640.1
OG0000008	SGUI1_47340.1	SBOV2_96210.1
OG0000008	SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1	SBOV2_68530.1
OG0000009	SGUI1_81230.1	SBOV2_1710.1
OG0000009	SGUI1_90400.1	SBOV2_76160.1, SBOV2_59820.1
OG0000009	SGUI1_95330.1	SBOV2_89880.1
OG0000009	SGUI1_18020.1	SBOV2_45750.1
OG0000009	SGUI1_31250.1, SGUI1_53900.1, SGUI1_47730.1, SGUI1_77190.1	SBOV2_10990.1
OG0000010	SGUI1_93490.1, SGUI1_64390.1	SBOV2_95290.1
OG0000010	SGUI1_57400.1, SGUI1_74850.1	SBOV2_81980.1
OG0000010	SGUI1_63390.1	SBOV2_3700.1
OG0000012	SGUI1_40550.1	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23	SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30
OG0000014	SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	SBOV2_29480.34
OG0000015	SGUI1_38090.2, SGUI1_38090.1	SBOV2_29460.1
OG0000015	SGUI1_66240.1	SBOV2_65420.1
OG0000015	SGUI1_38300.1	SBOV2_29300.1
OG0000015	SGUI1_38310.1	SBOV2_29290.1
OG0000015	SGUI1_43650.1	SBOV2_42900.1
OG0000015	SGUI1_42800.1	SBOV2_41990.1
OG0000015	SGUI1_9360.1	SBOV2_9870.1
OG0000016	SGUI1_42920.1, SGUI1_67160.1, SGUI1_62150.1	SBOV2_22430.1
OG0000016	SGUI1_9020.1, SGUI1_41450.1, SGUI1_40870.1	SBOV2_28680.1, SBOV2_47660.1
OG0000016	SGUI1_36950.1	SBOV2_41550.1
OG0000016	SGUI1_17330.1	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1
OG0000018	SGUI1_4330.1, SGUI1_4340.1	SBOV2_2690.1
OG0000019	SGUI1_36590.11	SBOV2_30990.8
OG0000019	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	SBOV2_30990.1
OG0000020	SGUI1_92580.1, SGUI1_92580.3, SGUI1_92580.2	SBOV2_91240.1
OG0000020	SGUI1_92560.1	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1
OG0000020	SGUI1_97000.1, SGUI1_97000.2, SGUI1_97000.3	SBOV2_90950.4, SBOV2_90950.1, SBOV2_90950.2, SBOV2_90950.3
