Orthogroup	opisthorchis_viverrini	trichobilharzia_regenti
OG0000000	T265_05532, T265_09370, T265_05276	TREG1_23840.1, TREG1_9090.1
OG0000000	T265_06680	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1
OG0000000	T265_00989	TREG1_120810.1, TREG1_101180.1
OG0000000	T265_03225, T265_13193, T265_04370	TREG1_1700.1
OG0000000	T265_02479	TREG1_54470.1, TREG1_57330.1, TREG1_122020.1, TREG1_83170.1, TREG1_67330.1, TREG1_28270.1, TREG1_94670.1, TREG1_63770.1, TREG1_77850.1, TREG1_60380.1, TREG1_84470.1, TREG1_100160.1, TREG1_33660.1, TREG1_115050.1, TREG1_139960.1, TREG1_130780.1, TREG1_20970.1
OG0000000	T265_11738, T265_01000, T265_04573	TREG1_99990.1
OG0000002	T265_09025, T265_07095, T265_05988, T265_06278	TREG1_89890.1, TREG1_107140.1, TREG1_107150.1, TREG1_117320.1, TREG1_117320.2, TREG1_117330.1, TREG1_47440.1, TREG1_107140.2, TREG1_117320.3, TREG1_117320.4
OG0000002	T265_05040, T265_05430	TREG1_121520.1
OG0000003	T265_11432	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1
OG0000005	T265_11244	TREG1_46110.1, TREG1_14370.1, TREG1_14340.1, TREG1_14360.1, TREG1_99680.1, TREG1_64910.1, TREG1_122490.1, TREG1_122760.1, TREG1_108730.1, TREG1_108720.1, TREG1_95280.1, TREG1_131120.1, TREG1_106070.1, TREG1_106070.2, TREG1_106070.3, TREG1_116260.1, TREG1_76570.1, TREG1_28720.1, TREG1_18310.1, TREG1_73670.1, TREG1_74020.1, TREG1_99440.1, TREG1_141810.1, TREG1_41640.1, TREG1_137310.1, TREG1_37080.1, TREG1_41740.1, TREG1_102910.1, TREG1_123460.1, TREG1_12660.1, TREG1_26110.1, TREG1_29220.1, TREG1_3350.1, TREG1_6890.1, TREG1_6890.2, TREG1_6890.3, TREG1_42110.1, TREG1_86800.1, TREG1_96080.1, TREG1_126020.1, TREG1_13850.1, TREG1_5810.1, TREG1_38670.1, TREG1_73660.1, TREG1_25020.1, TREG1_99410.1, TREG1_90040.1, TREG1_40850.1, TREG1_28810.1, TREG1_118090.1, TREG1_98260.1, TREG1_140200.1, TREG1_2710.1, TREG1_87850.1, TREG1_65460.1, TREG1_18360.1, TREG1_78590.1
OG0000005	T265_15624, T265_08884, T265_05955, T265_13723	TREG1_47720.1
OG0000006	T265_09181	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000006	T265_02123	TREG1_67830.1, TREG1_131880.1, TREG1_145390.1
OG0000006	T265_05236, T265_11669, T265_00007, T265_10422	TREG1_13060.1
OG0000009	T265_07923	TREG1_75240.1
