Orthogroup	trichobilharzia_regenti	schistosoma_japonicum
OG0000000	TREG1_23840.1, TREG1_9090.1	EWB00_007114
OG0000000	TREG1_132140.1, TREG1_25950.1, TREG1_25950.2	EWB00_004119
OG0000000	TREG1_33440.1, TREG1_3850.1, TREG1_12930.1, TREG1_107930.1, TREG1_1600.1, TREG1_32100.1, TREG1_36580.1, TREG1_132370.1, TREG1_31660.1, TREG1_109700.1, TREG1_124980.1, TREG1_127980.1, TREG1_112710.1, TREG1_50420.1, TREG1_10500.1, TREG1_16100.1, TREG1_41620.1, TREG1_9500.1, TREG1_102660.1, TREG1_124350.1, TREG1_99520.1, TREG1_32950.1, TREG1_112970.1, TREG1_28080.1, TREG1_107600.1, TREG1_10940.1, TREG1_9740.1, TREG1_3720.1, TREG1_60300.1, TREG1_110450.1, TREG1_70540.1, TREG1_17210.1, TREG1_510.1, TREG1_128570.1, TREG1_48170.1, TREG1_138120.1, TREG1_9360.1, TREG1_134960.1, TREG1_32830.1, TREG1_3640.1, TREG1_87350.1, TREG1_61000.1, TREG1_56700.1, TREG1_127940.1, TREG1_120810.1, TREG1_101180.1, TREG1_1700.1, TREG1_59290.1, TREG1_43720.1, TREG1_133770.1, TREG1_31460.1, TREG1_125800.1, TREG1_33040.1, TREG1_35370.1, TREG1_43320.1, TREG1_114470.1, TREG1_143040.1, TREG1_52830.1, TREG1_75910.1, TREG1_54470.1, TREG1_57330.1, TREG1_122020.1, TREG1_83170.1, TREG1_67330.1, TREG1_28270.1, TREG1_94670.1, TREG1_63770.1, TREG1_77850.1, TREG1_60380.1, TREG1_84470.1, TREG1_100160.1, TREG1_33660.1, TREG1_115050.1, TREG1_139960.1, TREG1_130780.1, TREG1_20970.1	EWB00_000722
OG0000000	TREG1_99990.1	EWB00_011331, EWB00_010543
OG0000002	TREG1_121520.1, TREG1_44080.1, TREG1_49960.1	EWB00_000881
OG0000003	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000005	TREG1_47720.1	EWB00_009775
OG0000006	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1	EWB00_004294, EWB00_009952, EWB00_009237, EWB00_009659, EWB00_005592
OG0000006	TREG1_13060.1	EWB00_008091
OG0000006	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1	EWB00_002568
OG0000006	TREG1_113530.1, TREG1_73790.1	EWB00_005576, EWB00_005574
OG0000009	TREG1_75240.1	EWB00_002474.1, EWB00_002474.2
OG0000009	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1	EWB00_004712
OG0000010	TREG1_49980.1, TREG1_51980.1, TREG1_51950.1, TREG1_51990.1, TREG1_134950.1, TREG1_46500.1, TREG1_143760.1, TREG1_139440.1, TREG1_49970.1, TREG1_106200.1, TREG1_14390.1, TREG1_25160.1, TREG1_83450.1, TREG1_4370.1, TREG1_4380.1, TREG1_50630.1, TREG1_137650.1, TREG1_61070.1, TREG1_68140.1, TREG1_98050.1, TREG1_94720.1, TREG1_3360.2, TREG1_80700.1, TREG1_94700.1, TREG1_145500.1, TREG1_16790.1, TREG1_16790.2	EWB00_003501
OG0000010	TREG1_111780.1, TREG1_27850.2, TREG1_34460.1	EWB00_008440
OG0000012	TREG1_45790.1	EWB00_002832
