Orthogroup	schmidtea_mediterranea	schistosoma_mansoni
OG0000000	h1SMcT0000914.1	Smp_130500.1
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	Smp_329770.1, Smp_245810.1, Smp_118710.1, Smp_174140.1
OG0000010	h1SMcT0012568.1	Smp_202350.1, Smp_158940.1, Smp_158710.1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	Smp_154760.1, Smp_154760.2
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	Smp_141630.1
OG0000015	h1SMcT0022961.1	Smp_201030.1, Smp_326390.1, Smp_202130.1, Smp_201060.1, Smp_095520.1, Smp_174520.1, Smp_320310.1, Smp_312630.1, Smp_302860.1, Smp_200180.1, Smp_320210.1, Smp_200190.1, Smp_322950.1
OG0000019	h1SMcT0009829.1	Smp_102690.1, Smp_179320.1
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	Smp_145560.1, Smp_134980.1, Smp_245140.1, Smp_135010.1, Smp_245150.3, Smp_245150.5, Smp_245150.4, Smp_245150.2, Smp_245150.6, Smp_245150.1, Smp_245160.1, Smp_135020.1
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	Smp_163420.1
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	Smp_103790.1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	Smp_027920.1
OG0000024	h1SMcT0004401.1	Smp_103140.1
OG0000024	h1SMcT0004270.1, h1SMcT0004269.2	Smp_090120.1
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	Smp_055780.1, Smp_336100.1, Smp_089200.1, Smp_089200.2
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	Smp_072870.1
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	Smp_307010.1, Smp_307020.1
OG0000029	h1SMcT0004609.1	Smp_183710.1, Smp_306600.1
OG0000030	h1SMcT0022545.1	Smp_174960.1
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	Smp_017010.1
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	Smp_009430.1, Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	Smp_045860.1
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	Smp_157980.1, Smp_157980.2, Smp_308100.1, Smp_308110.1
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	Smp_247180.1, Smp_247170.1, Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1
OG0000047	h1SMcT0019900.1	Smp_076460.1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	Smp_315900.2, Smp_315900.1
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	Smp_343120.1
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	Smp_311520.1, Smp_245890.1
OG0000052	h1SMcT0006122.2	Smp_034920.1
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	Smp_332890.1
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	Smp_130810.1
OG0000052	h1SMcT0021376.1, h1SMcT0004574.1, h1SMcT0022700.1	Smp_303940.1
OG0000052	h1SMcT0000295.1, h1SMcT0000295.3, h1SMcT0000295.2	Smp_159840.1
OG0000053	h1SMcT0001979.5, h1SMcT0001979.3, h1SMcT0001979.1, h1SMcT0001979.4, h1SMcT0001979.2	Smp_075220.1
OG0000054	h1SMcT0003275.1, h1SMcT0022962.1, h1SMcT0010194.2	Smp_106390.1
OG0000055	h1SMcT0011774.1, h1SMcT0011774.2	Smp_309720.1, Smp_309710.1
OG0000056	h1SMcT0017059.1	Smp_168030.1
OG0000058	h1SMcT0009656.1, h1SMcT0006962.1, h1SMcT0018909.1, h1SMcT0018909.7, h1SMcT0018909.5, h1SMcT0018909.3, h1SMcT0018909.2, h1SMcT0018909.6, h1SMcT0018909.4	Smp_247950.1, Smp_247290.1, Smp_054010.1, Smp_150990.1, Smp_150990.2
OG0000060	h1SMcT0004108.1, h1SMcT0004108.3, h1SMcT0004108.2, h1SMcT0004108.4	Smp_123510.1
OG0000061	h1SMcT0012306.1, h1SMcT0012306.2, h1SMcT0012306.3	Smp_212360.2, Smp_212360.1
OG0000062	h1SMcT0003523.1, h1SMcT0003523.3, h1SMcT0003523.4, h1SMcT0003523.5	Smp_332930.1
OG0000063	h1SMcT0008184.2, h1SMcT0008184.1, h1SMcT0008184.3	Smp_171820.1
OG0000064	h1SMcT0005883.5, h1SMcT0005883.1, h1SMcT0005883.2	Smp_332910.1, Smp_332910.2
OG0000066	h1SMcT0014202.2, h1SMcT0008405.3, h1SMcT0008405.6, h1SMcT0008405.4, h1SMcT0008405.2, h1SMcT0008405.5, h1SMcT0008405.1	Smp_040970.1
OG0000068	h1SMcT0006979.1, h1SMcT0006979.2, h1SMcT0006980.1	Smp_002410.1
OG0000068	h1SMcT0007421.1, h1SMcT0007653.1	Smp_041430.1, Smp_301620.1, Smp_009760.1
OG0000068	h1SMcT0008274.1, h1SMcT0013810.1	Smp_034840.1
OG0000069	h1SMcT0019595.1, h1SMcT0019595.2, h1SMcT0019595.3, h1SMcT0019595.4	Smp_155020.1
OG0000070	h1SMcT0020698.1, h1SMcT0020707.3, h1SMcT0020707.4, h1SMcT0020707.1, h1SMcT0020707.5, h1SMcT0020707.6, h1SMcT0020707.7, h1SMcT0020707.2, h1SMcT0020613.1, h1SMcT0020613.8, h1SMcT0020613.2, h1SMcT0020613.3, h1SMcT0020613.4, h1SMcT0020613.10, h1SMcT0020613.13, h1SMcT0020613.7, h1SMcT0020613.12, h1SMcT0020613.9, h1SMcT0020613.6, h1SMcT0020613.5, h1SMcT0020613.11	Smp_315710.1
OG0000072	h1SMcT0006651.3, h1SMcT0006651.1, h1SMcT0006651.2, h1SMcT0006653.1, h1SMcT0006653.2, h1SMcT0006650.4, h1SMcT0006650.1, h1SMcT0006650.3, h1SMcT0006650.2	Smp_343430.1
OG0000073	h1SMcT0007053.3, h1SMcT0007053.1, h1SMcT0007053.2	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1
OG0000074	h1SMcT0000815.1, h1SMcT0000815.2, h1SMcT0005440.1	Smp_152330.1
OG0000074	h1SMcT0005437.1, h1SMcT0005437.3, h1SMcT0005437.2	Smp_164380.1
OG0000074	h1SMcT0008302.1	Smp_085690.1
OG0000075	h1SMcT0017385.1	Smp_246680.1
OG0000076	h1SMcT0001498.5, h1SMcT0001498.4, h1SMcT0001498.3, h1SMcT0001498.1, h1SMcT0001498.2, h1SMcT0008300.2, h1SMcT0008300.1, h1SMcT0008300.4, h1SMcT0008300.6, h1SMcT0008300.3, h1SMcT0008300.7, h1SMcT0008300.5, h1SMcT0001043.1, h1SMcT0001043.2, h1SMcT0016584.1, h1SMcT0016584.2, h1SMcT0018000.4, h1SMcT0018000.1, h1SMcT0018000.5, h1SMcT0018000.2, h1SMcT0018000.3	Smp_141980.1, Smp_141980.2, Smp_141980.3
OG0000076	h1SMcT0013513.1, h1SMcT0013513.2	Smp_134140.2, Smp_134140.1
OG0000077	h1SMcT0023123.1	Smp_244680.1, Smp_244680.2
OG0000078	h1SMcT0023093.1, h1SMcT0023093.4, h1SMcT0023093.3, h1SMcT0023093.2	Smp_092530.1
OG0000079	h1SMcT0006746.1, h1SMcT0006746.2	Smp_129050.1
OG0000079	h1SMcT0015092.5, h1SMcT0015092.6, h1SMcT0015092.1, h1SMcT0015092.2, h1SMcT0015092.10, h1SMcT0015092.4, h1SMcT0015092.3, h1SMcT0015092.7, h1SMcT0019374.3, h1SMcT0019374.1, h1SMcT0019374.2	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3
OG0000080	h1SMcT0013418.1	Smp_165200.3, Smp_165200.1, Smp_165200.2
OG0000087	h1SMcT0020497.1, h1SMcT0020497.2	Smp_245790.1
OG0000088	h1SMcT0010466.1, h1SMcT0010466.2, h1SMcT0010466.3, h1SMcT0010466.7, h1SMcT0010466.5, h1SMcT0010466.6, h1SMcT0010466.4, h1SMcT0005224.1, h1SMcT0022459.1, h1SMcT0022460.1, h1SMcT0022460.2, h1SMcT0022460.3, h1SMcT0022460.4, h1SMcT0022460.5	Smp_028690.1, Smp_028690.2, Smp_131890.1
OG0000090	h1SMcT0002173.1, h1SMcT0006228.1, h1SMcT0007273.1	Smp_310930.1
OG0000091	h1SMcT0012037.2, h1SMcT0012037.1, h1SMcT0012037.4, h1SMcT0012037.3	Smp_146060.1
OG0000092	h1SMcT0021136.11, h1SMcT0021136.4, h1SMcT0021136.6, h1SMcT0021136.2, h1SMcT0021136.1, h1SMcT0021136.7, h1SMcT0021136.8, h1SMcT0021136.9, h1SMcT0021136.10, h1SMcT0021136.3, h1SMcT0021136.5	Smp_180470.1, Smp_180470.2
OG0000092	h1SMcT0002197.1	Smp_064870.1
OG0000093	h1SMcT0011102.1, h1SMcT0021280.1	Smp_049550.1
OG0000093	h1SMcT0016482.1, h1SMcT0003481.1, h1SMcT0003483.1, h1SMcT0016668.1, h1SMcT0009603.1, h1SMcT0009603.2, h1SMcT0009603.3, h1SMcT0009604.1, h1SMcT0009605.1, h1SMcT0009670.1	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1
OG0000094	h1SMcT0012585.1, h1SMcT0012585.2, h1SMcT0012585.3, h1SMcT0012585.4	Smp_128570.1
OG0000095	h1SMcT0021838.1, h1SMcT0021838.2, h1SMcT0011469.2, h1SMcT0011469.1, h1SMcT0011469.3	Smp_162630.1
OG0000096	h1SMcT0000023.4, h1SMcT0011453.2, h1SMcT0011453.4, h1SMcT0011453.3, h1SMcT0011453.1	Smp_005190.2, Smp_005190.1, Smp_005190.3
OG0000097	h1SMcT0003774.1, h1SMcT0003774.2	Smp_168050.1
OG0000098	h1SMcT0007496.1, h1SMcT0005587.1, h1SMcT0015817.1, h1SMcT0019234.1	Smp_072330.1
OG0000098	h1SMcT0011165.1, h1SMcT0011165.2, h1SMcT0011350.1, h1SMcT0006787.1, h1SMcT0006787.6, h1SMcT0006787.2	Smp_340630.1, Smp_340630.2
OG0000099	h1SMcT0013445.1, h1SMcT0008305.1	Smp_000100.1
OG0000099	h1SMcT0010163.1, h1SMcT0020690.1, h1SMcT0020690.2	Smp_317420.1
OG0000102	h1SMcT0005449.1, h1SMcT0005449.3, h1SMcT0005449.8, h1SMcT0005449.6, h1SMcT0005449.9, h1SMcT0005449.10, h1SMcT0005449.4, h1SMcT0005449.14, h1SMcT0005449.5, h1SMcT0005449.13, h1SMcT0005449.2, h1SMcT0005449.12, h1SMcT0005449.15, h1SMcT0005449.11, h1SMcT0005449.7	Smp_036590.1, Smp_138050.1
OG0000104	h1SMcT0000528.1, h1SMcT0000528.2	Smp_006250.1
OG0000105	h1SMcT0022377.1	Smp_019790.1
OG0000107	h1SMcT0017891.1, h1SMcT0017816.5, h1SMcT0017816.1, h1SMcT0017816.2, h1SMcT0004777.4, h1SMcT0008529.1, h1SMcT0022948.1, h1SMcT0021599.1, h1SMcT0021599.2	Smp_089430.1
OG0000107	h1SMcT0011073.1, h1SMcT0007346.1, h1SMcT0007346.2	Smp_046690.3, Smp_046690.1
OG0000108	h1SMcT0014301.3, h1SMcT0014301.4, h1SMcT0014301.5, h1SMcT0020891.1, h1SMcT0011666.3, h1SMcT0011666.1, h1SMcT0011666.2	Smp_093930.1
