Orthogroup	opisthorchis_viverrini	schistosoma_mattheei
OG0000000	T265_02252, T265_00642, T265_02938, T265_10989	SMTH1_29220.1, SMTH1_81860.1
OG0000000	T265_10065	SMTH1_71430.1
OG0000000	T265_06680	SMTH1_77130.1
OG0000000	T265_13971	SMTH1_91240.1
OG0000000	T265_05739, T265_04107	SMTH1_3250.1
OG0000002	T265_11803	SMTH1_69960.1, SMTH1_25620.1, SMTH1_36660.2, SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1, SMTH1_97440.1, SMTH1_97450.1, SMTH1_104900.1, SMTH1_34500.1, SMTH1_36220.1, SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2, SMTH1_107240.1, SMTH1_107250.1, SMTH1_21370.1, SMTH1_61890.1, SMTH1_61890.3
OG0000003	T265_11432	SMTH1_51780.8, SMTH1_51780.9, SMTH1_51780.5, SMTH1_51780.7, SMTH1_51780.1, SMTH1_51780.3, SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4, SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3, SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3
OG0000005	T265_11244	SMTH1_46440.1, SMTH1_59350.1, SMTH1_59350.2, SMTH1_59350.3, SMTH1_59350.4, SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1, SMTH1_15960.1, SMTH1_85750.1, SMTH1_51080.1, SMTH1_73280.1, SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1, SMTH1_45020.1, SMTH1_94040.1, SMTH1_1740.1, SMTH1_70850.1, SMTH1_9590.1, SMTH1_52740.1, SMTH1_52740.2, SMTH1_53770.1, SMTH1_84460.1, SMTH1_30140.1, SMTH1_73580.1, SMTH1_70860.1, SMTH1_84450.1
OG0000006	T265_12134	SMTH1_7160.1, SMTH1_64450.1, SMTH1_70030.1, SMTH1_79670.1, SMTH1_102860.1, SMTH1_102860.2, SMTH1_102860.3, SMTH1_102860.4, SMTH1_92370.1, SMTH1_25140.1, SMTH1_4840.1, SMTH1_57430.1, SMTH1_4850.1
OG0000006	T265_06454	SMTH1_91060.1, SMTH1_35360.1, SMTH1_35950.1, SMTH1_55240.1, SMTH1_12120.1, SMTH1_20980.1
