Orthogroup	schistosoma_margrebowiei	schmidtea_mediterranea
OG0000000	SMRG1_40370.1, SMRG1_39140.1, SMRG1_20840.1, SMRG1_29660.1, SMRG1_80800.1, SMRG1_31050.1, SMRG1_4170.1, SMRG1_66210.1, SMRG1_47530.1, SMRG1_15370.1, SMRG1_22940.1, SMRG1_22940.2, SMRG1_39150.1, SMRG1_77850.1, SMRG1_59880.1, SMRG1_40630.1, SMRG1_53580.1, SMRG1_74230.1, SMRG1_32820.1, SMRG1_35130.1, SMRG1_64020.1, SMRG1_20570.1, SMRG1_63580.1, SMRG1_2750.1, SMRG1_50500.1, SMRG1_86820.1, SMRG1_72600.1, SMRG1_84770.1, SMRG1_11880.1, SMRG1_59440.1, SMRG1_92830.1, SMRG1_65790.1, SMRG1_14040.1, SMRG1_9710.1, SMRG1_72270.1, SMRG1_42550.1, SMRG1_26810.1, SMRG1_30370.1, SMRG1_39800.1, SMRG1_86250.1, SMRG1_75870.1, SMRG1_30640.1, SMRG1_1020.1, SMRG1_8740.1, SMRG1_9520.1, SMRG1_21630.1, SMRG1_10830.1, SMRG1_93580.1, SMRG1_43020.1, SMRG1_35620.1, SMRG1_9090.1, SMRG1_45810.1	h1SMcT0000914.1
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1, SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2	h1SMcT0001934.1
OG0000009	SMRG1_85170.1, SMRG1_1650.1, SMRG1_37020.1, SMRG1_3150.1, SMRG1_93380.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	SMRG1_86940.1, SMRG1_43170.1, SMRG1_77630.1, SMRG1_97900.1, SMRG1_86660.1	h1SMcT0012568.1
OG0000012	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4, SMRG1_40800.59	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	SMRG1_38270.1, SMRG1_66420.1, SMRG1_66430.1, SMRG1_38470.1, SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3, SMRG1_38500.1, SMRG1_43860.1, SMRG1_43920.2, SMRG1_43920.1, SMRG1_43060.2, SMRG1_43060.3, SMRG1_43060.1, SMRG1_43070.1, SMRG1_43080.1, SMRG1_43100.1, SMRG1_9700.1, SMRG1_9780.1	h1SMcT0022961.1
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14	h1SMcT0009829.1
OG0000021	SMRG1_7940.1, SMRG1_7940.2, SMRG1_5610.1, SMRG1_5620.1, SMRG1_5580.1, SMRG1_5580.2, SMRG1_5590.2, SMRG1_5590.4, SMRG1_5590.1, SMRG1_5590.3, SMRG1_5600.1, SMRG1_5560.1, SMRG1_5560.2	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	SMRG1_23720.1	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	SMRG1_64800.1	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	h1SMcT0004401.1
OG0000024	SMRG1_80810.1, SMRG1_80810.2	h1SMcT0004270.1, h1SMcT0004269.2
OG0000026	SMRG1_80090.1, SMRG1_80090.2, SMRG1_72900.1, SMRG1_72830.1	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	SMRG1_71220.2, SMRG1_71220.3, SMRG1_71220.4, SMRG1_71220.1, SMRG1_71220.5	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	SMRG1_58130.1	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	SMRG1_19850.1	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	SMRG1_89280.1, SMRG1_89270.1	h1SMcT0004609.1
