Orthogroup	opisthorchis_viverrini	fasciola_gigantica
OG0000000	T265_01027, T265_06587, T265_07591, T265_13751, T265_06143, T265_11671, T265_15361, T265_02362, T265_13866	FGIG_01283
OG0000000	T265_14019, T265_11185, T265_11456, T265_01508, T265_09381, T265_14925, T265_13796, T265_02918	FGIG_11047
OG0000002	T265_07568	FGIG_02209
OG0000002	T265_08272	FGIG_10285
OG0000002	T265_09025, T265_07095, T265_05988, T265_06278	FGIG_09319
OG0000002	T265_05040, T265_05430	FGIG_11489
OG0000006	T265_05256	FGIG_10502
OG0000012	T265_16252, T265_09012	FGIG_00643
OG0000014	T265_11882	FGIG_02434
OG0000015	T265_11957	FGIG_12126, FGIG_08847
OG0000015	T265_11097	FGIG_09118
OG0000015	T265_01474, T265_01478, T265_01475	FGIG_10861, FGIG_10862
OG0000015	T265_15127	FGIG_07349
OG0000015	T265_11849, T265_12815, T265_15569	FGIG_03654
OG0000016	T265_03236, T265_01417, T265_01172, T265_04970, T265_06892, T265_10724, T265_11118, T265_04026, T265_05485	FGIG_03063
OG0000019	T265_07377	FGIG_11320
OG0000019	T265_13773	FGIG_07515
OG0000021	T265_12492	FGIG_04378
OG0000021	T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	FGIG_04728
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	FGIG_06427, FGIG_06428
OG0000022	T265_03268	FGIG_03596, FGIG_03595
OG0000023	T265_02351, T265_08565, T265_10803	FGIG_12315
OG0000024	T265_04524, T265_12877	FGIG_02542
OG0000024	T265_08845	FGIG_10904
OG0000024	T265_07292	FGIG_02663
OG0000024	T265_01869	FGIG_09065
OG0000024	T265_13526	FGIG_08969
OG0000024	T265_07294	FGIG_02661
OG0000024	T265_14255	FGIG_02664
OG0000024	T265_07098	FGIG_01641
OG0000024	T265_14936, T265_06010, T265_15612, T265_10293	FGIG_07194
OG0000024	T265_10896, T265_12043, T265_03132	FGIG_07662, FGIG_11018, FGIG_08815
OG0000024	T265_04046, T265_04047	FGIG_12230
OG0000026	T265_07485	FGIG_05063
OG0000026	T265_12778, T265_12779	FGIG_06363, FGIG_06362
OG0000026	T265_13344, T265_13367	FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	T265_14036	FGIG_03818
OG0000028	T265_03596	FGIG_11072, FGIG_11155, FGIG_10412
OG0000028	T265_13290	FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	T265_08214	FGIG_01225
OG0000029	T265_00572, T265_00570, T265_00571	FGIG_12390, FGIG_07520
OG0000029	T265_09603	FGIG_11050
OG0000029	T265_11028, T265_15320, T265_05522	FGIG_00115, FGIG_07271, FGIG_00116
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	FGIG_11109
OG0000030	T265_14111	FGIG_03562
OG0000031	T265_06361	FGIG_00219, FGIG_09645
OG0000032	T265_13222	FGIG_04072
OG0000032	T265_02106	FGIG_12421
OG0000032	T265_07146	FGIG_03670
OG0000032	T265_07310	FGIG_06714
OG0000032	T265_01645	FGIG_08039, FGIG_08038
OG0000032	T265_07282	FGIG_12135
OG0000032	T265_07180	FGIG_04371
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999	FGIG_11870
OG0000034	T265_12688, T265_09004, T265_09005	FGIG_10591, FGIG_05132
OG0000035	T265_00972	FGIG_03979, FGIG_03980
OG0000036	T265_15083	FGIG_02104
OG0000037	T265_00630	FGIG_03131, FGIG_03132
OG0000040	T265_01293	FGIG_07013
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	FGIG_05270
OG0000043	T265_02563	FGIG_08366
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	FGIG_02910, FGIG_04537, FGIG_03293
OG0000049	T265_01286	FGIG_07932, FGIG_00477
OG0000049	T265_15552	FGIG_06077
OG0000050	T265_02127, T265_02652	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	T265_08730, T265_12065	FGIG_00994
OG0000052	T265_04421	FGIG_02824
OG0000052	T265_01537, T265_15906, T265_15950	FGIG_00459
OG0000052	T265_02480	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	T265_06797	FGIG_04502, FGIG_12676
OG0000053	T265_11166	FGIG_08393, FGIG_12440
OG0000054	T265_02804	FGIG_05300
OG0000054	T265_07986, T265_11853, T265_10919, T265_14204, T265_16120, T265_07099, T265_09433, T265_08614, T265_13045	FGIG_12516
OG0000055	T265_07023	FGIG_03285, FGIG_05988
OG0000058	T265_07455	FGIG_11220
OG0000058	T265_13746	FGIG_06708
OG0000058	T265_14968, T265_14965, T265_09830, T265_12109, T265_14967	FGIG_10503
OG0000060	T265_13025	FGIG_07684
OG0000061	T265_02884	FGIG_09986
OG0000062	T265_10452	FGIG_00991
OG0000063	T265_09823	FGIG_03231
OG0000064	T265_15306	FGIG_12411, FGIG_06602
OG0000065	T265_05693	FGIG_09064
OG0000065	T265_07607, T265_14333, T265_14334, T265_14335	FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	T265_07972	FGIG_00170
OG0000068	T265_12520	FGIG_12158
OG0000068	T265_06616	FGIG_12079
OG0000068	T265_13582	FGIG_07351
OG0000068	T265_03815	FGIG_05814
OG0000070	T265_10197	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	T265_11263	FGIG_07065
OG0000071	T265_11264	FGIG_07067
OG0000072	T265_13598	FGIG_06022, FGIG_09056
OG0000073	T265_11926	FGIG_05759
OG0000074	T265_06662	FGIG_06125
OG0000074	T265_09755	FGIG_03273
OG0000074	T265_14825	FGIG_07718
OG0000074	T265_13709	FGIG_01338
OG0000075	T265_02596	FGIG_05387
OG0000076	T265_01838	FGIG_04288, FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	T265_09657, T265_14927	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	T265_07170	FGIG_09054
OG0000078	T265_10237, T265_16023	FGIG_04314
OG0000079	T265_03623	FGIG_07135, FGIG_07136
OG0000079	T265_11700	FGIG_05069, FGIG_05070
OG0000080	T265_07150, T265_07149	FGIG_03532
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	FGIG_05277, FGIG_11514
OG0000082	T265_13150	FGIG_06461
OG0000085	T265_03464, T265_13261, T265_16244	FGIG_06241
OG0000086	T265_13900	FGIG_09371
OG0000087	T265_01347, T265_12258	FGIG_03026
OG0000090	T265_02657, T265_14540	FGIG_01258
OG0000091	T265_04053	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	T265_14035, T265_15099	FGIG_06562
OG0000092	T265_03205	FGIG_11548
OG0000093	T265_08704	FGIG_04003
OG0000093	T265_01251, T265_15703	FGIG_05928
OG0000093	T265_06064, T265_06061, T265_06063	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000093	T265_06066	FGIG_00747
OG0000094	T265_06493	FGIG_00948
OG0000095	T265_08487	FGIG_01883
OG0000096	T265_09813	FGIG_03065
OG0000097	T265_02082	FGIG_06823
OG0000098	T265_08810	FGIG_08056
OG0000098	T265_15515	FGIG_08009
OG0000099	T265_01131	FGIG_01162
OG0000099	T265_02321	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	T265_01574	FGIG_11657
OG0000102	T265_05632	FGIG_04726, FGIG_06854
OG0000103	T265_13207	FGIG_06145, FGIG_13990
OG0000105	T265_07815	FGIG_00113
OG0000105	T265_03022	FGIG_06918
OG0000107	T265_07359	FGIG_03366, FGIG_08506
OG0000108	T265_04554, T265_13536	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	T265_08891, T265_08892	FGIG_03667
OG0000110	T265_08890, T265_12894	FGIG_06603
OG0000111	T265_09132	FGIG_04030
OG0000111	T265_08991, T265_14719	FGIG_04347
OG0000112	T265_10678	FGIG_09308, FGIG_06819
OG0000114	T265_15923, T265_05226, T265_11486	FGIG_00156
OG0000115	T265_14637	FGIG_02859
OG0000116	T265_02129	FGIG_03832, FGIG_01693
OG0000117	T265_11206	FGIG_02197
OG0000119	T265_12920	FGIG_05939, FGIG_05940
OG0000120	T265_09108	FGIG_06695
OG0000122	T265_15228, T265_15224	FGIG_06459, FGIG_06458
OG0000123	T265_02792	FGIG_06911
OG0000125	T265_13688	FGIG_12140, FGIG_05136
OG0000127	T265_14567	FGIG_10651, FGIG_01876
OG0000128	T265_14408	FGIG_02928
OG0000129	T265_07587	FGIG_01051
OG0000130	T265_04661	FGIG_06548, FGIG_01370
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	T265_00680	FGIG_04447, FGIG_04446
OG0000133	T265_04893	FGIG_10537
OG0000134	T265_14784	FGIG_03080
OG0000135	T265_07991, T265_11510	FGIG_08997
OG0000136	T265_11527	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	T265_11205	FGIG_10020
OG0000138	T265_13897	FGIG_00536, FGIG_00535
OG0000139	T265_03450	FGIG_04756
OG0000140	T265_06793, T265_05820	FGIG_05800
OG0000142	T265_03704	FGIG_01698
OG0000142	T265_07291, T265_15439	FGIG_06045
OG0000143	T265_04146, T265_13432	FGIG_03125
OG0000144	T265_01304	FGIG_04482
OG0000144	T265_12086	FGIG_02516
OG0000144	T265_06668	FGIG_08902
OG0000144	T265_13782	FGIG_02070
OG0000145	T265_14746	FGIG_06896
OG0000146	T265_07748	FGIG_01365, FGIG_01364
OG0000146	T265_07423, T265_07424	FGIG_07112
OG0000146	T265_08388	FGIG_08174
OG0000146	T265_03861	FGIG_12116
OG0000149	T265_03520	FGIG_08710
OG0000151	T265_06094	FGIG_00898
OG0000152	T265_06135	FGIG_02196
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	FGIG_06246, FGIG_09804, FGIG_09803
OG0000153	T265_01183, T265_12738, T265_12737, T265_01181	FGIG_06247
