Orthogroup	fasciola_gigantica	schistosoma_spindale
OG0000002	FGIG_11489	SSPN1_65720.1, SSPN1_61980.1
OG0000008	FGIG_01604	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1
OG0000009	FGIG_02970	SSPN1_85940.1
OG0000012	FGIG_00643	SSPN1_39340.1
OG0000014	FGIG_02434	SSPN1_32740.1
OG0000015	FGIG_12126, FGIG_08847	SSPN1_58880.1, SSPN1_58870.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SSPN1_32590.1
OG0000015	FGIG_10471, FGIG_07736	SSPN1_32580.1
OG0000015	FGIG_03653	SSPN1_42240.1
OG0000015	FGIG_02432	SSPN1_41450.1
OG0000019	FGIG_11320	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3
OG0000021	FGIG_04378, FGIG_04728	SSPN1_8230.1
OG0000021	FGIG_06427, FGIG_06428	SSPN1_5710.1
OG0000022	FGIG_03596, FGIG_03595	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2
OG0000024	FGIG_02542	SSPN1_22780.1
OG0000024	FGIG_10904	SSPN1_88100.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SSPN1_65160.1
OG0000026	FGIG_05063	SSPN1_76710.1, SSPN1_76710.2
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3
OG0000027	FGIG_03818	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39
