Orthogroup	s.mekongi	fasciola_gigantica
OG0000002	KAK4474259.1	FGIG_11489
OG0000008	KAK4474318.1, KAK4468964.1, KAK4474252.1, KAK4467601.1, KAK4468976.1, KAK4470009.1, KAK4472135.1, KAK4471023.1, KAK4472164.1, KAK4469013.1, KAK4474346.1, KAK4467342.1, KAK4474332.1, KAK4468393.1, KAK4472156.1, KAK4472220.1, KAK4470024.1, KAK4472202.1, KAK4467417.1, KAK4472184.1, KAK4474224.1, KAK4467594.1, KAK4472176.1, KAK4467510.1, KAK4472175.1, KAK4471031.1, KAK4474350.1, KAK4471058.1, KAK4471059.1, KAK4470040.1, KAK4472171.1, KAK4468959.1, KAK4468984.1, KAK4468403.1, KAK4472121.1, KAK4468382.1, KAK4474240.1, KAK4474246.1, KAK4472200.1	FGIG_01604
OG0000012	KAK4473632.1	FGIG_00643
OG0000014	KAK4473936.1	FGIG_02434
OG0000015	KAK4471448.1	FGIG_12126, FGIG_08847
OG0000015	KAK4473954.1, KAK4473955.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	KAK4467362.1, KAK4467363.1	FGIG_03653
OG0000015	KAK4474356.1	FGIG_05368, FGIG_05133
OG0000019	KAK4473983.1, KAK4473981.1	FGIG_11320
OG0000021	KAK4475891.1	FGIG_06427, FGIG_06428
OG0000022	KAK4473037.1	FGIG_03596, FGIG_03595
OG0000023	KAK4468392.1	FGIG_12315
OG0000024	KAK4473313.1	FGIG_02542
OG0000024	KAK4468456.1	FGIG_10904
OG0000024	KAK4471475.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	KAK4470973.1	FGIG_05063
OG0000026	KAK4470239.1, KAK4470240.1, KAK4470216.1	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	KAK4473677.1, KAK4472147.1	FGIG_03818
OG0000028	KAK4470768.1	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	KAK4471130.1	FGIG_01225
OG0000029	KAK4468717.1	FGIG_12390, FGIG_07520
OG0000029	KAK4474996.1	FGIG_04785
