Orthogroup	fasciola_hepatica	schistosoma_mattheei
OG0000000	FhHiC23_g1154.t1, FhHiC23_g7463.t1	SMTH1_29220.1, SMTH1_81860.1
OG0000000	FhHiC23_g12874.t1	SMTH1_10620.1
OG0000000	FhHiC23_g1880.t1	SMTH1_28150.1, SMTH1_41800.1, SMTH1_6790.1, SMTH1_78610.1, SMTH1_23580.1
OG0000000	FhHiC23_g10085.t1	SMTH1_91240.1
OG0000000	FhHiC23_g7392.t1	SMTH1_69400.1
OG0000002	FhHiC23_g8487.t1, FhHiC23_g251.t1	SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1, SMTH1_97440.1, SMTH1_97450.1
OG0000005	FhHiC23_g11333.t1	SMTH1_51080.1
OG0000005	FhHiC23_g13259.t1, FhHiC23_g5281.t1	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1, SMTH1_45020.1
OG0000006	FhHiC23_g7146.t1	SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	FhHiC23_g1683.t1	SMTH1_7160.1, SMTH1_64450.1, SMTH1_70030.1, SMTH1_79670.1, SMTH1_102860.1, SMTH1_102860.2, SMTH1_102860.3, SMTH1_102860.4, SMTH1_92370.1, SMTH1_25140.1, SMTH1_4840.1, SMTH1_57430.1, SMTH1_4850.1
OG0000006	FhHiC23_g7517.t1	SMTH1_12120.1
OG0000006	FhHiC23_g8990.t1	SMTH1_20980.1
OG0000006	FhHiC23_g2201.t1	SMTH1_99630.1, SMTH1_99640.1, SMTH1_66410.1, SMTH1_101460.1, SMTH1_107420.1, SMTH1_65110.1, SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1
OG0000009	FhHiC23_g9345.t1	SMTH1_79490.1
OG0000009	FhHiC23_g7761.t1	SMTH1_140.1
OG0000009	FhHiC23_g11732.t1	SMTH1_70120.1
OG0000009	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1	SMTH1_89240.1, SMTH1_89240.2, SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1
OG0000009	FhHiC23_g5989.t1, FhHiC23_g4650.t1, FhHiC23_g4653.t1, FhHiC23_g4654.t1, FhHiC23_g4651.t1, FhHiC23_g4652.t1	SMTH1_77780.1
OG0000010	FhHiC23_g4046.t1, FhHiC23_g3556.t1	SMTH1_64040.1
OG0000010	FhHiC23_g3228.t1	SMTH1_39190.1
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	SMTH1_45260.1, SMTH1_45270.1
OG0000014	FhHiC23_g14469.t1	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9
OG0000015	FhHiC23_g14476.t1	SMTH1_42330.1
OG0000015	FhHiC23_g13988.t1, FhHiC23_g13993.t1	SMTH1_73160.1, SMTH1_73170.1
OG0000015	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1	SMTH1_42560.1
OG0000015	FhHiC23_g16654.t1, FhHiC23_g14001.t1	SMTH1_42570.3, SMTH1_42570.1, SMTH1_42570.2
OG0000015	FhHiC23_g14206.t1	SMTH1_48670.1
OG0000015	FhHiC23_g14471.t1	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5, SMTH1_47630.2
OG0000015	FhHiC23_g14628.t1, FhHiC23_g13668.t1	SMTH1_11420.1
OG0000016	FhHiC23_g4075.t1	SMTH1_20140.1
OG0000016	FhHiC23_g5367.t1	SMTH1_9350.1, SMTH1_63220.1, SMTH1_13870.1, SMTH1_8830.1, SMTH1_29180.1, SMTH1_25580.1, SMTH1_29560.1, SMTH1_30600.1
OG0000016	FhHiC23_g13246.t1	SMTH1_94700.1
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4, SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000021	FhHiC23_g13529.t1, FhHiC23_g12834.t1	SMTH1_9440.1
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	SMTH1_6690.1, SMTH1_6690.2
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	SMTH1_30110.1
