# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	FGIG_02171	4119.4	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	FGIG_08880	960.7	810	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	FGIG_02550	1226.1	1402	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	FGIG_08657	1723.2	1299	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	FGIG_01636	494.2	487	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	FGIG_06637	931.9	765	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	FGIG_07715	784.4	650	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	FGIG_01937	1059.8	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	FGIG_11075	1335.8	787	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	FGIG_02434	1731.0	855	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Fragmented	FGIG_03392	64.7	194	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	FGIG_11017	711.8	824	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	FGIG_05314	1227.5	869	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	FGIG_08478	270.5	405	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Fragmented	FGIG_06139	401.7	501	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	FGIG_02925	739.1	519	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	FGIG_04668	250.0	436	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Missing
102804at33208	Complete	FGIG_08231	885.4	813	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	FGIG_02090	290.5	571	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	FGIG_06307	1255.0	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Missing
108764at33208	Missing
109109at33208	Fragmented	FGIG_03752	382.1	247	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Missing
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	FGIG_10507	276.5	232	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Complete	FGIG_07329	2693.7	825	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Fragmented	FGIG_10353	120.1	96	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	FGIG_05917	738.5	710	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Missing
123923at33208	Complete	FGIG_06727	233.1	357	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	FGIG_00915	387.1	378	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Complete	FGIG_04659	600.3	440	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	FGIG_11003	126.0	397	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	FGIG_08292	271.4	315	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Complete	FGIG_05895	290.0	363	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Complete	FGIG_04310	1182.6	908	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Missing
132087at33208	Complete	FGIG_00671	360.8	403	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	FGIG_07330	941.4	869	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	FGIG_01167	256.2	411	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
