Orthogroup	s.mekongi	schistosoma_mansoni
OG0000004	KAK4474260.1	Smp_037690.1
OG0000006	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1	Smp_330020.1
OG0000009	KAK4472212.1	Smp_245810.1, Smp_118710.1
OG0000014	KAK4473936.1	Smp_141630.1
OG0000015	KAK4473938.1	Smp_201030.1
OG0000015	KAK4471448.1	Smp_326390.1
OG0000015	KAK4473954.1, KAK4473955.1	Smp_201060.1
OG0000015	KAK4467362.1, KAK4467363.1	Smp_320310.1
OG0000015	KAK4474356.1	Smp_322950.1
OG0000016	KAK4472342.1	Smp_169310.1
OG0000018	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1	Smp_350200.1, Smp_247320.1, Smp_266740.1
OG0000019	KAK4473983.1	Smp_102690.1
OG0000019	KAK4473981.1	Smp_179320.1
OG0000021	KAK4475892.1, KAK4475894.1	Smp_134980.1
OG0000021	KAK4475895.1	Smp_245140.1
OG0000021	KAK4475890.1	Smp_135010.1
OG0000021	KAK4475891.1	Smp_245160.1
OG0000021	KAK4475889.1	Smp_135020.1
OG0000022	KAK4473037.1	Smp_163420.1
OG0000024	KAK4473313.1	Smp_103790.1
OG0000024	KAK4468456.1	Smp_016780.1
OG0000024	KAK4471475.1	Smp_027920.1
OG0000024	KAK4470835.1	Smp_103140.1
OG0000024	KAK4470057.1	Smp_090120.1
OG0000026	KAK4470973.1	Smp_055780.1
OG0000026	KAK4470239.1, KAK4470240.1	Smp_336100.1
OG0000026	KAK4470216.1	Smp_089200.1, Smp_089200.2
OG0000028	KAK4470768.1	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	KAK4471130.1	Smp_072870.1
OG0000029	KAK4468717.1	Smp_203130.1
OG0000029	KAK4468778.1	Smp_202970.1
OG0000029	KAK4474996.1	Smp_307010.1
OG0000029	KAK4474996.1	Smp_307020.1
OG0000029	KAK4468699.1	Smp_183710.1
OG0000029	KAK4468698.1	Smp_306600.1
OG0000030	KAK4476063.1	Smp_174960.1
OG0000031	KAK4475389.1	Smp_017010.1
OG0000032	KAK4476285.1	Smp_079970.1
OG0000032	KAK4470045.1	Smp_313990.1, Smp_164480.1, Smp_078040.1, Smp_313980.1
OG0000034	KAK4468479.1	Smp_009430.1
OG0000034	KAK4468478.1	Smp_308940.1, Smp_308930.1
OG0000034	KAK4471028.1, KAK4471029.1	Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1
OG0000035	KAK4475274.1	Smp_045860.1
OG0000036	KAK4472140.1, KAK4468990.1, KAK4474348.1, KAK4471044.1, KAK4467539.1, KAK4472178.1, KAK4474273.1	Smp_173130.1
OG0000037	KAK4471851.1	Smp_157980.1, Smp_157980.2
OG0000037	KAK4471850.1	Smp_308100.1, Smp_308110.1
OG0000041	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1	Smp_158210.1
OG0000042	KAK4472150.1	Smp_247180.1
OG0000042	KAK4472153.1	Smp_247170.1
OG0000042	KAK4473688.1	Smp_048050.1, Smp_048050.2, Smp_049230.1
OG0000042	KAK4472151.1, KAK4472152.1	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1
OG0000044	KAK4468903.1	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1
OG0000044	KAK4468904.1	Smp_155530.1, Smp_062080.1
OG0000045	KAK4468037.1	Smp_094770.1
OG0000045	KAK4470284.1	Smp_175400.1
OG0000049	KAK4470136.1, KAK4470137.1	Smp_315900.2, Smp_315900.1
OG0000049	KAK4470598.1	Smp_343120.1
OG0000050	KAK4469367.1	Smp_311520.1, Smp_245890.1
OG0000052	KAK4472821.1	Smp_034920.1
OG0000052	KAK4474336.1	Smp_332890.1
OG0000052	KAK4474374.1	Smp_130810.1
OG0000052	KAK4474946.1	Smp_303940.1
OG0000052	KAK4471620.1	Smp_159840.1
OG0000053	KAK4475177.1, KAK4475178.1	Smp_075220.1
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1, KAK4471019.1, KAK4472186.1, KAK4471074.1, KAK4472139.1, KAK4469996.1	Smp_106390.1
OG0000055	KAK4471575.1, KAK4471564.1	Smp_309720.1, Smp_309710.1
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	Smp_168030.1
OG0000058	KAK4468525.1	Smp_247950.1
OG0000058	KAK4470069.1	Smp_247290.1
OG0000058	KAK4470074.1, KAK4470072.1	Smp_054010.1
OG0000058	KAK4470068.1	Smp_150990.1, Smp_150990.2
OG0000060	KAK4471247.1	Smp_123510.1
OG0000061	KAK4469486.1	Smp_212360.2, Smp_212360.1
OG0000062	KAK4475970.1	Smp_332930.1
OG0000063	KAK4473734.1	Smp_171820.1
OG0000064	KAK4475705.1	Smp_332910.1, Smp_332910.2
OG0000065	KAK4473358.1	Smp_085010.1, Smp_085010.2
OG0000065	KAK4473352.1, KAK4473355.1, KAK4473357.1	Smp_067060.1, Smp_103610.1, Smp_344940.1
OG0000066	KAK4473833.1	Smp_040970.1
OG0000067	KAK4471577.1	Smp_000260.1
OG0000068	KAK4469181.1	Smp_002410.1
OG0000068	KAK4467758.1	Smp_041430.1
OG0000068	KAK4473996.1, KAK4473997.1, KAK4473998.1	Smp_301620.1, Smp_009760.1
OG0000068	KAK4472801.1	Smp_034840.1
OG0000069	KAK4474982.1	Smp_155020.1
OG0000070	KAK4472878.1	Smp_315710.1
OG0000071	KAK4472253.1	Smp_033600.1
