# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	FhHiC23_g6229.t1	4123.2	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	FhHiC23_g9226.t1	1599.2	1692	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Duplicated	FhHiC23_g6272.t1	1226.0	1396	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	FhHiC23_g6272.t2	1225.4	1396	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Duplicated	FhHiC23_g11203.t2	2156.6	1616	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	FhHiC23_g11203.t1	2156.5	1587	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	FhHiC23_g15323.t1	528.1	502	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	FhHiC23_g3944.t1	1075.0	1088	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	FhHiC23_g15482.t1	1017.9	939	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	FhHiC23_g15177.t2	1085.4	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	FhHiC23_g15177.t1	1060.8	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	FhHiC23_g12735.t1	1114.6	711	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	FhHiC23_g14469.t1	1697.7	877	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Fragmented	FhHiC23_g9785.t1	63.5	194	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	FhHiC23_g2827.t1	747.9	870	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	FhHiC23_g2067.t1	1226.1	869	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	FhHiC23_g4975.t1	456.7	514	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	FhHiC23_g4241.t2	526.0	663	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	FhHiC23_g4241.t1	524.9	663	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	FhHiC23_g10031.t1	726.0	519	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	FhHiC23_g11079.t1	251.3	446	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	FhHiC23_g11329.t1	424.5	661	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Duplicated	FhHiC23_g4265.t2	1009.6	844	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
102804at33208	Duplicated	FhHiC23_g4265.t1	1003.4	844	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	FhHiC23_g5825.t1	287.9	571	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	FhHiC23_g12933.t1	1255.5	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	FhHiC23_g3370.t1	157.9	404	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
