Orthogroup	fasciola_hepatica	schistosoma_margrebowiei
OG0000000	FhHiC23_g1154.t1, FhHiC23_g7463.t1	SMRG1_59880.1
OG0000000	FhHiC23_g1880.t1	SMRG1_30370.1, SMRG1_39800.1, SMRG1_86250.1
OG0000000	FhHiC23_g11020.t1, FhHiC23_g13776.t1	SMRG1_1020.1
OG0000002	FhHiC23_g8487.t1, FhHiC23_g251.t1	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1
OG0000005	FhHiC23_g11333.t1	SMRG1_22610.1, SMRG1_61910.1, SMRG1_16540.1, SMRG1_16520.1
OG0000005	FhHiC23_g13259.t1, FhHiC23_g5281.t1	SMRG1_43520.1, SMRG1_32650.1, SMRG1_72200.1
OG0000005	FhHiC23_g13492.t1	SMRG1_95200.1, SMRG1_54410.1
OG0000005	FhHiC23_g13673.t1	SMRG1_88960.1
OG0000006	FhHiC23_g7146.t1	SMRG1_14940.1, SMRG1_64070.1
OG0000006	FhHiC23_g1683.t1	SMRG1_96150.1, SMRG1_26330.1
OG0000006	FhHiC23_g2201.t1	SMRG1_90230.1, SMRG1_8290.1, SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1
OG0000009	FhHiC23_g7761.t1	SMRG1_85170.1
OG0000009	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1	SMRG1_37020.1, SMRG1_3150.1
OG0000010	FhHiC23_g77.t1	SMRG1_86940.1
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4, SMRG1_40800.59
OG0000014	FhHiC23_g14469.t1	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8
OG0000015	FhHiC23_g14476.t1	SMRG1_38270.1
OG0000015	FhHiC23_g13988.t1, FhHiC23_g13993.t1	SMRG1_66420.1, SMRG1_66430.1
OG0000015	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1	SMRG1_38470.1
OG0000015	FhHiC23_g16654.t1, FhHiC23_g14001.t1	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3
OG0000015	FhHiC23_g14206.t1	SMRG1_43920.2, SMRG1_43920.1
OG0000015	FhHiC23_g14471.t1	SMRG1_43060.2, SMRG1_43060.3, SMRG1_43060.1, SMRG1_43070.1
OG0000015	FhHiC23_g14628.t1, FhHiC23_g13668.t1	SMRG1_9700.1, SMRG1_9780.1
OG0000016	FhHiC23_g8492.t1	SMRG1_61440.1, SMRG1_72700.1, SMRG1_53180.1, SMRG1_29570.1
OG0000016	FhHiC23_g7639.t1	SMRG1_830.1, SMRG1_81950.1, SMRG1_81990.1, SMRG1_12790.1
OG0000016	FhHiC23_g8033.t1, FhHiC23_g13246.t1	SMRG1_1310.1, SMRG1_1310.2, SMRG1_1310.3, SMRG1_22130.1, SMRG1_22130.2, SMRG1_22140.1, SMRG1_41700.1, SMRG1_72570.1
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14
OG0000021	FhHiC23_g13529.t1, FhHiC23_g12834.t1	SMRG1_7940.1, SMRG1_7940.2
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	SMRG1_5600.1
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6
OG0000023	FhHiC23_g2807.t1, FhHiC23_g14990.t1	SMRG1_41500.1, SMRG1_2960.1
OG0000024	FhHiC23_g8663.t1	SMRG1_23720.1
OG0000024	FhHiC23_g1523.t1	SMRG1_92680.1
OG0000024	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1	SMRG1_64800.1
OG0000026	FhHiC23_g1282.t1	SMRG1_80090.1, SMRG1_80090.2
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	SMRG1_72900.1, SMRG1_72830.1
