Orthogroup	schistosoma_guineensis	trichobilharzia_regenti
OG0000000	SGUI1_95960.1	TREG1_99990.1
OG0000003	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1
OG0000006	SGUI1_76880.1, SGUI1_58630.1, SGUI1_57070.1, SGUI1_16900.1, SGUI1_94880.1, SGUI1_10300.1, SGUI1_85180.1, SGUI1_51270.1	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000008	SGUI1_82730.1	TREG1_49460.1, TREG1_80200.1, TREG1_28990.1, TREG1_24040.1, TREG1_24050.2, TREG1_69260.1, TREG1_101690.1, TREG1_112780.1, TREG1_112780.2, TREG1_125290.1, TREG1_81030.1, TREG1_45350.1, TREG1_64440.1, TREG1_53580.1, TREG1_47690.1, TREG1_28430.1, TREG1_15500.1, TREG1_124510.1, TREG1_6610.1, TREG1_124840.1, TREG1_26660.1, TREG1_105420.1, TREG1_105420.2, TREG1_133880.1, TREG1_87960.1, TREG1_97780.1, TREG1_25690.1, TREG1_98660.1, TREG1_26670.1, TREG1_38720.1, TREG1_71540.1, TREG1_71550.1
OG0000009	SGUI1_81230.1	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1
OG0000009	SGUI1_51380.1	TREG1_11990.1
OG0000009	SGUI1_34150.1	TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1
OG0000009	SGUI1_35110.1	TREG1_113040.1, TREG1_51650.1, TREG1_56290.1, TREG1_73870.1, TREG1_135550.1, TREG1_64950.1, TREG1_106560.1, TREG1_56430.1, TREG1_58610.1, TREG1_14020.1, TREG1_122800.1, TREG1_65930.1
OG0000009	SGUI1_95330.1, SGUI1_18020.1	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2
OG0000009	SGUI1_50410.1	TREG1_103980.1, TREG1_64410.1
OG0000009	SGUI1_31250.1, SGUI1_53900.1, SGUI1_47730.1, SGUI1_77190.1	TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1
OG0000014	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	SGUI1_38090.2, SGUI1_38090.1	TREG1_51330.1
OG0000015	SGUI1_66240.1	TREG1_82570.1
OG0000015	SGUI1_38300.1	TREG1_44970.1
OG0000015	SGUI1_38310.1	TREG1_44960.1
OG0000015	SGUI1_43650.1	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	SGUI1_42800.1	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1
