Orthogroup	schistosoma_intercalatum	schistosoma_japonicum
OG0000000	SINT1_40970.1	EWB00_004119
OG0000000	SINT1_18270.1	EWB00_002406
OG0000000	SINT1_23210.1	EWB00_003688, EWB00_001896
OG0000002	SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1, SINT1_86910.1, SINT1_86920.1, SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000003	SINT1_17140.5, SINT1_17140.1, SINT1_17320.4, SINT1_17320.6, SINT1_17140.7, SINT1_17320.5, SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7, SINT1_17140.4, SINT1_17140.6, SINT1_17140.3, SINT1_890.1, SINT1_17140.2, SINT1_14050.1, SINT1_77110.1, SINT1_64680.5, SINT1_64680.2, SINT1_86810.1, SINT1_75910.6, SINT1_75910.5, SINT1_75910.4, SINT1_75910.1, SINT1_75910.2, SINT1_75910.3, SINT1_75910.8, SINT1_75910.7, SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2, SINT1_21700.1, SINT1_21700.2, SINT1_48210.2, SINT1_94580.1, SINT1_48210.1, SINT1_34760.1, SINT1_34760.2	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	SINT1_82280.1, SINT1_66570.1, SINT1_77150.1, SINT1_1210.1, SINT1_44880.1, SINT1_1220.1, SINT1_37370.1, SINT1_66670.1, SINT1_81820.1, SINT1_77680.1, SINT1_71570.1, SINT1_40360.1, SINT1_17680.1, SINT1_9900.1	EWB00_009940
OG0000005	SINT1_18860.1	EWB00_000895
OG0000006	SINT1_40400.1, SINT1_49650.1	EWB00_004294, EWB00_009952
OG0000006	SINT1_8460.1, SINT1_94400.1, SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1	EWB00_002568
OG0000008	SINT1_83680.1, SINT1_92450.1, SINT1_22730.1	EWB00_003269
OG0000009	SINT1_95730.1	EWB00_004712
OG0000010	SINT1_9310.1, SINT1_54220.1	EWB00_004604
OG0000014	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	SINT1_65310.1	EWB00_008878
OG0000015	SINT1_65320.1	EWB00_008877
OG0000015	SINT1_38460.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	SINT1_38470.1, SINT1_38470.2	EWB00_004377.1, EWB00_004377.2
OG0000015	SINT1_43670.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	SINT1_42780.1	EWB00_006401.1, EWB00_006401.2
OG0000015	SINT1_10280.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	SINT1_81200.1, SINT1_81200.2, SINT1_75920.1, SINT1_75920.2, SINT1_2600.1, SINT1_96520.4, SINT1_67830.2, SINT1_67830.3, SINT1_67830.4, SINT1_67830.5, SINT1_22160.8, SINT1_22160.9, SINT1_96520.1, SINT1_96520.3, SINT1_67830.1, SINT1_67830.6, SINT1_96520.2, SINT1_63310.1, SINT1_22160.7, SINT1_22160.13, SINT1_22160.4, SINT1_22160.5, SINT1_22160.1, SINT1_22160.10, SINT1_22160.11, SINT1_22160.12, SINT1_22160.2, SINT1_22160.3, SINT1_22160.6, SINT1_20820.1, SINT1_20830.1	EWB00_010090
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5	EWB00_004344
OG0000019	SINT1_36670.11	EWB00_004346
OG0000021	SINT1_8390.1	EWB00_010539
OG0000021	SINT1_5840.1, SINT1_5850.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	SINT1_5860.1	EWB00_010822
OG0000021	SINT1_5810.2, SINT1_5810.1	EWB00_002049
OG0000021	SINT1_5820.1	EWB00_002050.1, EWB00_002050.2
OG0000021	SINT1_5830.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
