Orthogroup	fasciola_gigantica	opisthorchis_viverrini
OG0000000	FGIG_01283	T265_01027, T265_06587, T265_07591, T265_13751, T265_06143, T265_11671, T265_15361, T265_02362, T265_13866
OG0000000	FGIG_11047	T265_14019, T265_11185, T265_11456, T265_01508, T265_09381, T265_14925, T265_13796, T265_02918
OG0000002	FGIG_02209	T265_07568
OG0000002	FGIG_10285	T265_08272
OG0000002	FGIG_09319	T265_09025, T265_07095, T265_05988, T265_06278
OG0000002	FGIG_11489	T265_05040, T265_05430
OG0000006	FGIG_10502	T265_05256
OG0000012	FGIG_00643	T265_16252, T265_09012
OG0000014	FGIG_02434	T265_11882
OG0000015	FGIG_12126, FGIG_08847	T265_11957
OG0000015	FGIG_09118	T265_11097
OG0000015	FGIG_10861, FGIG_10862	T265_01474, T265_01478, T265_01475
OG0000015	FGIG_07349	T265_15127
OG0000015	FGIG_03654	T265_11849, T265_12815, T265_15569
OG0000016	FGIG_03063	T265_03236, T265_01417, T265_01172, T265_04970, T265_06892, T265_10724, T265_11118, T265_04026, T265_05485
OG0000019	FGIG_11320	T265_07377
OG0000019	FGIG_07515	T265_13773
OG0000021	FGIG_04378	T265_12492
OG0000021	FGIG_04728	T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	FGIG_06427, FGIG_06428	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	FGIG_03596, FGIG_03595	T265_03268
OG0000023	FGIG_12315	T265_02351, T265_08565, T265_10803
OG0000024	FGIG_02542	T265_04524, T265_12877
OG0000024	FGIG_10904	T265_08845
OG0000024	FGIG_02663	T265_07292
OG0000024	FGIG_09065	T265_01869
OG0000024	FGIG_08969	T265_13526
OG0000024	FGIG_02661	T265_07294
OG0000024	FGIG_02664	T265_14255
OG0000024	FGIG_01641	T265_07098
OG0000024	FGIG_07194	T265_14936, T265_06010, T265_15612, T265_10293
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	T265_10896, T265_12043, T265_03132
OG0000024	FGIG_12230	T265_04046, T265_04047
OG0000026	FGIG_05063	T265_07485
OG0000026	FGIG_06363, FGIG_06362	T265_12778, T265_12779
OG0000026	FGIG_05048, FGIG_08063, FGIG_04998	T265_13344, T265_13367
OG0000027	FGIG_03818	T265_14036
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412	T265_03596
OG0000028	FGIG_10120, FGIG_11071, FGIG_07777	T265_13290
OG0000029	FGIG_01225	T265_08214
OG0000029	FGIG_12390, FGIG_07520	T265_00572, T265_00570, T265_00571
OG0000029	FGIG_11050	T265_09603
OG0000029	FGIG_00115, FGIG_07271, FGIG_00116	T265_11028, T265_15320, T265_05522
OG0000029	FGIG_11109	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	FGIG_03562	T265_14111
OG0000031	FGIG_00219, FGIG_09645	T265_06361
OG0000032	FGIG_04072	T265_13222
OG0000032	FGIG_12421	T265_02106
OG0000032	FGIG_03670	T265_07146
OG0000032	FGIG_06714	T265_07310
OG0000032	FGIG_08039, FGIG_08038	T265_01645
OG0000032	FGIG_12135	T265_07282
OG0000032	FGIG_04371	T265_07180
OG0000034	FGIG_11870	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999
OG0000034	FGIG_10591, FGIG_05132	T265_12688, T265_09004, T265_09005
OG0000035	FGIG_03979, FGIG_03980	T265_00972
OG0000036	FGIG_02104	T265_15083
OG0000037	FGIG_03131, FGIG_03132	T265_00630
OG0000040	FGIG_07013	T265_01293
OG0000042	FGIG_05270	T265_12048, T265_11239, T265_15548, T265_15551
