Orthogroup	fasciola_gigantica	schistosoma_bovis
OG0000002	FGIG_02209	SBOV2_96700.1
OG0000002	FGIG_11489	SBOV2_50780.1, SBOV2_50780.2
OG0000008	FGIG_01604	SBOV2_39270.1, SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1, SBOV2_68530.1
OG0000010	FGIG_10402	SBOV2_81980.1
OG0000012	FGIG_00643	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29
OG0000014	FGIG_02434	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20
OG0000015	FGIG_12126, FGIG_08847	SBOV2_65410.1, SBOV2_65420.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SBOV2_29300.1
OG0000015	FGIG_10471, FGIG_07736	SBOV2_29290.1
OG0000015	FGIG_03653	SBOV2_42900.1
OG0000015	FGIG_02432	SBOV2_41940.1, SBOV2_41950.1, SBOV2_41990.2, SBOV2_41960.1
OG0000015	FGIG_05368, FGIG_05133	SBOV2_9870.1
OG0000019	FGIG_11320	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9, SBOV2_30990.6, SBOV2_30990.1
OG0000021	FGIG_04378, FGIG_04728	SBOV2_7110.1
OG0000021	FGIG_06427, FGIG_06428	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2
OG0000022	FGIG_03596, FGIG_03595	SBOV2_40340.1
OG0000024	FGIG_02542	SBOV2_23240.1
OG0000024	FGIG_10904	SBOV2_90560.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SBOV2_63690.1
OG0000026	FGIG_05063	SBOV2_78760.1
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3
OG0000027	FGIG_03818	SBOV2_27780.13, SBOV2_27780.29, SBOV2_27780.35, SBOV2_27780.15, SBOV2_27780.14, SBOV2_27780.30, SBOV2_27780.34, SBOV2_27780.12, SBOV2_27780.2, SBOV2_27780.20, SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31, SBOV2_27780.1, SBOV2_27780.3, SBOV2_27780.10, SBOV2_27780.11, SBOV2_27780.21, SBOV2_27780.4, SBOV2_27780.17, SBOV2_27780.5, SBOV2_27780.8, SBOV2_27780.27, SBOV2_27780.32, SBOV2_27780.23, SBOV2_27780.22, SBOV2_27780.25, SBOV2_27780.19, SBOV2_27780.6, SBOV2_27780.7, SBOV2_27780.9, SBOV2_27780.18, SBOV2_27780.16
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4
OG0000029	FGIG_01225	SBOV2_57030.1
OG0000029	FGIG_12390, FGIG_07520	SBOV2_86480.1
OG0000029	FGIG_04785	SBOV2_19870.1, SBOV2_19870.2, SBOV2_19870.3, SBOV2_19870.4
OG0000029	FGIG_11109	SBOV2_87380.1, SBOV2_87370.2, SBOV2_87370.1
OG0000030	FGIG_03562	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52
OG0000031	FGIG_00219, FGIG_09645	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12
OG0000032	FGIG_12135	SBOV2_9410.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SBOV2_90790.1, SBOV2_90780.1, SBOV2_90770.1, SBOV2_56880.1, SBOV2_56890.1, SBOV2_56930.1, SBOV2_56900.1
