Orthogroup	schistosoma_bovis	opisthorchis_viverrini
OG0000000	SBOV2_53930.1	T265_03248, T265_02413, T265_06638, T265_04635, T265_09917
OG0000000	SBOV2_46600.1	T265_02252, T265_00642, T265_02938, T265_10989
OG0000000	SBOV2_45580.1	T265_06680
OG0000000	SBOV2_62110.1	T265_08292
OG0000000	SBOV2_9250.1	T265_05764
OG0000002	SBOV2_96700.1	T265_07568
OG0000002	SBOV2_81170.1, SBOV2_81170.2, SBOV2_81170.3, SBOV2_81170.4, SBOV2_81170.5, SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4, SBOV2_66570.1, SBOV2_20750.1, SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1, SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1, SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3	T265_11803
OG0000002	SBOV2_50780.1, SBOV2_50780.2	T265_05040, T265_05430
OG0000003	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1	T265_11432
OG0000005	SBOV2_77100.1, SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1, SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1	T265_11244
