Orthogroup	s.mekongi	schmidtea_mediterranea
OG0000000	KAK4468373.1, KAK4474313.1, KAK4474221.1, KAK4467292.1	h1SMcT0000914.1
OG0000002	KAK4474338.1, KAK4468963.1, KAK4474300.1, KAK4474292.1, KAK4468401.1, KAK4470013.1, KAK4468389.1, KAK4468387.1, KAK4467415.1, KAK4471035.1, KAK4467347.1, KAK4467348.1, KAK4471052.1, KAK4472162.1, KAK4474339.1, KAK4467259.1, KAK4474249.1, KAK4468977.1, KAK4472141.1, KAK4468395.1, KAK4472211.1, KAK4472207.1, KAK4472132.1, KAK4470048.1, KAK4471020.1, KAK4468378.1, KAK4474245.1, KAK4472226.1, KAK4472138.1, KAK4468396.1, KAK4470000.1, KAK4471084.1, KAK4474337.1, KAK4467315.1, KAK4472136.1, KAK4474259.1	h1SMcT0001934.1
OG0000005	KAK4467571.1, KAK4474250.1	h1SMcT0015150.1
OG0000005	KAK4467977.1, KAK4468999.1	h1SMcT0002504.1
OG0000008	KAK4472164.1, KAK4469013.1, KAK4474346.1, KAK4467342.1, KAK4474332.1, KAK4468393.1, KAK4472156.1, KAK4472220.1, KAK4470024.1, KAK4472202.1, KAK4467417.1, KAK4472184.1, KAK4474224.1, KAK4467594.1, KAK4472176.1, KAK4467510.1, KAK4472175.1, KAK4471031.1, KAK4474350.1, KAK4471058.1, KAK4471059.1	h1SMcT0006744.1, h1SMcT0007054.1, h1SMcT0007054.2
OG0000009	KAK4471529.1, KAK4471801.1, KAK4469289.1, KAK4472212.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000012	KAK4473632.1	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	KAK4473936.1	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	KAK4473938.1, KAK4471448.1, KAK4473954.1, KAK4473955.1, KAK4467362.1, KAK4467363.1, KAK4474356.1	h1SMcT0022961.1
OG0000019	KAK4473983.1, KAK4473981.1	h1SMcT0009829.1
OG0000021	KAK4475892.1, KAK4475894.1, KAK4475895.1, KAK4475890.1, KAK4475891.1, KAK4475889.1	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	KAK4473037.1	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	KAK4473313.1	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	KAK4471475.1	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	KAK4470835.1	h1SMcT0004401.1
OG0000024	KAK4470057.1	h1SMcT0004270.1, h1SMcT0004269.2
OG0000026	KAK4470973.1, KAK4470239.1, KAK4470240.1, KAK4470216.1	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3
OG0000028	KAK4470768.1	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3
OG0000029	KAK4471130.1	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3
OG0000029	KAK4474996.1	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1
OG0000029	KAK4468699.1, KAK4468698.1	h1SMcT0004609.1
OG0000030	KAK4476063.1	h1SMcT0022545.1
