# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SBOV2_38050.1	4076.1	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SBOV2_38050.2	3995.6	1899	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	SBOV2_95670.1	1493.8	1684	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Duplicated	SBOV2_33560.2	1194.8	1410	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SBOV2_33560.1	1194.1	1404	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SBOV2_33560.3	1190.9	1381	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SBOV2_6520.1	2114.4	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Duplicated	SBOV2_19260.3	524.4	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SBOV2_19260.5	524.4	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SBOV2_19260.4	523.4	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SBOV2_19260.2	523.2	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	SBOV2_80870.1	1163.8	1176	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SBOV2_80870.2	1133.0	1134	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Duplicated	SBOV2_14650.2	1020.9	1001	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SBOV2_14650.1	1020.6	1001	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SBOV2_14650.3	1005.7	934	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	SBOV2_19790.1	1053.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.5	1053.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.6	1053.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.7	1053.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.8	1053.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.3	1040.0	886	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.2	1033.1	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SBOV2_19790.4	1033.1	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Duplicated	SBOV2_3530.1	1806.0	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SBOV2_3530.5	1780.0	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SBOV2_3530.4	1756.3	1008	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SBOV2_3530.6	1570.3	916	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SBOV2_3530.2	1586.1	860	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	SBOV2_29480.10	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.3	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.5	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.6	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.7	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.8	1895.8	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.2	1895.3	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.4	1895.0	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.1	1892.9	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SBOV2_29480.12	1892.9	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
