Orthogroup	schistosoma_turkestanicum	schistosoma_spindale
OG0000002	STRK1_40290.1, STRK1_40290.2	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1
OG0000004	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1	SSPN1_32870.1, SSPN1_67190.1, SSPN1_10130.1, SSPN1_40150.1, SSPN1_32100.1, SSPN1_68120.1, SSPN1_33350.1, SSPN1_87910.1, SSPN1_60940.1, SSPN1_12620.1, SSPN1_38590.1, SSPN1_14290.1
OG0000005	STRK1_81020.1, STRK1_70210.1, STRK1_68120.1	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1
OG0000006	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1	SSPN1_21890.1, SSPN1_9770.1
OG0000006	STRK1_52500.1	SSPN1_35780.1, SSPN1_75220.1, SSPN1_10930.1, SSPN1_36210.1, SSPN1_18280.1, SSPN1_68450.1, SSPN1_44910.1, SSPN1_3430.1
OG0000009	STRK1_39640.1	SSPN1_45650.1, SSPN1_9010.1, SSPN1_11020.1, SSPN1_13330.1, SSPN1_41310.1, SSPN1_6760.1, SSPN1_3480.1, SSPN1_45700.1, SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1
OG0000010	STRK1_22300.1, STRK1_110010.1, STRK1_97800.1, STRK1_92040.1, STRK1_53290.1, STRK1_49560.1, STRK1_56870.1, STRK1_41030.1	SSPN1_36620.2, SSPN1_36620.1, SSPN1_36620.3, SSPN1_36630.1, SSPN1_64330.1, SSPN1_63940.1, SSPN1_63940.2, SSPN1_14170.1, SSPN1_30700.1, SSPN1_77220.1, SSPN1_83870.1, SSPN1_51530.1, SSPN1_51530.2, SSPN1_27230.1
OG0000010	STRK1_104050.1	SSPN1_57340.2, SSPN1_57340.1, SSPN1_57340.3
OG0000014	STRK1_32840.1	SSPN1_32740.1
OG0000015	STRK1_32820.1	SSPN1_32720.1
OG0000015	STRK1_58960.1	SSPN1_58880.1
OG0000015	STRK1_58950.1	SSPN1_58870.1
OG0000015	STRK1_28980.1	SSPN1_32590.1
OG0000015	STRK1_28970.1	SSPN1_32580.1
OG0000015	STRK1_28940.1	SSPN1_32560.1
OG0000015	STRK1_40280.1	SSPN1_42240.1
OG0000015	STRK1_41060.1	SSPN1_41450.1
OG0000019	STRK1_28380.1	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16
OG0000019	STRK1_28370.1	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3
OG0000020	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2	SSPN1_88770.2, SSPN1_88770.3, SSPN1_88770.10, SSPN1_88770.6, SSPN1_88770.7, SSPN1_88770.4, SSPN1_88770.5, SSPN1_88760.1, SSPN1_88770.1, SSPN1_88770.8, SSPN1_88770.9
OG0000021	STRK1_12640.1	SSPN1_8230.1
OG0000021	STRK1_3460.1	SSPN1_5730.1, SSPN1_5720.1
OG0000021	STRK1_3470.1	SSPN1_5740.1, SSPN1_5750.1
OG0000021	STRK1_3440.1	SSPN1_5680.1, SSPN1_5680.2
OG0000021	STRK1_3450.1	SSPN1_5710.1
OG0000021	STRK1_3430.1	SSPN1_5690.1, SSPN1_5690.2
OG0000022	STRK1_25560.1, STRK1_25560.2	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2
OG0000023	STRK1_10470.1	SSPN1_8610.1
OG0000024	STRK1_22140.1	SSPN1_22780.1
OG0000024	STRK1_101880.1	SSPN1_88100.1
OG0000024	STRK1_58710.1	SSPN1_65160.1
OG0000024	STRK1_78170.1	SSPN1_77320.1
OG0000024	STRK1_78160.1	SSPN1_77310.1, SSPN1_77310.2
OG0000026	STRK1_76900.1, STRK1_76900.2	SSPN1_76710.1, SSPN1_76710.2
OG0000026	STRK1_69960.1, STRK1_69960.2	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3
OG0000027	STRK1_105950.1	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17
OG0000028	STRK1_68350.1	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3
OG0000029	STRK1_108400.1	SSPN1_55690.1
OG0000029	STRK1_85070.1	SSPN1_84220.1
OG0000029	STRK1_85080.1	SSPN1_84180.1
OG0000029	STRK1_18700.1	SSPN1_13090.1
OG0000029	STRK1_18700.2	SSPN1_13090.1
OG0000029	STRK1_18700.1	SSPN1_13090.2
OG0000029	STRK1_18700.2	SSPN1_13090.2
OG0000029	STRK1_87900.1, STRK1_87910.1	SSPN1_85060.1
OG0000029	STRK1_87920.1	SSPN1_85050.1
OG0000030	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77
