Orthogroup	schistosoma_japonicum	schmidtea_mediterranea
OG0000000	EWB00_007114, EWB00_003401, EWB00_010051, EWB00_001222, EWB00_004119, EWB00_000722, EWB00_002406, EWB00_003688, EWB00_001896, EWB00_006666, EWB00_011331, EWB00_010543, EWB00_005526, EWB00_002902, EWB00_009614, EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418, EWB00_009181, EWB00_003821, EWB00_005812, EWB00_006700, EWB00_011084, EWB00_007437	h1SMcT0000914.1
OG0000002	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919	h1SMcT0015173.1
OG0000002	EWB00_009284, EWB00_008408, EWB00_009922, EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826, EWB00_000881	h1SMcT0001934.1
OG0000005	EWB00_005736, EWB00_006826	h1SMcT0015150.1
OG0000005	EWB00_009775	h1SMcT0002504.1
OG0000009	EWB00_002474.1, EWB00_002474.2, EWB00_004712	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	EWB00_006690, EWB00_003501, EWB00_008440, EWB00_007719, EWB00_001361, EWB00_008983, EWB00_000457, EWB00_004748, EWB00_004604, EWB00_000088	h1SMcT0012568.1
OG0000012	EWB00_002832	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	EWB00_008878, EWB00_008877, EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5, EWB00_004377.1, EWB00_004377.2, EWB00_004374, EWB00_009254, EWB00_009256.1, EWB00_009256.2, EWB00_006401.1, EWB00_006401.2, EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	h1SMcT0022961.1
OG0000019	EWB00_004344, EWB00_004346	h1SMcT0009829.1
OG0000021	EWB00_010539, EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1, EWB00_010822, EWB00_002049, EWB00_002050.1, EWB00_002050.2, EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1, EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
OG0000024	EWB00_007079	h1SMcT0022444.1, h1SMcT0022444.2
OG0000024	EWB00_008906	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2
OG0000024	EWB00_001214	h1SMcT0004401.1
OG0000024	EWB00_003471	h1SMcT0004270.1, h1SMcT0004269.2
