Orthogroup	schmidtea_mediterranea	schistosoma_curassoni
OG0000000	h1SMcT0000914.1	SCUR1_60820.1, SCUR1_58000.1, SCUR1_18950.1, SCUR1_81350.1, SCUR1_72800.1, SCUR1_8670.1, SCUR1_23690.1, SCUR1_88590.1, SCUR1_37140.1, SCUR1_20710.1, SCUR1_2040.1, SCUR1_17010.1, SCUR1_41630.1, SCUR1_86830.1, SCUR1_27620.1, SCUR1_51420.1, SCUR1_3560.1, SCUR1_26140.1, SCUR1_57110.1, SCUR1_91450.1, SCUR1_5140.1, SCUR1_42610.1, SCUR1_25670.1, SCUR1_90380.1, SCUR1_50640.1, SCUR1_68340.1, SCUR1_34020.1, SCUR1_42090.1, SCUR1_58390.1, SCUR1_14230.1, SCUR1_4180.1, SCUR1_44610.1, SCUR1_50600.1, SCUR1_87560.1, SCUR1_18760.1, SCUR1_20310.1, SCUR1_75830.1, SCUR1_8040.1, SCUR1_63140.1, SCUR1_85690.1, SCUR1_31990.1, SCUR1_6680.1, SCUR1_45890.1, SCUR1_12880.1, SCUR1_56780.1, SCUR1_34060.1, SCUR1_12000.1, SCUR1_53970.1, SCUR1_77770.1, SCUR1_32000.1, SCUR1_62700.1, SCUR1_17450.1, SCUR1_78480.1, SCUR1_78890.1, SCUR1_41070.1, SCUR1_86560.1, SCUR1_60840.1, SCUR1_78680.1, SCUR1_21760.1, SCUR1_64960.1, SCUR1_49910.1, SCUR1_74540.1, SCUR1_11060.1, SCUR1_81040.1, SCUR1_33810.1, SCUR1_3950.1, SCUR1_3160.1, SCUR1_2030.1, SCUR1_59970.1, SCUR1_13410.1, SCUR1_84530.1, SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1, SCUR1_64420.1, SCUR1_36220.1, SCUR1_10670.1, SCUR1_18070.1
OG0000002	h1SMcT0001934.1	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7, SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1, SCUR1_10130.1, SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4, SCUR1_44420.1, SCUR1_56640.1
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	SCUR1_70190.1, SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2, SCUR1_51510.1, SCUR1_46810.1, SCUR1_68060.1, SCUR1_40170.1, SCUR1_48290.1, SCUR1_25210.1, SCUR1_75850.1, SCUR1_19860.1, SCUR1_47600.1
OG0000010	h1SMcT0012568.1	SCUR1_47210.1, SCUR1_81740.1, SCUR1_83150.1, SCUR1_72730.1, SCUR1_15090.1, SCUR1_71930.1, SCUR1_13640.1, SCUR1_55030.1, SCUR1_96950.1, SCUR1_74300.1, SCUR1_53870.1, SCUR1_1350.1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45, SCUR1_40740.63, SCUR1_40740.64
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14
OG0000015	h1SMcT0022961.1	SCUR1_38440.1, SCUR1_65580.1, SCUR1_65590.1, SCUR1_65590.2, SCUR1_38610.1, SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3, SCUR1_38620.4, SCUR1_38640.1, SCUR1_43740.1, SCUR1_43800.1, SCUR1_42920.1, SCUR1_42960.1, SCUR1_42910.1, SCUR1_42930.1, SCUR1_42940.1, SCUR1_42960.2
OG0000019	h1SMcT0009829.1	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2, SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	SCUR1_8230.1, SCUR1_5850.1, SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4, SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4, SCUR1_5830.1, SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3, SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2, SCUR1_5810.1
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
