Orthogroup	schistosoma_intercalatum	schistosoma_mansoni
OG0000003	SINT1_17140.5, SINT1_17140.1, SINT1_17320.4, SINT1_17320.6, SINT1_17140.7, SINT1_17320.5, SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7, SINT1_17140.4, SINT1_17140.6, SINT1_17140.3, SINT1_890.1, SINT1_17140.2, SINT1_14050.1, SINT1_77110.1, SINT1_64680.5, SINT1_64680.2, SINT1_86810.1, SINT1_75910.6, SINT1_75910.5, SINT1_75910.4, SINT1_75910.1, SINT1_75910.2, SINT1_75910.3, SINT1_75910.8, SINT1_75910.7, SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2, SINT1_21700.1, SINT1_21700.2, SINT1_48210.2, SINT1_94580.1, SINT1_48210.1, SINT1_34760.1, SINT1_34760.2	Smp_059140.1, Smp_167670.1, Smp_167780.1
OG0000004	SINT1_82280.1, SINT1_66570.1, SINT1_77150.1, SINT1_1210.1, SINT1_44880.1, SINT1_1220.1, SINT1_37370.1, SINT1_66670.1, SINT1_81820.1, SINT1_77680.1, SINT1_71570.1, SINT1_40360.1, SINT1_17680.1, SINT1_9900.1	Smp_037690.1
OG0000004	SINT1_14940.1	Smp_122020.1
OG0000009	SINT1_36860.1	Smp_245810.1
OG0000009	SINT1_55890.1	Smp_118710.1
OG0000012	SINT1_40600.24, SINT1_40600.23, SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20	Smp_154760.1, Smp_154760.2
OG0000014	SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	Smp_141630.1
OG0000015	SINT1_38300.1	Smp_201030.1
OG0000015	SINT1_65310.1	Smp_326390.1
OG0000015	SINT1_65320.1	Smp_202130.1
OG0000015	SINT1_38460.1	Smp_201060.1
OG0000015	SINT1_38470.1, SINT1_38470.2	Smp_095520.1
OG0000015	SINT1_43670.1	Smp_320310.1
OG0000015	SINT1_42740.3, SINT1_42740.4	Smp_312630.1, Smp_302860.1
OG0000015	SINT1_42780.1	Smp_200190.1
OG0000015	SINT1_10280.1	Smp_322950.1
OG0000018	SINT1_81200.1, SINT1_81200.2, SINT1_75920.1, SINT1_75920.2, SINT1_2600.1, SINT1_96520.4, SINT1_67830.2, SINT1_67830.3, SINT1_67830.4, SINT1_67830.5, SINT1_22160.8, SINT1_22160.9, SINT1_96520.1, SINT1_96520.3, SINT1_67830.1, SINT1_67830.6, SINT1_96520.2, SINT1_63310.1, SINT1_22160.7, SINT1_22160.13, SINT1_22160.4, SINT1_22160.5, SINT1_22160.1, SINT1_22160.10, SINT1_22160.11, SINT1_22160.12, SINT1_22160.2, SINT1_22160.3, SINT1_22160.6, SINT1_20820.1, SINT1_20830.1	Smp_350200.1, Smp_247320.1, Smp_266740.1
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5	Smp_102690.1
OG0000019	SINT1_36670.11	Smp_179320.1
OG0000020	SINT1_90400.1, SINT1_95080.1	Smp_341270.1
OG0000021	SINT1_8390.1	Smp_145560.1
OG0000021	SINT1_5840.1, SINT1_5850.1	Smp_134980.1
OG0000021	SINT1_5860.1	Smp_245140.1
OG0000021	SINT1_5810.2, SINT1_5810.1	Smp_135010.1
OG0000021	SINT1_5830.1	Smp_245160.1
OG0000021	SINT1_5790.2, SINT1_5790.1	Smp_135020.1
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	Smp_163420.1
OG0000024	SINT1_23830.1	Smp_103790.1
OG0000024	SINT1_90000.1	Smp_016780.1
OG0000024	SINT1_79070.1, SINT1_79070.2	Smp_103140.1
OG0000024	SINT1_79060.1	Smp_090120.1
OG0000026	SINT1_78530.1, SINT1_78530.2	Smp_055780.1
OG0000026	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2	Smp_336100.1
OG0000026	SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1	Smp_089200.1, Smp_089200.2
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	SINT1_57320.1	Smp_072870.1
OG0000029	SINT1_85860.1	Smp_203130.1
OG0000029	SINT1_20550.1	Smp_307010.1
OG0000029	SINT1_20550.1	Smp_307020.1
OG0000029	SINT1_20550.2	Smp_307010.1
OG0000029	SINT1_20550.2	Smp_307020.1
OG0000029	SINT1_20550.3	Smp_307010.1
OG0000029	SINT1_20550.3	Smp_307020.1
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	Smp_174960.1
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	Smp_017010.1
OG0000032	SINT1_10460.1	Smp_079970.1
OG0000032	SINT1_10470.1	Smp_079960.1
OG0000032	SINT1_57170.1	Smp_030730.1
OG0000032	SINT1_9690.1	Smp_313990.1, Smp_164480.1
OG0000032	SINT1_78580.1	Smp_313980.1
OG0000032	SINT1_78580.2	Smp_313980.1
OG0000034	SINT1_90240.1, SINT1_90240.2	Smp_009430.1
OG0000034	SINT1_90230.1, SINT1_90220.1	Smp_308940.1, Smp_308930.1
OG0000034	SINT1_57200.1, SINT1_57110.1, SINT1_57210.1	Smp_309980.1, Smp_327270.1
OG0000034	SINT1_57250.1, SINT1_57100.1, SINT1_57220.1	Smp_168550.1, Smp_331970.1
OG0000035	SINT1_14990.1	Smp_045860.1
OG0000037	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1	Smp_157980.1, Smp_157980.2
OG0000037	SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1	Smp_308100.1, Smp_308110.1
OG0000040	SINT1_52070.2, SINT1_52070.4, SINT1_52070.3, SINT1_52070.7, SINT1_52070.6, SINT1_52060.1, SINT1_52070.5, SINT1_52070.8, SINT1_52060.2, SINT1_52070.1	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2
OG0000042	SINT1_39890.1	Smp_247180.1
OG0000042	SINT1_39880.1	Smp_247170.1
OG0000042	SINT1_39840.1	Smp_048050.1, Smp_048050.2, Smp_049230.1
OG0000043	SINT1_27820.3, SINT1_27820.5, SINT1_27820.6, SINT1_27820.1, SINT1_27820.7, SINT1_27820.2, SINT1_27820.4, SINT1_27820.8	Smp_083340.1
