Orthogroup	opisthorchis_viverrini	schistosoma_haematobium
OG0000000	T265_02252, T265_00642, T265_02938, T265_10989	SHAE2_63900.1
OG0000000	T265_10065	SHAE2_29520.1, SHAE2_31870.1, SHAE2_77190.1, SHAE2_77190.2
OG0000000	T265_06680	SHAE2_36390.1
OG0000000	T265_03740, T265_04814	SHAE2_51070.1
OG0000000	T265_03618	SHAE2_29830.1, SHAE2_30190.1
OG0000000	T265_07508, T265_05251	SHAE2_19080.1
OG0000000	T265_13971	SHAE2_67380.1, SHAE2_67390.1
OG0000002	T265_11803	SHAE2_84340.1, SHAE2_84340.2, SHAE2_24820.1, SHAE2_24820.2, SHAE2_24820.3, SHAE2_24820.4, SHAE2_2970.1, SHAE2_2970.2, SHAE2_2980.1, SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5, SHAE2_23170.1, SHAE2_23170.2, SHAE2_23170.3, SHAE2_23170.4, SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1
OG0000003	T265_11432	SHAE2_20960.1, SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2, SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2, SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3, SHAE2_24270.7, SHAE2_91290.1, SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5, SHAE2_18320.1, SHAE2_18320.2, SHAE2_37220.3, SHAE2_37220.2, SHAE2_37220.1, SHAE2_37220.4, SHAE2_37220.5, SHAE2_78510.3, SHAE2_78510.1, SHAE2_78510.2, SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17, SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5, SHAE2_85630.2, SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3
OG0000005	T265_11244	SHAE2_57300.1, SHAE2_63030.1, SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1, SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1, SHAE2_55620.1, SHAE2_24880.1, SHAE2_48280.1, SHAE2_24890.1, SHAE2_17810.1, SHAE2_98820.1
OG0000006	T265_12134	SHAE2_14790.1, SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1, SHAE2_63560.1, SHAE2_50040.1, SHAE2_64180.1, SHAE2_49370.1, SHAE2_102570.1
OG0000006	T265_06454	SHAE2_40510.1, SHAE2_9980.1, SHAE2_65190.1, SHAE2_77110.1, SHAE2_14280.1
OG0000010	T265_00181	SHAE2_15450.1
OG0000012	T265_16252, T265_09012	SHAE2_43510.24, SHAE2_43510.26, SHAE2_43510.25, SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8, SHAE2_43510.27
OG0000014	T265_11882	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	T265_11957	SHAE2_70060.1, SHAE2_70070.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SHAE2_41370.1
OG0000015	T265_04684	SHAE2_41400.1
