Orthogroup	schistosoma_guineensis	schistosoma_mansoni
OG0000003	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	Smp_059140.1, Smp_167670.1, Smp_167780.1
OG0000004	SGUI1_54210.1, SGUI1_80740.1, SGUI1_55320.1, SGUI1_43500.1, SGUI1_65720.1, SGUI1_52500.1, SGUI1_17400.1, SGUI1_35800.1, SGUI1_87470.1, SGUI1_51600.1, SGUI1_5410.1, SGUI1_83380.1, SGUI1_62090.1, SGUI1_69880.1, SGUI1_73310.1, SGUI1_89290.1, SGUI1_22020.1, SGUI1_69970.1, SGUI1_66340.1, SGUI1_16360.1, SGUI1_61020.1, SGUI1_55970.1, SGUI1_86110.1, SGUI1_50300.1, SGUI1_74730.1, SGUI1_90060.1, SGUI1_5950.1, SGUI1_42510.1, SGUI1_28130.1, SGUI1_66280.1, SGUI1_50420.1, SGUI1_39310.1, SGUI1_52510.1, SGUI1_82750.1, SGUI1_19630.1	Smp_037690.1
OG0000009	SGUI1_95330.1	Smp_245810.1
OG0000009	SGUI1_50410.1	Smp_174140.1
OG0000012	SGUI1_40550.1	Smp_154760.1, Smp_154760.2
OG0000014	SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	Smp_141630.1
OG0000015	SGUI1_38090.2, SGUI1_38090.1	Smp_201030.1
OG0000015	SGUI1_66240.1	Smp_202130.1
OG0000015	SGUI1_38300.1	Smp_201060.1
OG0000015	SGUI1_38310.1	Smp_095520.1
