Orthogroup	schistosoma_mansoni	fasciola_hepatica
OG0000000	Smp_130500.1	FhHiC23_g16632.t1, FhHiC23_g15018.t1, FhHiC23_g16596.t1
OG0000006	Smp_330020.1	FhHiC23_g12099.t1, FhHiC23_g7403.t1
OG0000009	Smp_245810.1, Smp_118710.1	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1
OG0000010	Smp_158710.1	FhHiC23_g4046.t1, FhHiC23_g3556.t1
OG0000012	Smp_154760.1, Smp_154760.2	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	Smp_141630.1	FhHiC23_g14469.t1
OG0000015	Smp_201030.1	FhHiC23_g14476.t1
OG0000015	Smp_326390.1, Smp_202130.1	FhHiC23_g13988.t1, FhHiC23_g13993.t1
OG0000015	Smp_201060.1	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1
OG0000015	Smp_095520.1	FhHiC23_g16654.t1, FhHiC23_g14001.t1
OG0000015	Smp_320310.1	FhHiC23_g14206.t1
OG0000015	Smp_312630.1, Smp_302860.1, Smp_200180.1	FhHiC23_g14471.t1
OG0000015	Smp_322950.1	FhHiC23_g14628.t1, FhHiC23_g13668.t1, FhHiC23_g13669.t1
OG0000016	Smp_169310.1	FhHiC23_g8492.t1
OG0000019	Smp_102690.1, Smp_179320.1	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000021	Smp_145560.1	FhHiC23_g13529.t1, FhHiC23_g12834.t1
OG0000021	Smp_245160.1	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	Smp_163420.1	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000024	Smp_103790.1	FhHiC23_g8663.t1
OG0000024	Smp_016780.1	FhHiC23_g1523.t1
OG0000024	Smp_027920.1	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000026	Smp_055780.1	FhHiC23_g1282.t1
OG0000026	Smp_336100.1, Smp_089200.1, Smp_089200.2	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5	FhHiC23_g5213.t1
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1
OG0000029	Smp_072870.1	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	Smp_203130.1	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	Smp_183710.1, Smp_306600.1	FhHiC23_g16496.t1
OG0000030	Smp_174960.1	FhHiC23_g11202.t1
OG0000031	Smp_017010.1	FhHiC23_g15305.t1
OG0000032	Smp_313990.1, Smp_164480.1, Smp_078040.1, Smp_313980.1	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000034	Smp_009430.1, Smp_308940.1, Smp_308930.1, Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	Smp_045860.1	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000036	Smp_173130.1	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1
OG0000037	Smp_157980.1, Smp_157980.2, Smp_308100.1, Smp_308110.1	FhHiC23_g6871.t1
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	FhHiC23_g2039.t1
OG0000042	Smp_247180.1, Smp_247170.1, Smp_048050.1, Smp_048050.2, Smp_049230.1, Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	FhHiC23_g15459.t1
OG0000043	Smp_083340.1	FhHiC23_g4609.t1, FhHiC23_g4609.t2
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1, Smp_155530.1, Smp_062080.1	FhHiC23_g1755.t1
OG0000045	Smp_094770.1, Smp_175400.1	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2
OG0000046	Smp_120020.1, Smp_114870.1, Smp_026790.1, Smp_242960.1, Smp_109240.1, Smp_174250.1, Smp_175190.1, Smp_101840.1, Smp_197170.1, Smp_026200.1	FhHiC23_g2169.t1, FhHiC23_g3705.t1
OG0000049	Smp_315900.2, Smp_315900.1	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	Smp_343120.1	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	Smp_311520.1, Smp_245890.1	FhHiC23_g957.t1, FhHiC23_g956.t1, FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	Smp_034920.1	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	Smp_332890.1	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	Smp_303940.1	FhHiC23_g13824.t1
OG0000052	Smp_159840.1	FhHiC23_g7219.t2, FhHiC23_g7219.t3, FhHiC23_g7219.t1
OG0000053	Smp_075220.1	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000054	Smp_106390.1	FhHiC23_g1024.t1, FhHiC23_g4961.t1, FhHiC23_g16319.t1, FhHiC23_g16178.t1, FhHiC23_g14380.t1, FhHiC23_g11010.t1, FhHiC23_g16188.t1, FhHiC23_g16179.t1
OG0000055	Smp_309720.1, Smp_309710.1	FhHiC23_g8484.t1, FhHiC23_g8345.t1, FhHiC23_g8344.t1
OG0000056	Smp_168030.1	FhHiC23_g10819.t1
OG0000058	Smp_247950.1	FhHiC23_g16509.t1
OG0000058	Smp_247290.1	FhHiC23_g3241.t1
OG0000058	Smp_054010.1, Smp_150990.1, Smp_150990.2	FhHiC23_g3240.t1
OG0000060	Smp_123510.1	FhHiC23_g8030.t1
OG0000061	Smp_212360.2, Smp_212360.1	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	Smp_332930.1	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	Smp_171820.1	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	Smp_332910.1, Smp_332910.2	FhHiC23_g13576.t2, FhHiC23_g13576.t1
