Orthogroup	schistosoma_turkestanicum	opisthorchis_viverrini
OG0000000	STRK1_42670.1, STRK1_33630.1	T265_05764
OG0000000	STRK1_54000.1	T265_05739
OG0000000	STRK1_6720.1	T265_04107
OG0000002	STRK1_11320.1, STRK1_21760.1, STRK1_21740.1, STRK1_21740.2, STRK1_21640.1, STRK1_21630.1, STRK1_95530.3, STRK1_95530.1, STRK1_95530.2, STRK1_95530.4	T265_07568
OG0000002	STRK1_40290.1, STRK1_40290.2	T265_11803
OG0000006	STRK1_109240.1, STRK1_69360.1, STRK1_105910.1, STRK1_52500.1	T265_06454
OG0000009	STRK1_39640.1	T265_05386, T265_09113, T265_01730, T265_14900, T265_01906, T265_00922, T265_04043, T265_07923
OG0000012	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3, STRK1_95080.2, STRK1_95080.1, STRK1_95080.3	T265_16252, T265_09012
OG0000014	STRK1_32840.1	T265_11882
OG0000015	STRK1_58960.1, STRK1_58950.1	T265_11957
OG0000015	STRK1_28980.1	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	STRK1_28950.1	T265_04684
OG0000015	STRK1_9490.1	T265_12809, T265_04378
OG0000019	STRK1_28380.1, STRK1_28370.1	T265_07377
OG0000021	STRK1_12640.1	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	STRK1_3460.1, STRK1_3470.1, STRK1_3440.1	T265_00883
OG0000021	STRK1_3450.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	STRK1_25560.1, STRK1_25560.2	T265_03268
OG0000023	STRK1_89660.1, STRK1_74850.1, STRK1_87840.1	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001
OG0000023	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1	T265_09097
OG0000024	STRK1_22140.1	T265_04524, T265_12877
OG0000024	STRK1_101880.1	T265_08845
OG0000024	STRK1_58710.1	T265_10896, T265_12043, T265_03132
OG0000026	STRK1_76900.1, STRK1_76900.2	T265_07485
OG0000026	STRK1_69960.1, STRK1_69960.2	T265_12778, T265_12779, T265_13344, T265_13367
OG0000027	STRK1_38360.1, STRK1_105950.1	T265_14036
OG0000028	STRK1_68350.1	T265_03596, T265_13290
OG0000029	STRK1_108400.1	T265_08214
OG0000029	STRK1_85070.1	T265_00572, T265_00570, T265_00571
OG0000029	STRK1_87900.1, STRK1_87910.1, STRK1_87930.1, STRK1_87920.1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3	T265_14111
OG0000031	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3	T265_06361
