# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SSPN1_28500.1	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SSPN1_28500.3	4114.4	1957	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SSPN1_28500.2	3725.7	1761	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SSPN1_28500.4	3725.7	1761	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	SSPN1_92790.1	950.9	1081	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Duplicated	SSPN1_36830.3	1190.2	1411	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SSPN1_36830.2	1189.8	1411	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SSPN1_36830.1	1042.5	1207	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SSPN1_6520.1	2108.5	1618	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	SSPN1_12610.1	523.3	501	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	SSPN1_78720.1	1166.5	1167	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Duplicated	SSPN1_15560.2	1020.2	1000	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	SSPN1_15560.1	1006.3	969	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	SSPN1_13010.3	1054.2	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SSPN1_13010.1	1054.1	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SSPN1_13010.2	1033.7	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	SSPN1_3400.1	1802.3	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	SSPN1_32740.1	1895.2	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	SSPN1_75990.3	808.4	924	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	SSPN1_45830.1	1205.2	864	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
