Orthogroup	schistosoma_mansoni	schistosoma_turkestanicum
OG0000004	Smp_037690.1	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1
OG0000006	Smp_330020.1	STRK1_52500.1
OG0000009	Smp_329770.1	STRK1_39640.1
OG0000014	Smp_141630.1	STRK1_32840.1
OG0000015	Smp_201030.1	STRK1_32820.1
OG0000015	Smp_326390.1	STRK1_58960.1
OG0000015	Smp_202130.1	STRK1_58950.1
OG0000015	Smp_201060.1	STRK1_28980.1
OG0000015	Smp_095520.1	STRK1_28970.1
OG0000015	Smp_174520.1	STRK1_28940.1
OG0000015	Smp_320310.1	STRK1_40280.1
OG0000015	Smp_312630.1, Smp_302860.1, Smp_200180.1	STRK1_41060.1
OG0000015	Smp_200190.1	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3
OG0000015	Smp_322950.1	STRK1_9490.1
OG0000019	Smp_102690.1	STRK1_28380.1
OG0000019	Smp_179320.1	STRK1_28370.1
OG0000020	Smp_341270.1	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2
OG0000021	Smp_145560.1	STRK1_12640.1
OG0000021	Smp_134980.1	STRK1_3460.1
OG0000021	Smp_245140.1	STRK1_3470.1
OG0000021	Smp_135010.1	STRK1_3440.1
OG0000021	Smp_245160.1	STRK1_3450.1
OG0000021	Smp_135020.1	STRK1_3430.1
OG0000022	Smp_163420.1	STRK1_25560.1, STRK1_25560.2
OG0000024	Smp_103790.1	STRK1_22140.1
OG0000024	Smp_016780.1	STRK1_101880.1
OG0000024	Smp_027920.1	STRK1_58710.1
OG0000024	Smp_103140.1	STRK1_78170.1
OG0000024	Smp_090120.1	STRK1_78160.1
OG0000026	Smp_055780.1	STRK1_76900.1, STRK1_76900.2
OG0000026	Smp_336100.1, Smp_089200.1, Smp_089200.2	STRK1_69960.1, STRK1_69960.2
OG0000027	Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8	STRK1_105950.1
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	STRK1_68350.1
OG0000029	Smp_072870.1	STRK1_108400.1
OG0000029	Smp_203130.1	STRK1_85070.1
OG0000029	Smp_202970.1	STRK1_85080.1
OG0000029	Smp_307010.1	STRK1_18700.1
OG0000029	Smp_307010.1	STRK1_18700.2
OG0000029	Smp_307020.1	STRK1_18700.1
OG0000029	Smp_307020.1	STRK1_18700.2
OG0000029	Smp_183710.1	STRK1_87900.1, STRK1_87910.1
OG0000029	Smp_306600.1	STRK1_87930.1
OG0000030	Smp_174960.1	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	Smp_017010.1	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000032	Smp_079960.1	STRK1_9690.1
OG0000032	Smp_313980.1	STRK1_76860.1
OG0000034	Smp_009430.1	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3
OG0000034	Smp_308940.1, Smp_308930.1	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1
OG0000034	Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	Smp_045860.1	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000037	Smp_157980.1, Smp_157980.2	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2
OG0000037	Smp_308100.1, Smp_308110.1	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	Smp_247180.1	STRK1_38240.1
OG0000042	Smp_247170.1	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	STRK1_38190.1
OG0000042	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000043	Smp_083340.1	STRK1_23860.1, STRK1_23860.2
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1	STRK1_83210.1, STRK1_83210.2
OG0000044	Smp_155530.1	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1
OG0000044	Smp_062080.1	STRK1_83840.1
OG0000048	Smp_349350.1, Smp_340140.1, Smp_350510.1, Smp_165600.1, Smp_165590.1, Smp_349560.1, Smp_349630.1, Smp_329780.1, Smp_192050.1, Smp_349090.1, Smp_349670.1, Smp_349250.1, Smp_349190.1, Smp_349240.1, Smp_349210.1, Smp_349160.1, Smp_350320.1, Smp_350220.1, Smp_349690.1, Smp_349700.1, Smp_349730.1, Smp_350230.1, Smp_349710.1, Smp_349720.1, Smp_349570.1, Smp_179390.1, Smp_349650.1, Smp_349740.1, Smp_350150.1, Smp_350210.1, Smp_350160.1, Smp_350160.2, Smp_349070.1, Smp_349050.1, Smp_349150.1, Smp_179970.1, Smp_349580.1, Smp_350240.1, Smp_194130.1, Smp_173350.1, Smp_349100.1, Smp_349520.1, Smp_349530.1	STRK1_101920.1
OG0000049	Smp_315900.2, Smp_315900.1	STRK1_67640.1
OG0000049	Smp_343120.1	STRK1_71350.1
OG0000050	Smp_311520.1, Smp_245890.1	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	Smp_034920.1	STRK1_27330.1
OG0000052	Smp_332890.1	STRK1_16800.1
OG0000052	Smp_130810.1	STRK1_440.1
OG0000052	Smp_303940.1	STRK1_1120.1, STRK1_97400.1
OG0000052	Smp_159840.1	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	Smp_075220.1	STRK1_2330.1
OG0000054	Smp_106390.1	STRK1_94850.1, STRK1_78190.1, STRK1_3800.1, STRK1_3800.2
OG0000055	Smp_309720.1, Smp_309710.1	STRK1_66850.1
OG0000058	Smp_247950.1	STRK1_86390.1
OG0000058	Smp_247290.1	STRK1_77870.1
OG0000058	Smp_054010.1	STRK1_77680.1
OG0000058	Smp_150990.1, Smp_150990.2	STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1
OG0000060	Smp_123510.1	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	Smp_212360.2, Smp_212360.1	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000062	Smp_332930.1	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5
OG0000064	Smp_332910.1, Smp_332910.2	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000065	Smp_085010.1, Smp_085010.2	STRK1_21210.1
OG0000065	Smp_067060.1, Smp_103610.1, Smp_344940.1	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1
OG0000066	Smp_040970.1	STRK1_27970.1, STRK1_27970.2
OG0000067	Smp_000260.1	STRK1_100070.1
OG0000068	Smp_002410.1	STRK1_51720.1
OG0000068	Smp_041430.1	STRK1_90930.1
OG0000068	Smp_301620.1, Smp_009760.1	STRK1_31350.1
OG0000068	Smp_034840.1	STRK1_27380.1
OG0000069	Smp_155020.1	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	Smp_315710.1	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000071	Smp_033600.1	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2
OG0000072	Smp_343430.1	STRK1_86450.1
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	Smp_164380.1	STRK1_88120.1
OG0000074	Smp_307260.1	STRK1_10690.2, STRK1_10690.1
OG0000075	Smp_246680.1	STRK1_35140.1, STRK1_35140.2
OG0000076	Smp_141980.1, Smp_141980.2, Smp_141980.3	STRK1_85230.1, STRK1_85230.2
OG0000076	Smp_134140.2, Smp_134140.1	STRK1_16320.1, STRK1_16320.2
OG0000077	Smp_244680.1, Smp_244680.2	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	Smp_092530.1	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	Smp_129050.1	STRK1_29350.1, STRK1_29350.2
OG0000079	Smp_044920.1, Smp_044920.2, Smp_044920.4, Smp_044920.3	STRK1_51780.1, STRK1_51780.2
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	STRK1_39780.1
OG0000082	Smp_132900.1	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3
OG0000085	Smp_127430.1	STRK1_31220.1, STRK1_31220.2
OG0000086	Smp_149300.1	STRK1_71670.1, STRK1_71670.2
OG0000087	Smp_245790.1	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	Smp_028690.1, Smp_028690.2	STRK1_17030.1
OG0000088	Smp_131890.1	STRK1_17040.1, STRK1_17040.2
OG0000090	Smp_310930.1	STRK1_49240.1
OG0000091	Smp_146060.1	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	Smp_180470.1, Smp_180470.2	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	Smp_064870.1	STRK1_8500.1, STRK1_8500.2
OG0000093	Smp_049550.1	STRK1_38460.1
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1
OG0000094	Smp_128570.1	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	Smp_162630.1	STRK1_60680.1
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	Smp_168050.1	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	Smp_340630.1, Smp_340630.2	STRK1_64600.1, STRK1_64590.1
OG0000099	Smp_000100.1	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	Smp_317420.1	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	Smp_036590.1	STRK1_3550.1, STRK1_3550.2
OG0000102	Smp_138050.1	STRK1_56260.1
OG0000103	Smp_067000.1	STRK1_75520.1, STRK1_75520.2
OG0000104	Smp_006250.1	STRK1_3670.1, STRK1_3670.2
OG0000105	Smp_019790.1	STRK1_13170.1
OG0000106	Smp_345820.1, Smp_168430.1, Smp_336130.1, Smp_340550.1, Smp_337070.1, Smp_316230.1, Smp_316240.1, Smp_316210.1, Smp_316220.1, Smp_316250.1, Smp_137250.1	STRK1_102100.1
OG0000107	Smp_046690.2, Smp_089430.1	STRK1_49750.1
OG0000107	Smp_335990.1	STRK1_49750.2
OG0000107	Smp_046690.3, Smp_046690.1	STRK1_49760.1
OG0000108	Smp_093930.1	STRK1_12570.1, STRK1_12570.2
OG0000110	Smp_333980.1	STRK1_30120.1
OG0000110	Smp_055260.1	STRK1_30150.1
OG0000110	Smp_129920.1	STRK1_30110.1
OG0000110	Smp_129900.1	STRK1_30100.1, STRK1_30100.2
OG0000111	Smp_146600.1, Smp_146600.2	STRK1_46420.1
