Orthogroup	schistosoma_rodhaini	schistosoma_japonicum
OG0000000	SRDH2_24900.1, SRDH2_101460.1, SRDH2_14500.1, SRDH2_101870.1, SRDH2_13090.1, SRDH2_1270.1, SRDH2_31520.1, SRDH2_40850.1, SRDH2_55230.1, SRDH2_28860.1, SRDH2_95130.1, SRDH2_51740.1	EWB00_006666
OG0000000	SRDH2_56950.1, SRDH2_13220.1, SRDH2_87450.1, SRDH2_55070.1	EWB00_009181
OG0000000	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1	EWB00_003821
OG0000002	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	SRDH2_34910.1, SRDH2_89180.1	EWB00_000881
OG0000004	SRDH2_85920.1, SRDH2_58630.1, SRDH2_20010.1, SRDH2_54290.1, SRDH2_21930.1, SRDH2_72680.1, SRDH2_36920.1, SRDH2_47990.1, SRDH2_80390.1, SRDH2_101980.1, SRDH2_66740.1, SRDH2_30130.1, SRDH2_82830.1, SRDH2_12350.1, SRDH2_78730.1, SRDH2_50480.1, SRDH2_60420.1, SRDH2_85640.1, SRDH2_56030.1	EWB00_009940
OG0000004	SRDH2_89230.1	EWB00_002233
OG0000006	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1	EWB00_004294, EWB00_009952
OG0000006	SRDH2_65340.1	EWB00_004008
OG0000006	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1	EWB00_002568
OG0000006	SRDH2_21400.1, SRDH2_70890.1	EWB00_005576, EWB00_005574
OG0000008	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1	EWB00_003269
OG0000014	SRDH2_32020.33, SRDH2_32020.13, SRDH2_32020.17, SRDH2_32020.23, SRDH2_32020.27, SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4, SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8, SRDH2_32020.38, SRDH2_32020.40, SRDH2_32020.2, SRDH2_32020.21, SRDH2_32020.29, SRDH2_32020.6, SRDH2_32020.11, SRDH2_32020.26, SRDH2_32020.31, SRDH2_32020.32, SRDH2_32020.34, SRDH2_32020.22, SRDH2_32020.10, SRDH2_32020.35, SRDH2_32020.36, SRDH2_32020.39, SRDH2_32020.9	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	SRDH2_66330.1	EWB00_008878
OG0000015	SRDH2_66340.1	EWB00_008877
OG0000015	SRDH2_38560.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	SRDH2_38570.1	EWB00_004377.1, EWB00_004377.2
OG0000015	SRDH2_38590.1	EWB00_004374
OG0000015	SRDH2_43900.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	SRDH2_43100.1	EWB00_006401.1, EWB00_006401.2
OG0000015	SRDH2_10450.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1	EWB00_010090
OG0000019	SRDH2_34300.1	EWB00_004344
OG0000019	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4	EWB00_004346
OG0000020	SRDH2_95300.1, SRDH2_95200.4, SRDH2_95200.5, SRDH2_95200.3, SRDH2_95200.9, SRDH2_95200.1, SRDH2_95200.2, SRDH2_95200.6, SRDH2_95200.8, SRDH2_95280.1, SRDH2_95200.7	EWB00_000448
OG0000021	SRDH2_8550.1	EWB00_010539
OG0000021	SRDH2_5890.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	SRDH2_5900.1	EWB00_010822
OG0000021	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1	EWB00_002049
OG0000021	SRDH2_5870.2, SRDH2_5870.1, SRDH2_101980.2, SRDH2_101980.3, SRDH2_101980.4, SRDH2_102100.1	EWB00_002050.1, EWB00_002050.2
OG0000021	SRDH2_102090.1, SRDH2_5880.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
