Orthogroup	schistosoma_mattheei	schistosoma_spindale
OG0000000	SMTH1_68270.1	SSPN1_14040.1, SSPN1_42460.1
OG0000000	SMTH1_83350.1	SSPN1_37210.1, SSPN1_61060.1, SSPN1_20270.1
OG0000000	SMTH1_29220.1, SMTH1_81860.1	SSPN1_61750.1, SSPN1_25780.1
OG0000000	SMTH1_77130.1	SSPN1_88550.1, SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1
OG0000000	SMTH1_10620.1	SSPN1_7780.1
OG0000000	SMTH1_26170.1, SMTH1_46570.1, SMTH1_31620.1, SMTH1_450.1, SMTH1_35470.1	SSPN1_20930.1
OG0000002	SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1, SMTH1_97440.1, SMTH1_97450.1, SMTH1_104900.1, SMTH1_34500.1, SMTH1_36220.1, SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2, SMTH1_107240.1, SMTH1_107250.1, SMTH1_21370.1, SMTH1_61890.1, SMTH1_61890.3	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1
OG0000003	SMTH1_51780.8, SMTH1_51780.9, SMTH1_51780.5, SMTH1_51780.7, SMTH1_51780.1, SMTH1_51780.3, SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4, SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3, SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7
OG0000004	SMTH1_62820.1	SSPN1_33090.1
OG0000004	SMTH1_53750.1	SSPN1_73490.1
OG0000004	SMTH1_6510.1	SSPN1_38590.1
OG0000004	SMTH1_70200.1	SSPN1_38820.1
OG0000005	SMTH1_46440.1, SMTH1_59350.1, SMTH1_59350.2, SMTH1_59350.3, SMTH1_59350.4, SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1	SSPN1_32330.1, SSPN1_34260.1
OG0000005	SMTH1_51080.1	SSPN1_47380.1
OG0000005	SMTH1_94040.1, SMTH1_1740.1, SMTH1_70850.1, SMTH1_9590.1, SMTH1_52740.1, SMTH1_52740.2, SMTH1_53770.1, SMTH1_84460.1, SMTH1_30140.1, SMTH1_73580.1, SMTH1_70860.1, SMTH1_84450.1	SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1
OG0000005	SMTH1_91450.1, SMTH1_6230.1, SMTH1_81250.1, SMTH1_9470.1, SMTH1_100250.1, SMTH1_75220.1, SMTH1_75180.1, SMTH1_77180.1	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1
OG0000006	SMTH1_68820.1, SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1	SSPN1_21890.1, SSPN1_9770.1
OG0000006	SMTH1_64450.1	SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1
OG0000006	SMTH1_25140.1	SSPN1_29180.1
OG0000006	SMTH1_12120.1	SSPN1_3430.1
OG0000006	SMTH1_99630.1, SMTH1_99640.1, SMTH1_66410.1, SMTH1_101460.1, SMTH1_107420.1, SMTH1_65110.1, SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1
OG0000008	SMTH1_29710.1, SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1
OG0000009	SMTH1_69840.1, SMTH1_43850.1, SMTH1_104830.1	SSPN1_41310.1
OG0000009	SMTH1_13430.1	SSPN1_6760.1, SSPN1_3480.1, SSPN1_45700.1
OG0000009	SMTH1_70120.1	SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1
OG0000009	SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1	SSPN1_81030.1
OG0000009	SMTH1_88010.1	SSPN1_59780.1
OG0000009	SMTH1_77780.1	SSPN1_85940.1
OG0000012	SMTH1_45260.1	SSPN1_39340.1
OG0000014	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9	SSPN1_32740.1
OG0000015	SMTH1_42330.1	SSPN1_32720.1
OG0000015	SMTH1_73160.1	SSPN1_58880.1
OG0000015	SMTH1_73170.1	SSPN1_58870.1
OG0000015	SMTH1_42560.1	SSPN1_32590.1
OG0000015	SMTH1_42570.3	SSPN1_32580.1
OG0000015	SMTH1_42590.1	SSPN1_32560.1
OG0000015	SMTH1_48670.1	SSPN1_42240.1
OG0000015	SMTH1_47630.2	SSPN1_41450.1
OG0000016	SMTH1_25270.1	SSPN1_30890.1
OG0000016	SMTH1_91760.1	SSPN1_9040.1
OG0000018	SMTH1_29900.2, SMTH1_29900.7, SMTH1_29900.3, SMTH1_29900.4, SMTH1_29900.6, SMTH1_29900.5, SMTH1_60370.1, SMTH1_29900.1, SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1, SMTH1_44570.1, SMTH1_44570.2, SMTH1_83600.1, SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2
OG0000019	SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4	SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16
OG0000019	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3
OG0000020	SMTH1_102430.1	SSPN1_88770.2, SSPN1_88770.3
OG0000020	SMTH1_102450.1, SMTH1_102400.1, SMTH1_102410.1, SMTH1_102420.1	SSPN1_88770.10
OG0000020	SMTH1_102380.1, SMTH1_102370.1	SSPN1_88760.1, SSPN1_88770.1
OG0000020	SMTH1_102390.1	SSPN1_88770.8, SSPN1_88770.9
OG0000021	SMTH1_9440.1	SSPN1_8230.1
OG0000021	SMTH1_6700.1, SMTH1_82170.1	SSPN1_5730.1, SSPN1_5720.1
OG0000021	SMTH1_6710.1	SSPN1_5750.1
OG0000021	SMTH1_6660.1, SMTH1_6650.1	SSPN1_5680.1, SSPN1_5680.2
OG0000021	SMTH1_6670.1	SSPN1_5700.1
OG0000021	SMTH1_6690.1, SMTH1_6690.2	SSPN1_5710.1
OG0000021	SMTH1_6640.1, SMTH1_6640.3, SMTH1_6640.2	SSPN1_5690.1, SSPN1_5690.2
OG0000022	SMTH1_30110.1	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2
OG0000023	SMTH1_107460.1, SMTH1_78450.1	SSPN1_8610.1
OG0000024	SMTH1_26330.1	SSPN1_22780.1
OG0000024	SMTH1_101590.1	SSPN1_88100.1
OG0000024	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3	SSPN1_65160.1
OG0000024	SMTH1_89320.1	SSPN1_77320.1
OG0000024	SMTH1_89310.1	SSPN1_77310.1, SSPN1_77310.2
OG0000026	SMTH1_88650.1, SMTH1_88650.2	SSPN1_76710.1, SSPN1_76710.2
OG0000026	SMTH1_80430.1	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2
OG0000026	SMTH1_80360.1	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3
OG0000027	SMTH1_44580.36	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17
OG0000027	SMTH1_44580.12	SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31
OG0000028	SMTH1_78260.1, SMTH1_78260.2	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3
OG0000029	SMTH1_63900.1	SSPN1_55690.1
OG0000029	SMTH1_96900.1	SSPN1_84220.1
OG0000029	SMTH1_96870.1	SSPN1_84180.1
OG0000029	SMTH1_22560.1	SSPN1_13090.1
OG0000029	SMTH1_22560.1	SSPN1_13090.2
OG0000029	SMTH1_22560.2	SSPN1_13090.1
OG0000029	SMTH1_22560.2	SSPN1_13090.2
OG0000029	SMTH1_22560.3	SSPN1_13090.1
OG0000029	SMTH1_22560.3	SSPN1_13090.2
OG0000029	SMTH1_22560.4	SSPN1_13090.1
OG0000029	SMTH1_22560.4	SSPN1_13090.2
OG0000029	SMTH1_97890.7	SSPN1_85060.1
OG0000029	SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2	SSPN1_85050.1
