Orthogroup	schistosoma_bovis	trichobilharzia_regenti
OG0000000	SBOV2_45580.1	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1
OG0000002	SBOV2_50780.1, SBOV2_50780.2	TREG1_121520.1
OG0000003	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1
OG0000006	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1, SBOV2_59330.1, SBOV2_9090.1	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000006	SBOV2_82790.1, SBOV2_14350.1	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1
OG0000009	SBOV2_1710.1	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1
OG0000009	SBOV2_62130.1, SBOV2_91300.1	TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1
OG0000009	SBOV2_58610.1	TREG1_113410.1
OG0000009	SBOV2_15160.1	TREG1_7850.1
OG0000009	SBOV2_89880.1, SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1, SBOV2_45750.1	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2
OG0000009	SBOV2_76620.1, SBOV2_70920.1, SBOV2_28290.1	TREG1_79630.1
OG0000009	SBOV2_81720.1, SBOV2_10990.1	TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1
OG0000014	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	SBOV2_29460.1	TREG1_51330.1
OG0000015	SBOV2_65410.1	TREG1_82560.1
OG0000015	SBOV2_65420.1	TREG1_82570.1
OG0000015	SBOV2_29300.1	TREG1_44970.1
OG0000015	SBOV2_29290.1	TREG1_44960.1
OG0000015	SBOV2_42900.1	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	SBOV2_41990.2	TREG1_42390.2
OG0000015	SBOV2_41990.1	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1
OG0000016	SBOV2_9920.1, SBOV2_22430.1	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1
OG0000016	SBOV2_52870.1, SBOV2_95410.1	TREG1_28750.1, TREG1_63330.1, TREG1_71580.1, TREG1_69020.1, TREG1_46690.1, TREG1_88640.1, TREG1_95450.1, TREG1_2320.1, TREG1_81700.1, TREG1_113640.1, TREG1_104920.1
OG0000016	SBOV2_13150.1, SBOV2_45900.1, SBOV2_44650.1, SBOV2_94160.1	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1
