Orthogroup	schistosoma_haematobium	schistosoma_rodhaini
OG0000000	SHAE2_63900.1	SRDH2_77170.1
OG0000000	SHAE2_36390.1	SRDH2_102430.1, SRDH2_82340.1, SRDH2_25620.1, SRDH2_86260.1, SRDH2_40700.1, SRDH2_80700.1, SRDH2_92740.1, SRDH2_7430.1, SRDH2_36210.1, SRDH2_88670.1, SRDH2_30050.1, SRDH2_48790.1
OG0000000	SHAE2_53240.1, SHAE2_33930.1, SHAE2_90210.1, SHAE2_77100.1, SHAE2_43990.1, SHAE2_76270.1	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1
OG0000002	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5, SHAE2_23170.1, SHAE2_23170.2, SHAE2_23170.3, SHAE2_23170.4, SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000004	SHAE2_85230.1, SHAE2_24720.1, SHAE2_53640.1	SRDH2_92700.1
OG0000004	SHAE2_102090.1, SHAE2_60460.1	SRDH2_50480.1, SRDH2_60420.1
OG0000004	SHAE2_44870.1	SRDH2_85640.1
OG0000004	SHAE2_54840.1	SRDH2_56030.1
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	SRDH2_102570.1
OG0000005	SHAE2_17810.1	SRDH2_16230.1, SRDH2_45960.1, SRDH2_60700.1
