Orthogroup	schistosoma_curassoni	schistosoma_intercalatum
OG0000000	SCUR1_58000.1	SINT1_81660.1
OG0000000	SCUR1_18950.1	SINT1_78550.1
OG0000000	SCUR1_23690.1	SINT1_27320.1, SINT1_96870.1, SINT1_6730.1
OG0000000	SCUR1_2040.1	SINT1_37360.1
OG0000000	SCUR1_27620.1	SINT1_12850.1
OG0000000	SCUR1_57110.1	SINT1_84010.1, SINT1_70220.1
OG0000000	SCUR1_91450.1	SINT1_41510.1
OG0000000	SCUR1_5140.1	SINT1_82320.1
OG0000000	SCUR1_34020.1	SINT1_92270.1, SINT1_2880.1, SINT1_19950.1, SINT1_84740.1, SINT1_58740.1, SINT1_47500.1
OG0000000	SCUR1_42090.1, SCUR1_58390.1	SINT1_62850.1, SINT1_48570.1
OG0000000	SCUR1_4180.1	SINT1_51520.1, SINT1_95850.1
OG0000000	SCUR1_44610.1	SINT1_65930.1
OG0000000	SCUR1_18760.1	SINT1_59000.1, SINT1_2420.1, SINT1_2490.1
OG0000000	SCUR1_75830.1, SCUR1_8040.1	SINT1_31720.1
OG0000000	SCUR1_63140.1, SCUR1_85690.1	SINT1_89410.1, SINT1_77770.1, SINT1_3960.1, SINT1_13010.1
OG0000000	SCUR1_45890.1	SINT1_3870.1, SINT1_3900.1
OG0000000	SCUR1_12880.1, SCUR1_56780.1	SINT1_75520.1
OG0000000	SCUR1_53970.1, SCUR1_77770.1	SINT1_54070.1
OG0000000	SCUR1_17450.1, SCUR1_78480.1	SINT1_18930.1
OG0000000	SCUR1_78890.1	SINT1_18270.1, SINT1_52290.1, SINT1_10040.1
OG0000000	SCUR1_41070.1	SINT1_41760.1
OG0000000	SCUR1_60840.1, SCUR1_78680.1	SINT1_41170.1, SINT1_23230.1
OG0000000	SCUR1_64960.1	SINT1_52230.1
OG0000000	SCUR1_74540.1	SINT1_7970.1
OG0000000	SCUR1_11060.1	SINT1_23210.1
OG0000000	SCUR1_3950.1	SINT1_45530.1, SINT1_81240.1
OG0000000	SCUR1_2030.1, SCUR1_59970.1	SINT1_5480.1
OG0000000	SCUR1_37650.1, SCUR1_31490.1	SINT1_6180.1
OG0000000	SCUR1_36220.1, SCUR1_10670.1	SINT1_62500.1
OG0000002	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7	SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1
OG0000002	SCUR1_10130.1	SINT1_1990.1, SINT1_1990.2, SINT1_1990.3
OG0000003	SCUR1_31360.7, SCUR1_31360.9, SCUR1_31360.6, SCUR1_31360.8	SINT1_17140.1
OG0000003	SCUR1_27100.5	SINT1_17320.6, SINT1_17140.7
OG0000003	SCUR1_62060.1, SCUR1_81440.5	SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7
OG0000003	SCUR1_90510.1, SCUR1_31360.2, SCUR1_99400.1, SCUR1_25610.1, SCUR1_99400.2	SINT1_17140.3, SINT1_890.1
OG0000003	SCUR1_83520.5	SINT1_14050.1, SINT1_77110.1
OG0000003	SCUR1_22950.8	SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2
OG0000004	SCUR1_25690.1	SINT1_32650.1, SINT1_72000.1
OG0000004	SCUR1_69130.1	SINT1_31170.1
OG0000004	SCUR1_22250.1	SINT1_82280.1
OG0000004	SCUR1_89610.1, SCUR1_63070.1, SCUR1_59610.1	SINT1_66570.1
OG0000004	SCUR1_76340.1	SINT1_77150.1
OG0000004	SCUR1_42680.1, SCUR1_27450.1, SCUR1_72320.1	SINT1_1220.1
OG0000004	SCUR1_42900.1	SINT1_66670.1, SINT1_81820.1
OG0000004	SCUR1_18250.1, SCUR1_71730.1	SINT1_77680.1, SINT1_71570.1
OG0000004	SCUR1_16210.1	SINT1_34140.1
OG0000004	SCUR1_89510.1	SINT1_38430.1
OG0000004	SCUR1_38300.1	SINT1_69250.1
OG0000004	SCUR1_41710.1	SINT1_62180.1
OG0000004	SCUR1_90640.5, SCUR1_9980.1, SCUR1_37020.1	SINT1_14740.1
OG0000004	SCUR1_31000.1	SINT1_16950.1
OG0000005	SCUR1_57140.1	SINT1_26890.1, SINT1_6630.1
OG0000005	SCUR1_36670.1, SCUR1_57280.1	SINT1_18860.1
OG0000005	SCUR1_43030.1, SCUR1_39690.1, SCUR1_76910.1	SINT1_56920.1
OG0000006	SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1	SINT1_40400.1, SINT1_49650.1
OG0000006	SCUR1_81700.1, SCUR1_36840.1, SCUR1_89870.1, SCUR1_93140.1	SINT1_16380.1
OG0000006	SCUR1_29880.1, SCUR1_770.1	SINT1_59640.1, SINT1_85130.1, SINT1_66770.1, SINT1_56700.1, SINT1_94430.1, SINT1_14410.1, SINT1_25480.1
OG0000006	SCUR1_32370.1, SCUR1_63120.1	SINT1_5030.1, SINT1_76970.1
OG0000006	SCUR1_2540.1	SINT1_49590.1, SINT1_9870.1, SINT1_500.1, SINT1_500.3, SINT1_500.2
OG0000006	SCUR1_2450.1	SINT1_8460.1, SINT1_94400.1, SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1
OG0000008	SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1	SINT1_46510.1, SINT1_25930.1, SINT1_64440.1, SINT1_70830.1, SINT1_63570.1
OG0000008	SCUR1_37630.1	SINT1_33470.1
OG0000008	SCUR1_5950.1	SINT1_79730.1
OG0000008	SCUR1_43390.1	SINT1_53990.1, SINT1_53990.2
OG0000008	SCUR1_99360.1	SINT1_22730.1
OG0000009	SCUR1_70190.1	SINT1_95730.1
OG0000009	SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2	SINT1_45500.1, SINT1_14510.1
