Orthogroup	fasciola_gigantica	fasciola_hepatica	opisthorchis_viverrini	s.mekongi	schistosoma_bovis	schistosoma_curassoni	schistosoma_guineensis	schistosoma_haematobium	schistosoma_intercalatum	schistosoma_japonicum	schistosoma_mansoni	schistosoma_margrebowiei	schistosoma_mattheei	schistosoma_rodhaini	schistosoma_spindale	schistosoma_turkestanicum	schmidtea_mediterranea	trichobilharzia_regenti
OG0016469	FGIG_00020																	
OG0016470	FGIG_00029																	
OG0016471	FGIG_00030																	
OG0016472	FGIG_00034																	
OG0016473	FGIG_00081																	
OG0016474	FGIG_00087																	
OG0016475	FGIG_00105																	
OG0016476	FGIG_00133																	
OG0016477	FGIG_00142																	
OG0016478	FGIG_00162																	
OG0016479	FGIG_00164																	
OG0016480	FGIG_00184																	
OG0016481	FGIG_00187																	
OG0016482	FGIG_00193																	
OG0016483	FGIG_00218																	
OG0016484	FGIG_00233																	
OG0016485	FGIG_00234																	
OG0016486	FGIG_00236																	
OG0016487	FGIG_00251																	
OG0016488	FGIG_00256																	
OG0016489	FGIG_00259																	
OG0016490	FGIG_00279																	
OG0016491	FGIG_00282																	
OG0016492	FGIG_00346																	
OG0016493	FGIG_00351																	
OG0016494	FGIG_00356																	
OG0016495	FGIG_00411																	
OG0016496	FGIG_00414																	
OG0016497	FGIG_00422																	
OG0016498	FGIG_00491																	
OG0016499	FGIG_00537																	
OG0016500	FGIG_00538																	
OG0016501	FGIG_00539																	
OG0016502	FGIG_00561																	
OG0016503	FGIG_00562																	
OG0016504	FGIG_00585																	
OG0016505	FGIG_00589																	
OG0016506	FGIG_00603																	
OG0016507	FGIG_00612																	
OG0016508	FGIG_00634																	
OG0016509	FGIG_00638																	
OG0016510	FGIG_00678																	
OG0016511	FGIG_00693																	
OG0016512	FGIG_00694																	
OG0016513	FGIG_00699																	
OG0016514	FGIG_00708																	
OG0016515	FGIG_00715																	
OG0016516	FGIG_00728																	
OG0016517	FGIG_00818																	
OG0016518	FGIG_00822																	
OG0016519	FGIG_00837																	
OG0016520	FGIG_00878																	
OG0016521	FGIG_00889																	
OG0016522	FGIG_00921																	
OG0016523	FGIG_01006																	
OG0016524	FGIG_01014																	
OG0016525	FGIG_01025																	
OG0016526	FGIG_01033																	
OG0016527	FGIG_01043																	
OG0016528	FGIG_01071																	
OG0016529	FGIG_01081																	
OG0016530	FGIG_01082																	
OG0016531	FGIG_01100																	
OG0016532	FGIG_01103																	
OG0016533	FGIG_01113																	
OG0016534	FGIG_01125																	
OG0016535	FGIG_01128																	
OG0016536	FGIG_01140																	
OG0016537	FGIG_01144																	
OG0016538	FGIG_01151																	
OG0016539	FGIG_01164																	
OG0016540	FGIG_01178																	
OG0016541	FGIG_01232																	
OG0016542	FGIG_01240																	
OG0016543	FGIG_01250																	
OG0016544	FGIG_01284																	
OG0016545	FGIG_01309																	
OG0016546	FGIG_01312																	
OG0016547	FGIG_01341																	
OG0016548	FGIG_01344																	
OG0016549	FGIG_01345																	
OG0016550	FGIG_01362																	
OG0016551	FGIG_01373																	
OG0016552	FGIG_01374																	
OG0016553	FGIG_01402																	
OG0016554	FGIG_01403																	
OG0016555	FGIG_01412																	
OG0016556	FGIG_01449																	
OG0016557	FGIG_01489																	
OG0016558	FGIG_01500																	
OG0016559	FGIG_01556																	
OG0016560	FGIG_01622																	
OG0016561	FGIG_01661																	
OG0016562	FGIG_01695																	
OG0016563	FGIG_01700																	
OG0016564	FGIG_01704																	
OG0016565	FGIG_01714																	
OG0016566	FGIG_01715																	
OG0016567	FGIG_01723																	
OG0016568	FGIG_01741																	
OG0016569	FGIG_01756																	
OG0016570	FGIG_01765																	
OG0016571	FGIG_01768																	
OG0016572	FGIG_01791																	
OG0016573	FGIG_01805																	
OG0016574	FGIG_01829																	
OG0016575	FGIG_01867																	
OG0016576	FGIG_01869																	
OG0016577	FGIG_01908																	
OG0016578	FGIG_01933																	
OG0016579	FGIG_01941																	
OG0016580	FGIG_01959																	
OG0016581	FGIG_01969																	
OG0016582	FGIG_01979																	
OG0016583	FGIG_01995																	
OG0016584	FGIG_02000																	
OG0016585	FGIG_02011																	
OG0016586	FGIG_02043																	
OG0016587	FGIG_02062																	
OG0016588	FGIG_02075																	
OG0016589	FGIG_02112																	
OG0016590	FGIG_02117																	
OG0016591	FGIG_02132																	
OG0016592	FGIG_02133																	
OG0016593	FGIG_02192																	
OG0016594	FGIG_02227																	
OG0016595	FGIG_02234																	
OG0016596	FGIG_02266																	
OG0016597	FGIG_02294																	
OG0016598	FGIG_02305																	
OG0016599	FGIG_02315																	
OG0016600	FGIG_02335																	
OG0016601	FGIG_02348																	
OG0016602	FGIG_02352																	
OG0016603	FGIG_02353																	
OG0016604	FGIG_02391																	
OG0016605	FGIG_02393																	
OG0016606	FGIG_02416																	
OG0016607	FGIG_02429																	
OG0016608	FGIG_02467																	
OG0016609	FGIG_02471																	
OG0016610	FGIG_02506																	
OG0016611	FGIG_02533																	
OG0016612	FGIG_02534																	
OG0016613	FGIG_02559																	
OG0016614	FGIG_02562																	
OG0016615	FGIG_02563																	
OG0016616	FGIG_02643																	
OG0016617	FGIG_02680																	
OG0016618	FGIG_02691																	
OG0016619	FGIG_02701																	
OG0016620	FGIG_02711																	
OG0016621	FGIG_02716																	
OG0016622	FGIG_02753																	
OG0016623	FGIG_02754																	
OG0016624	FGIG_02758																	
OG0016625	FGIG_02779																	
OG0016626	FGIG_02782																	
OG0016627	FGIG_02811																	
OG0016628	FGIG_02829																	
OG0016629	FGIG_02870																	
OG0016630	FGIG_02885																	
OG0016631	FGIG_02886																	
OG0016632	FGIG_02893																	
OG0016633	FGIG_02907																	
OG0016634	FGIG_02933																	
OG0016635	FGIG_02941																	
OG0016636	FGIG_02942																	
OG0016637	FGIG_03005																	
OG0016638	FGIG_03014																	
OG0016639	FGIG_03040																	
OG0016640	FGIG_03042																	
OG0016641	FGIG_03045																	
OG0016642	FGIG_03055																	
OG0016643	FGIG_03128																	
OG0016644	FGIG_03147																	
OG0016645	FGIG_03177																	
OG0016646	FGIG_03184																	
OG0016647	FGIG_03208																	
OG0016648	FGIG_03220																	
OG0016649	FGIG_03227																	
OG0016650	FGIG_03237																	
OG0016651	FGIG_03265																	
OG0016652	FGIG_03288																	
OG0016653	FGIG_03324																	
OG0016654	FGIG_03339																	
OG0016655	FGIG_03358																	
OG0016656	FGIG_03361																	
OG0016657	FGIG_03367																	
OG0016658	FGIG_03375																	
OG0016659	FGIG_03386																	
OG0016660	FGIG_03399																	
OG0016661	FGIG_03407																	
OG0016662	FGIG_03418																	
OG0016663	FGIG_03432																	
OG0016664	FGIG_03445																	
OG0016665	FGIG_03456																	
OG0016666	FGIG_03457																	
OG0016667	FGIG_03490																	
OG0016668	FGIG_03499																	
OG0016669	FGIG_03519																	
OG0016670	FGIG_03521																	
OG0016671	FGIG_03524																	
OG0016672	FGIG_03548																	
OG0016673	FGIG_03573																	
OG0016674	FGIG_03585																	
OG0016675	FGIG_03586																	
OG0016676	FGIG_03592																	
OG0016677	FGIG_03598																	
OG0016678	FGIG_03626																	
OG0016679	FGIG_03639																	
OG0016680	FGIG_03689																	
OG0016681	FGIG_03691																	
OG0016682	FGIG_03719																	
OG0016683	FGIG_03744																	
OG0016684	FGIG_03745																	
OG0016685	FGIG_03746																	
OG0016686	FGIG_03747																	
OG0016687	FGIG_03774																	
OG0016688	FGIG_03798																	
OG0016689	FGIG_03803																	
OG0016690	FGIG_03843																	
OG0016691	FGIG_03846																	
OG0016692	FGIG_03873																	
OG0016693	FGIG_03883																	
OG0016694	FGIG_03918																	
OG0016695	FGIG_03940																	
OG0016696	FGIG_03942																	
OG0016697	FGIG_03959																	
OG0016698	FGIG_03965																	
OG0016699	FGIG_03966																	
OG0016700	FGIG_03971																	
OG0016701	FGIG_03981																	
OG0016702	FGIG_03982																	
OG0016703	FGIG_03999																	
OG0016704	FGIG_04021																	
OG0016705	FGIG_04024																	
OG0016706	FGIG_04066																	
OG0016707	FGIG_04070																	
OG0016708	FGIG_04111																	
OG0016709	FGIG_04122																	
OG0016710	FGIG_04153																	
OG0016711	FGIG_04187																	
OG0016712	FGIG_04204																	
OG0016713	FGIG_04210																	
OG0016714	FGIG_04217																	
OG0016715	FGIG_04219																	
OG0016716	FGIG_04300																	
OG0016717	FGIG_04313																	
OG0016718	FGIG_04319																	
OG0016719	FGIG_04334																	
OG0016720	FGIG_04346																	
OG0016721	FGIG_04348																	
OG0016722	FGIG_04358																	
OG0016723	FGIG_04361																	
OG0016724	FGIG_04374																	
OG0016725	FGIG_04376																	
OG0016726	FGIG_04379																	
OG0016727	FGIG_04397																	
OG0016728	FGIG_04427																	
