Orthogroup	opisthorchis_viverrini	schistosoma_japonicum
OG0000000	T265_05532, T265_09370, T265_05276	EWB00_007114
OG0000000	T265_15361	EWB00_003401
OG0000000	T265_02362	EWB00_010051
OG0000000	T265_10809, T265_07517, T265_02826, T265_06663, T265_00603, T265_14063, T265_00103, T265_02131, T265_14942, T265_07200, T265_06091, T265_11586, T265_12734, T265_05736, T265_00282, T265_03380, T265_14712, T265_06932, T265_01261, T265_10246, T265_09694, T265_05340, T265_12961, T265_14658, T265_04750, T265_06821, T265_10817, T265_08973, T265_13859, T265_11753, T265_03797, T265_02084, T265_12901, T265_01387, T265_00077, T265_01026, T265_02287, T265_13581, T265_11717, T265_13817, T265_02455, T265_05867, T265_05297, T265_00702, T265_06344, T265_00441, T265_06646, T265_04510, T265_04094, T265_07705, T265_07496, T265_04545, T265_11720, T265_15202, T265_08248, T265_04346, T265_06626, T265_14616, T265_08392	EWB00_001222
OG0000000	T265_00989, T265_03225, T265_13193, T265_04370, T265_02479	EWB00_000722
OG0000000	T265_08292	EWB00_002406
OG0000000	T265_11738, T265_01000, T265_04573, T265_03467	EWB00_011331, EWB00_010543
OG0000000	T265_05764	EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418
OG0000000	T265_08627	EWB00_005812, EWB00_006700, EWB00_011084, EWB00_007437
OG0000002	T265_07568	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919
OG0000002	T265_11803	EWB00_009284, EWB00_008408, EWB00_009922, EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	T265_05040, T265_05430	EWB00_000881
OG0000003	T265_11432	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000005	T265_11244	EWB00_002047, EWB00_000812, EWB00_002569, EWB00_000895
OG0000006	T265_09181	EWB00_009237, EWB00_009659, EWB00_005592
OG0000006	T265_05236, T265_11669, T265_00007, T265_10422	EWB00_008091
OG0000006	T265_08444	EWB00_008234
OG0000006	T265_06454	EWB00_004008
OG0000009	T265_07923	EWB00_002474.1, EWB00_002474.2
OG0000010	T265_00946, T265_06572, T265_07798, T265_13863, T265_04991, T265_12735, T265_13486, T265_03840, T265_05696, T265_01457, T265_03616, T265_05745, T265_15748, T265_03727	EWB00_006690
OG0000010	T265_13421	EWB00_003501
OG0000010	T265_03839, T265_08549	EWB00_007719
OG0000010	T265_00181	EWB00_004604
OG0000010	T265_03079	EWB00_000088
OG0000012	T265_16252, T265_09012	EWB00_002832
OG0000014	T265_11882	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	T265_11957	EWB00_008878, EWB00_008877
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	T265_12809, T265_04378	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000019	T265_07377	EWB00_004344, EWB00_004346
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	EWB00_010539
OG0000021	T265_00883	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1, EWB00_010822, EWB00_002049, EWB00_002050.1, EWB00_002050.2
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000022	T265_03268	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	EWB00_001990
OG0000023	T265_09097	EWB00_008435
OG0000024	T265_04524, T265_12877	EWB00_007079
OG0000024	T265_08845	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	T265_10896, T265_12043, T265_03132	EWB00_008906
OG0000026	T265_07485	EWB00_002251.1, EWB00_002251.2
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	EWB00_002721, EWB00_002746
OG0000027	T265_14036	EWB00_003944
OG0000028	T265_03596, T265_13290	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	T265_08214	EWB00_008857
OG0000029	T265_00572, T265_00570, T265_00571	EWB00_007517
OG0000029	T265_11026	EWB00_002502.3
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	EWB00_004876, EWB00_004878
OG0000030	T265_14111	EWB00_003826
OG0000031	T265_06361	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	T265_03331	EWB00_010258, EWB00_009578
OG0000032	T265_07282	EWB00_003338
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	T265_00972	EWB00_002318
OG0000037	T265_00630	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569
OG0000040	T265_01293	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263
OG0000043	T265_02563	EWB00_003370, EWB00_010871
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2
OG0000049	T265_01286	EWB00_001608.1, EWB00_001608.2
OG0000049	T265_15552	EWB00_008098
OG0000050	T265_02127, T265_02652	EWB00_005371.1, EWB00_005371.2
OG0000052	T265_08730, T265_12065	EWB00_003293
OG0000052	T265_04421	EWB00_007330
OG0000052	T265_02480	EWB00_003847
OG0000052	T265_06797	EWB00_009848
OG0000053	T265_11166	EWB00_005460.2, EWB00_005460.1
OG0000054	T265_02804	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548
OG0000055	T265_07023	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2
OG0000056	T265_13933	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825
OG0000058	T265_07455	EWB00_001871
OG0000058	T265_13746	EWB00_003488.1, EWB00_003488.2
OG0000060	T265_13025	EWB00_010498.1, EWB00_010498.2
OG0000061	T265_02884	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2
OG0000062	T265_10452	EWB00_008458
OG0000063	T265_09823	EWB00_006170
OG0000064	T265_15306	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	EWB00_000537, EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2
OG0000066	T265_07972	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3
OG0000068	T265_12520	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3
OG0000068	T265_06616	EWB00_000572
OG0000068	T265_13582	EWB00_004327
OG0000068	T265_03815	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2
OG0000070	T265_10197	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2
OG0000071	T265_11263, T265_11264	EWB00_001786
OG0000072	T265_13598	EWB00_001684
OG0000073	T265_11926	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437
OG0000074	T265_06662	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1
OG0000074	T265_09755	EWB00_007512.1
OG0000074	T265_14825	EWB00_004196.3, EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4, EWB00_004196.6
OG0000074	T265_13709	EWB00_008993
OG0000075	T265_02596	EWB00_001749
OG0000076	T265_01838	EWB00_000338, EWB00_000339
OG0000076	T265_09657, T265_14927	EWB00_009041
OG0000077	T265_07170	EWB00_004677
OG0000078	T265_10237, T265_16023	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3
OG0000079	T265_03623	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3
OG0000079	T265_11700	EWB00_006494.1, EWB00_006494.2
OG0000080	T265_07150, T265_07149	EWB00_004899.1, EWB00_004899.2
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773
OG0000082	T265_13150	EWB00_009477
OG0000085	T265_03464, T265_13261, T265_16244	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5
OG0000086	T265_13900	EWB00_004530
OG0000087	T265_01347, T265_12258	EWB00_010661
OG0000090	T265_02657, T265_14540	EWB00_005364
OG0000091	T265_04053	EWB00_010764.1, EWB00_010764.2
OG0000092	T265_14035, T265_15099	EWB00_007194.1, EWB00_007194.2
OG0000092	T265_03205	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1
OG0000093	T265_08704	EWB00_003936
OG0000094	T265_06493	EWB00_009097.1, EWB00_009097.2
OG0000095	T265_08487	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3
OG0000096	T265_09813	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5
OG0000097	T265_02082	EWB00_007768
OG0000098	T265_08810	EWB00_011356
OG0000098	T265_16367, T265_15515	EWB00_009825, EWB00_009827.1, EWB00_009827.2
OG0000099	T265_01131	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3
OG0000099	T265_02321	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	EWB00_007164, EWB00_003625, EWB00_009588, EWB00_010419
OG0000102	T265_01574	EWB00_010834.2, EWB00_010834.1
OG0000102	T265_05632	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2
OG0000103	T265_13207	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3
OG0000105	T265_07815, T265_03022	EWB00_002088, EWB00_004453
OG0000107	T265_07863	EWB00_007831
OG0000108	T265_04554, T265_13536	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5
OG0000110	T265_08891, T265_08892	EWB00_006025, EWB00_006029
OG0000110	T265_08890	EWB00_006023
OG0000111	T265_09132	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4
OG0000111	T265_08991, T265_14719	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3
OG0000112	T265_10678	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1
OG0000114	T265_15923, T265_05226, T265_11486	EWB00_000559.1, EWB00_000559.2
OG0000115	T265_14637	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	T265_02129	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	T265_11206	EWB00_006015.1, EWB00_006015.2
OG0000119	T265_12920	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	T265_09108	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	T265_15228, T265_15224	EWB00_003485
OG0000123	T265_02792	EWB00_001234.1, EWB00_001234.2
OG0000125	T265_13688	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000127	T265_14567	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	T265_14408	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	T265_07587	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	T265_04661	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	EWB00_002108.1, EWB00_002108.2, EWB00_003089
OG0000132	T265_00680	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
