Orthogroup	schistosoma_spindale	trichobilharzia_regenti
OG0000000	SSPN1_74680.1	TREG1_81550.1
OG0000000	SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1
OG0000002	SSPN1_65720.1, SSPN1_61980.1	TREG1_121520.1
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1
OG0000004	SSPN1_55530.1	TREG1_114890.1, TREG1_91510.1, TREG1_11430.1, TREG1_43860.1, TREG1_78510.1, TREG1_104710.1, TREG1_117230.1, TREG1_16900.1, TREG1_143740.1, TREG1_14680.1, TREG1_128340.1, TREG1_117920.1, TREG1_70450.1, TREG1_49610.1, TREG1_55440.1, TREG1_132510.1, TREG1_67310.1, TREG1_102020.1, TREG1_77160.1, TREG1_130700.1, TREG1_80360.1, TREG1_7560.1, TREG1_37500.1, TREG1_65020.1, TREG1_35720.1, TREG1_119210.1, TREG1_69100.1, TREG1_69390.1, TREG1_51440.1, TREG1_133520.1, TREG1_105490.1, TREG1_75160.1, TREG1_96730.1, TREG1_96730.2, TREG1_99620.1, TREG1_111900.1, TREG1_51930.1, TREG1_56360.1, TREG1_9160.1, TREG1_86090.1, TREG1_62070.1, TREG1_139030.1, TREG1_102840.1, TREG1_45670.1, TREG1_121760.1, TREG1_121760.2, TREG1_21670.1, TREG1_30820.1, TREG1_90760.1, TREG1_62440.1, TREG1_46400.1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1
OG0000006	SSPN1_38850.1	TREG1_113530.1, TREG1_73790.1
OG0000009	SSPN1_9010.1	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1
OG0000009	SSPN1_11020.1, SSPN1_13330.1	TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1
OG0000009	SSPN1_41310.1	TREG1_134360.1
OG0000009	SSPN1_6760.1, SSPN1_3480.1	TREG1_7850.1
OG0000009	SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1	TREG1_113040.1, TREG1_51650.1, TREG1_56290.1, TREG1_73870.1, TREG1_135550.1, TREG1_64950.1, TREG1_106560.1, TREG1_56430.1, TREG1_58610.1, TREG1_14020.1, TREG1_122800.1, TREG1_65930.1
OG0000009	SSPN1_90120.1, SSPN1_19830.1, SSPN1_81880.1, SSPN1_81030.1	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2
OG0000009	SSPN1_59780.1	TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1
OG0000014	SSPN1_32740.1	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	SSPN1_32720.1	TREG1_51330.1
OG0000015	SSPN1_58880.1	TREG1_82560.1
OG0000015	SSPN1_58870.1	TREG1_82570.1
OG0000015	SSPN1_32590.1	TREG1_44970.1
OG0000015	SSPN1_32580.1	TREG1_44960.1
OG0000015	SSPN1_32560.1	TREG1_44940.2, TREG1_44940.1
OG0000015	SSPN1_42240.1	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	SSPN1_41450.1	TREG1_42390.2
OG0000016	SSPN1_30120.1	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1
OG0000016	SSPN1_43120.1, SSPN1_5650.1, SSPN1_58720.1, SSPN1_49770.1, SSPN1_93180.11, SSPN1_93180.12, SSPN1_93180.13, SSPN1_93180.14, SSPN1_93180.15, SSPN1_93180.16, SSPN1_93180.17, SSPN1_93180.4, SSPN1_93180.7, SSPN1_93180.9, SSPN1_93180.1, SSPN1_93180.10, SSPN1_93180.2, SSPN1_93180.3, SSPN1_93180.5, SSPN1_93180.6, SSPN1_93180.8, SSPN1_9040.1	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	SSPN1_8230.1	TREG1_7080.1
OG0000021	SSPN1_5730.1, SSPN1_5720.1	TREG1_13160.1
OG0000021	SSPN1_5740.1, SSPN1_5750.1	TREG1_13170.1, TREG1_13180.1
OG0000021	SSPN1_5680.1, SSPN1_5680.2	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5
OG0000021	SSPN1_5700.1	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3
OG0000021	SSPN1_5710.1	TREG1_13150.1
OG0000021	SSPN1_5690.1, SSPN1_5690.2	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	TREG1_58780.1
OG0000023	SSPN1_8610.1	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	SSPN1_22780.1	TREG1_48810.1
OG0000024	SSPN1_65160.1	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1
OG0000024	SSPN1_77320.1	TREG1_101000.1
OG0000024	SSPN1_77310.1, SSPN1_77310.2	TREG1_101010.1
OG0000026	SSPN1_76710.1, SSPN1_76710.2	TREG1_108810.1
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	TREG1_100830.1, TREG1_100840.1
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39	TREG1_41010.1
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2
OG0000029	SSPN1_55690.1	TREG1_77780.2, TREG1_77780.1
OG0000029	SSPN1_84220.1	TREG1_125210.1
OG0000029	SSPN1_84180.1	TREG1_120250.1
OG0000029	SSPN1_85060.1	TREG1_124060.1
OG0000029	SSPN1_85050.1	TREG1_124050.1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9
