Orthogroup	s.mekongi	schistosoma_haematobium
OG0000000	KAK4474313.1, KAK4474221.1	SHAE2_51070.1, SHAE2_29830.1, SHAE2_30190.1, SHAE2_19080.1, SHAE2_25780.1, SHAE2_33880.1, SHAE2_49000.1, SHAE2_67380.1, SHAE2_67390.1
OG0000000	KAK4467292.1	SHAE2_53240.1, SHAE2_33930.1, SHAE2_90210.1, SHAE2_77100.1, SHAE2_43990.1, SHAE2_76270.1
OG0000002	KAK4467347.1	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5
OG0000006	KAK4467570.1	SHAE2_55900.1, SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1
OG0000006	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	SHAE2_49370.1
OG0000008	KAK4472200.1	SHAE2_83090.1, SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1, SHAE2_93370.1
OG0000009	KAK4472212.1	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1, SHAE2_64150.1
OG0000014	KAK4473936.1	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	KAK4473938.1	SHAE2_41150.1
OG0000015	KAK4471448.1	SHAE2_70060.1
OG0000015	KAK4473954.1, KAK4473955.1	SHAE2_41370.1
OG0000015	KAK4467362.1, KAK4467363.1	SHAE2_46480.1
OG0000015	KAK4474356.1	SHAE2_11980.1
OG0000016	KAK4472342.1	SHAE2_91170.1, SHAE2_22460.1, SHAE2_63450.1
