Orthogroup	schistosoma_spindale	schistosoma_curassoni
OG0000000	SSPN1_47020.1	SCUR1_18950.1
OG0000000	SSPN1_74680.1	SCUR1_81350.1, SCUR1_72800.1
OG0000000	SSPN1_61750.1, SSPN1_25780.1	SCUR1_23690.1
OG0000000	SSPN1_17390.1	SCUR1_50600.1
OG0000000	SSPN1_88550.1, SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1	SCUR1_12880.1
OG0000000	SSPN1_48580.1	SCUR1_34060.1
OG0000000	SSPN1_890.1, SSPN1_890.2, SSPN1_11550.1, SSPN1_18830.1, SSPN1_82850.1, SSPN1_86670.1, SSPN1_48920.1, SSPN1_7960.1, SSPN1_74880.1, SSPN1_69150.1, SSPN1_65120.1, SSPN1_72030.1, SSPN1_63740.1, SSPN1_46140.1, SSPN1_93400.1, SSPN1_27820.1, SSPN1_32780.1, SSPN1_89540.1, SSPN1_17560.1, SSPN1_30570.1, SSPN1_8650.1	SCUR1_62700.1
OG0000000	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1	SCUR1_78890.1
OG0000000	SSPN1_7780.1	SCUR1_86560.1
OG0000000	SSPN1_52320.1	SCUR1_11060.1
OG0000000	SSPN1_4430.1	SCUR1_3160.1
OG0000000	SSPN1_8190.1	SCUR1_2030.1, SCUR1_59970.1
OG0000000	SSPN1_20930.1	SCUR1_13410.1, SCUR1_84530.1, SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1, SCUR1_64420.1, SCUR1_36220.1, SCUR1_10670.1, SCUR1_18070.1
