Orthogroup	schistosoma_mansoni	opisthorchis_viverrini
OG0000000	Smp_130500.1	T265_01027, T265_06587, T265_07591, T265_13751, T265_06143, T265_11671, T265_15361, T265_02362, T265_13866
OG0000003	Smp_059140.1, Smp_167670.1, Smp_167780.1	T265_11432
OG0000006	Smp_330020.1	T265_06454
OG0000010	Smp_202350.1	T265_08228, T265_11188
OG0000011	Smp_185560.1	T265_03777, T265_06394, T265_10671, T265_03412, T265_03042, T265_12694, T265_04476, T265_05787, T265_06624, T265_08438, T265_12928, T265_01860, T265_02919, T265_01196, T265_14487, T265_14411, T265_03763, T265_14529, T265_04437, T265_01566, T265_03549, T265_04733, T265_06224, T265_08681, T265_10675, T265_15673, T265_14618, T265_14475, T265_01322, T265_07289, T265_06388, T265_15404, T265_05288, T265_14023, T265_13000, T265_10521, T265_09039, T265_04142, T265_07381, T265_14956, T265_07504, T265_04616, T265_10329, T265_01687, T265_01239, T265_12825, T265_11405, T265_04111, T265_00884, T265_10565, T265_03137, T265_05822, T265_07744, T265_04133, T265_07394, T265_13040, T265_04649, T265_01722, T265_05292, T265_08121, T265_15082, T265_13310, T265_13248, T265_13728, T265_04843, T265_01060, T265_12926, T265_01721, T265_13891, T265_05345, T265_13354, T265_14057, T265_03598, T265_12474, T265_09440, T265_13719, T265_15608, T265_14800, T265_05215, T265_13721, T265_04921, T265_01657, T265_06202, T265_14243, T265_07727, T265_14706, T265_08141, T265_01659, T265_02234, T265_10866, T265_13126, T265_02642, T265_08281, T265_09552, T265_00633, T265_04220, T265_02415, T265_11099, T265_15103, T265_06316, T265_07395, T265_14366, T265_04105, T265_05618, T265_04730, T265_13961, T265_13789, T265_08841, T265_02623, T265_09652, T265_08712, T265_11744, T265_08887, T265_11339, T265_10506, T265_06923, T265_09301, T265_10517, T265_15148, T265_15373, T265_10883, T265_09431, T265_11131, T265_14030, T265_00753, T265_14867, T265_06359, T265_04354, T265_00792, T265_14709, T265_06540, T265_11422, T265_14888, T265_12751, T265_07645, T265_02330, T265_07981, T265_10334, T265_12756, T265_10419, T265_01875, T265_07104, T265_08439, T265_14304, T265_00404, T265_08237, T265_03330, T265_13716, T265_00508, T265_09683, T265_15125, T265_10414, T265_03426, T265_11312, T265_14782, T265_01560, T265_04801, T265_09681, T265_10448, T265_07101, T265_14680, T265_00668, T265_14990, T265_05978, T265_00203, T265_03295, T265_13325, T265_01819, T265_06025, T265_04723, T265_00305, T265_04611, T265_06345, T265_07229, T265_09229, T265_07344, T265_05462, T265_05854, T265_05392, T265_03711, T265_01398, T265_12605, T265_11355, T265_14235, T265_13890, T265_06895, T265_02722, T265_00598, T265_04619, T265_14101, T265_05310, T265_07995, T265_01064, T265_03691, T265_10161, T265_14084, T265_13780, T265_13412, T265_08577, T265_06335, T265_09457, T265_14920, T265_14919, T265_00676, T265_12907, T265_14798, T265_04714, T265_14988, T265_06053, T265_08840, T265_08322, T265_04274, T265_09775, T265_10854, T265_13161, T265_05765, T265_14017, T265_14442, T265_05115, T265_02216, T265_06578, T265_14903, T265_09713, T265_12851, T265_07795, T265_13912, T265_07230, T265_14020, T265_12569, T265_13235, T265_14461, T265_12084, T265_00832, T265_10551, T265_10912, T265_08173, T265_05429, T265_03750, T265_02914, T265_03396, T265_01330, T265_10737, T265_05269, T265_06610, T265_02587, T265_11577, T265_14486, T265_14109, T265_01191, T265_01781, T265_06571, T265_15343, T265_11983, T265_01201, T265_01110, T265_04674, T265_02285, T265_08467, T265_09279, T265_13738, T265_10085, T265_12707, T265_14141, T265_13417, T265_05731, T265_08333, T265_03227, T265_05599, T265_07782, T265_02235, T265_03417, T265_00800
OG0000012	Smp_154760.1, Smp_154760.2	T265_16252, T265_09012
OG0000014	Smp_141630.1	T265_11882
OG0000015	Smp_326390.1, Smp_202130.1	T265_11957
OG0000015	Smp_201060.1	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	Smp_322950.1	T265_12809, T265_04378
