Orthogroup	schistosoma_spindale	schistosoma_japonicum
OG0000000	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1	EWB00_002406
OG0000000	SSPN1_52320.1	EWB00_003688, EWB00_001896
OG0000000	SSPN1_4430.1	EWB00_006666
OG0000000	SSPN1_76950.1, SSPN1_26180.1	EWB00_003821
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	SSPN1_65720.1, SSPN1_61980.1	EWB00_000881
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	SSPN1_32870.1, SSPN1_67190.1, SSPN1_10130.1, SSPN1_40150.1, SSPN1_32100.1, SSPN1_68120.1, SSPN1_33350.1, SSPN1_87910.1, SSPN1_60940.1, SSPN1_12620.1, SSPN1_38590.1, SSPN1_14290.1	EWB00_009940
OG0000005	SSPN1_32330.1, SSPN1_34260.1	EWB00_002047, EWB00_000812, EWB00_002569
OG0000006	SSPN1_21890.1, SSPN1_9770.1	EWB00_004294, EWB00_009952
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	EWB00_002568
OG0000006	SSPN1_38850.1	EWB00_005576, EWB00_005574
OG0000008	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1	EWB00_003269
OG0000009	SSPN1_9010.1	EWB00_004712
OG0000014	SSPN1_32740.1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	SSPN1_58880.1	EWB00_008878
OG0000015	SSPN1_58870.1	EWB00_008877
OG0000015	SSPN1_32590.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	SSPN1_32580.1	EWB00_004377.1, EWB00_004377.2
OG0000015	SSPN1_32560.1	EWB00_004374
OG0000015	SSPN1_42240.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000018	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2	EWB00_010090
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16	EWB00_004344
OG0000019	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	EWB00_004346
OG0000020	SSPN1_88760.1, SSPN1_88770.1	EWB00_000448
OG0000021	SSPN1_8230.1	EWB00_010539
OG0000021	SSPN1_5730.1, SSPN1_5720.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	SSPN1_5740.1, SSPN1_5750.1	EWB00_010822
OG0000021	SSPN1_5680.1, SSPN1_5680.2	EWB00_002049
OG0000021	SSPN1_5700.1	EWB00_002050.1, EWB00_002050.2
OG0000021	SSPN1_5710.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	SSPN1_5690.1, SSPN1_5690.2	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	SSPN1_44790.1	EWB00_001990
OG0000023	SSPN1_8610.1	EWB00_008435
OG0000024	SSPN1_22780.1	EWB00_007079
OG0000024	SSPN1_88100.1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
