Orthogroup	schistosoma_intercalatum	schistosoma_bovis
OG0000000	SINT1_27320.1, SINT1_96870.1, SINT1_6730.1, SINT1_37360.1	SBOV2_46600.1
OG0000000	SINT1_82320.1	SBOV2_32480.1
OG0000000	SINT1_92270.1, SINT1_2880.1	SBOV2_43280.1
OG0000000	SINT1_31720.1	SBOV2_28070.1
OG0000000	SINT1_89410.1, SINT1_77770.1, SINT1_3960.1, SINT1_13010.1	SBOV2_24640.1
OG0000000	SINT1_3870.1, SINT1_3900.1, SINT1_75520.1	SBOV2_45580.1
OG0000000	SINT1_54070.1	SBOV2_10200.1
OG0000000	SINT1_18270.1	SBOV2_62110.1
OG0000000	SINT1_42170.1	SBOV2_95890.1
OG0000002	SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1	SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4
OG0000002	SINT1_86910.1	SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1
OG0000002	SINT1_86920.1	SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1
OG0000002	SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3
OG0000003	SINT1_17320.4, SINT1_17320.6, SINT1_17140.7	SBOV2_22620.3
OG0000003	SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7	SBOV2_32260.1
OG0000003	SINT1_17140.2	SBOV2_64240.1
OG0000003	SINT1_17140.2	SBOV2_64240.2
OG0000003	SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2	SBOV2_67820.1
OG0000003	SINT1_21700.1	SBOV2_45640.4
OG0000003	SINT1_21700.2	SBOV2_45640.4
OG0000003	SINT1_48210.2	SBOV2_45640.4
OG0000003	SINT1_94580.1	SBOV2_45640.4
OG0000003	SINT1_34760.1, SINT1_34760.2	SBOV2_96560.1, SBOV2_96560.2
OG0000004	SINT1_45250.1, SINT1_36370.1	SBOV2_84080.1
OG0000004	SINT1_66570.1	SBOV2_45530.3, SBOV2_17290.1
OG0000004	SINT1_44880.1	SBOV2_26620.1, SBOV2_56720.1, SBOV2_56720.2
OG0000004	SINT1_1220.1	SBOV2_80040.1
OG0000004	SINT1_77680.1, SINT1_71570.1, SINT1_40360.1, SINT1_17680.1	SBOV2_92090.1
OG0000005	SINT1_26890.1, SINT1_6630.1	SBOV2_77100.1
OG0000005	SINT1_18860.1	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1
OG0000005	SINT1_32790.1, SINT1_94730.1, SINT1_69100.1, SINT1_48750.1, SINT1_13590.1, SINT1_26950.1, SINT1_44150.1	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1
OG0000005	SINT1_56920.1	SBOV2_35020.1, SBOV2_90330.1
OG0000006	SINT1_40400.1, SINT1_49650.1	SBOV2_32360.1, SBOV2_3690.1
OG0000006	SINT1_16380.1	SBOV2_59330.1, SBOV2_9090.1
OG0000006	SINT1_59640.1	SBOV2_2480.1
