Orthogroup	s.mekongi	schistosoma_japonicum
OG0000000	KAK4474313.1, KAK4474221.1	EWB00_002406, EWB00_003688, EWB00_001896, EWB00_006666
OG0000000	KAK4467292.1	EWB00_011331, EWB00_010543, EWB00_005526, EWB00_002902, EWB00_009614, EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418, EWB00_009181, EWB00_003821, EWB00_005812, EWB00_006700, EWB00_011084, EWB00_007437
OG0000002	KAK4468963.1, KAK4474300.1, KAK4474292.1, KAK4468401.1, KAK4470013.1, KAK4468389.1, KAK4468387.1	EWB00_009284
OG0000002	KAK4467415.1, KAK4471035.1	EWB00_008408, EWB00_009922
OG0000002	KAK4467347.1, KAK4467348.1, KAK4471052.1, KAK4472162.1, KAK4474339.1, KAK4467259.1, KAK4474249.1, KAK4468977.1, KAK4472141.1, KAK4468395.1, KAK4472211.1, KAK4472207.1, KAK4472132.1, KAK4470048.1, KAK4471020.1, KAK4468378.1, KAK4474245.1, KAK4472226.1, KAK4472138.1, KAK4468396.1, KAK4470000.1, KAK4471084.1, KAK4474337.1, KAK4467315.1, KAK4472136.1	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	KAK4474259.1	EWB00_000881
OG0000004	KAK4474260.1	EWB00_009940
OG0000004	KAK4470021.1	EWB00_002233
OG0000005	KAK4467571.1, KAK4474250.1	EWB00_005736, EWB00_006826
OG0000005	KAK4467977.1	EWB00_009775
OG0000006	KAK4467570.1	EWB00_004294, EWB00_009952, EWB00_009237, EWB00_009659, EWB00_005592
OG0000006	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1	EWB00_004008
OG0000008	KAK4474318.1	EWB00_009725, EWB00_007732, EWB00_009511, EWB00_011235, EWB00_009724, EWB00_000089, EWB00_004485, EWB00_008581, EWB00_003327
OG0000008	KAK4467601.1	EWB00_000151
OG0000008	KAK4468976.1	EWB00_003366
OG0000008	KAK4470040.1, KAK4472171.1, KAK4468959.1, KAK4468984.1, KAK4468403.1, KAK4472121.1	EWB00_009466
OG0000008	KAK4468382.1, KAK4474240.1, KAK4474246.1	EWB00_005808
OG0000008	KAK4472200.1	EWB00_003269
OG0000009	KAK4471529.1	EWB00_002474.1, EWB00_002474.2
OG0000012	KAK4473632.1	EWB00_002832
OG0000014	KAK4473936.1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	KAK4471448.1	EWB00_008878
OG0000015	KAK4473954.1, KAK4473955.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	KAK4467362.1, KAK4467363.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	KAK4474356.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1	EWB00_010090
OG0000019	KAK4473983.1	EWB00_004344
OG0000019	KAK4473981.1	EWB00_004346
OG0000020	KAK4468750.1	EWB00_004966
OG0000020	KAK4468742.1	EWB00_000449
OG0000020	KAK4468876.1	EWB00_000357, EWB00_000358
OG0000020	KAK4468761.1	EWB00_000380, EWB00_000381
OG0000021	KAK4475892.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4
