Orthogroup	s.mekongi	schistosoma_mattheei
OG0000000	KAK4474313.1, KAK4474221.1	SMTH1_82290.1, SMTH1_46250.1, SMTH1_10620.1, SMTH1_28150.1, SMTH1_41800.1, SMTH1_6790.1, SMTH1_78610.1, SMTH1_23580.1, SMTH1_38000.1, SMTH1_91240.1
OG0000000	KAK4467292.1	SMTH1_69400.1, SMTH1_3250.1, SMTH1_26170.1, SMTH1_46570.1, SMTH1_31620.1, SMTH1_450.1, SMTH1_35470.1
OG0000002	KAK4467347.1	SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1, SMTH1_97440.1, SMTH1_97450.1
OG0000004	KAK4470021.1	SMTH1_107180.1
OG0000006	KAK4467570.1	SMTH1_68820.1, SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	SMTH1_25140.1
OG0000008	KAK4472200.1	SMTH1_29710.1, SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1
OG0000009	KAK4471801.1	SMTH1_78800.1, SMTH1_140.1
OG0000009	KAK4469289.1	SMTH1_13430.1
OG0000009	KAK4472212.1	SMTH1_89240.1, SMTH1_89240.2, SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1
OG0000014	KAK4473936.1	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9
OG0000015	KAK4473938.1	SMTH1_42330.1
OG0000015	KAK4471448.1	SMTH1_73160.1
OG0000015	KAK4473954.1, KAK4473955.1	SMTH1_42560.1
OG0000015	KAK4467362.1, KAK4467363.1	SMTH1_48670.1
OG0000015	KAK4474356.1	SMTH1_11420.1
OG0000018	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1	SMTH1_29900.2, SMTH1_29900.7, SMTH1_29900.3, SMTH1_29900.4, SMTH1_29900.6, SMTH1_29900.5, SMTH1_60370.1, SMTH1_29900.1, SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1, SMTH1_44570.1, SMTH1_44570.2, SMTH1_83600.1, SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1
OG0000019	KAK4473983.1	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4
OG0000019	KAK4473981.1	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000021	KAK4475892.1, KAK4475894.1	SMTH1_6700.1, SMTH1_82170.1
OG0000021	KAK4475895.1	SMTH1_6710.1
OG0000021	KAK4475890.1	SMTH1_6660.1, SMTH1_6650.1
OG0000021	KAK4475891.1	SMTH1_6690.1, SMTH1_6690.2
OG0000021	KAK4475889.1	SMTH1_6640.1, SMTH1_6640.3, SMTH1_6640.2
OG0000022	KAK4473037.1	SMTH1_30110.1
OG0000023	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1	SMTH1_107560.1, SMTH1_39840.1, SMTH1_107460.1, SMTH1_78450.1, SMTH1_91200.1
OG0000024	KAK4473313.1	SMTH1_26330.1
OG0000024	KAK4468456.1	SMTH1_101590.1
OG0000024	KAK4471475.1	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000024	KAK4470835.1	SMTH1_89320.1
OG0000024	KAK4470057.1	SMTH1_89310.1
OG0000026	KAK4470973.1	SMTH1_88650.1, SMTH1_88650.2
OG0000026	KAK4470239.1, KAK4470240.1	SMTH1_80430.1
