Orthogroup	fasciola_hepatica	schistosoma_intercalatum
OG0000000	FhHiC23_g1880.t1	SINT1_90690.1, SINT1_49080.1, SINT1_58080.1, SINT1_70180.1, SINT1_42170.1, SINT1_52230.1
OG0000005	FhHiC23_g11333.t1	SINT1_26890.1, SINT1_6630.1
OG0000005	FhHiC23_g13259.t1, FhHiC23_g5281.t1	SINT1_18860.1
OG0000006	FhHiC23_g1683.t1	SINT1_39810.1, SINT1_59640.1, SINT1_85130.1, SINT1_66770.1, SINT1_56700.1, SINT1_94430.1, SINT1_14410.1, SINT1_25480.1, SINT1_5030.1, SINT1_76970.1
OG0000006	FhHiC23_g7517.t1	SINT1_49590.1, SINT1_9870.1, SINT1_500.1, SINT1_500.3, SINT1_500.2
OG0000006	FhHiC23_g2201.t1	SINT1_8460.1, SINT1_94400.1, SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1
OG0000009	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1	SINT1_36860.1, SINT1_55890.1, SINT1_45810.1
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	SINT1_40600.24, SINT1_40600.23, SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20
OG0000014	FhHiC23_g14469.t1	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7
OG0000015	FhHiC23_g14476.t1	SINT1_38300.1
OG0000015	FhHiC23_g13988.t1, FhHiC23_g13993.t1	SINT1_65310.1, SINT1_65320.1
OG0000015	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1	SINT1_38460.1
OG0000015	FhHiC23_g16654.t1, FhHiC23_g14001.t1	SINT1_38470.1, SINT1_38470.2
OG0000015	FhHiC23_g14206.t1	SINT1_43670.1
