Orthogroup	fasciola_gigantica	fasciola_hepatica
OG0000000	FGIG_01283	FhHiC23_g16632.t1, FhHiC23_g15018.t1, FhHiC23_g16596.t1
OG0000000	FGIG_07746	FhHiC23_g13917.t1, FhHiC23_g8464.t1, FhHiC23_g6729.t1, FhHiC23_g6728.t1
OG0000002	FGIG_02209	FhHiC23_g8926.t1
OG0000002	FGIG_11600	FhHiC23_g13055.t1
OG0000002	FGIG_09080	FhHiC23_g9274.t1, FhHiC23_g9400.t1, FhHiC23_g7225.t1, FhHiC23_g1582.t1, FhHiC23_g14333.t1, FhHiC23_g1100.t1, FhHiC23_g10292.t1
OG0000002	FGIG_10285	FhHiC23_g12877.t1
OG0000002	FGIG_09319	FhHiC23_g2549.t1, FhHiC23_g14734.t1, FhHiC23_g6841.t1, FhHiC23_g4327.t1, FhHiC23_g10594.t1, FhHiC23_g6724.t1, FhHiC23_g6726.t1
OG0000002	FGIG_11489	FhHiC23_g10032.t1
OG0000006	FGIG_10502	FhHiC23_g6097.t1, FhHiC23_g10341.t1, FhHiC23_g7757.t1, FhHiC23_g8625.t1
OG0000008	FGIG_01604	FhHiC23_g10238.t1, FhHiC23_g12193.t1, FhHiC23_g1894.t1, FhHiC23_g5470.t1, FhHiC23_g11662.t1, FhHiC23_g3405.t1, FhHiC23_g9647.t1, FhHiC23_g16538.t1, FhHiC23_g6271.t1, FhHiC23_g15774.t1, FhHiC23_g9965.t1, FhHiC23_g740.t1, FhHiC23_g3867.t1, FhHiC23_g2994.t1, FhHiC23_g4554.t1, FhHiC23_g8916.t1, FhHiC23_g7866.t1, FhHiC23_g13363.t1, FhHiC23_g1992.t1, FhHiC23_g8158.t1, FhHiC23_g8925.t1, FhHiC23_g717.t1, FhHiC23_g8543.t1
OG0000009	FGIG_02970	FhHiC23_g5989.t1, FhHiC23_g4650.t1, FhHiC23_g4653.t1, FhHiC23_g4654.t1, FhHiC23_g4651.t1, FhHiC23_g4652.t1
OG0000009	FGIG_01054	FhHiC23_g8305.t1, FhHiC23_g6322.t1, FhHiC23_g6320.t1
OG0000010	FGIG_10402	FhHiC23_g3228.t1
OG0000012	FGIG_00643	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	FGIG_02434	FhHiC23_g14469.t1
OG0000015	FGIG_12126	FhHiC23_g13988.t1
OG0000015	FGIG_08847	FhHiC23_g13993.t1
OG0000015	FGIG_09118	FhHiC23_g14071.t1
OG0000015	FGIG_10861	FhHiC23_g13997.t1
OG0000015	FGIG_10862	FhHiC23_g13996.t1
OG0000015	FGIG_07349	FhHiC23_g13999.t1
OG0000015	FGIG_10471	FhHiC23_g16654.t1
OG0000015	FGIG_07736	FhHiC23_g14001.t1
OG0000015	FGIG_03654	FhHiC23_g14207.t1
OG0000015	FGIG_03653	FhHiC23_g14206.t1
OG0000015	FGIG_02432	FhHiC23_g14471.t1
OG0000015	FGIG_02431	FhHiC23_g14472.t1
OG0000015	FGIG_11504	FhHiC23_g14475.t1
OG0000015	FGIG_05368	FhHiC23_g14628.t1
OG0000015	FGIG_05133	FhHiC23_g13668.t1
OG0000016	FGIG_06404	FhHiC23_g3288.t1
OG0000019	FGIG_11320	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000019	FGIG_07515	FhHiC23_g5529.t3, FhHiC23_g5529.t1, FhHiC23_g5529.t2, FhHiC23_g5529.t4, FhHiC23_g5529.t5, FhHiC23_g5529.t6, FhHiC23_g5529.t7
OG0000021	FGIG_04378	FhHiC23_g13529.t1
OG0000021	FGIG_04728	FhHiC23_g12834.t1
OG0000021	FGIG_06427, FGIG_06428	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	FGIG_03596, FGIG_03595	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000023	FGIG_12315	FhHiC23_g8211.t1, FhHiC23_g8056.t1, FhHiC23_g497.t1, FhHiC23_g15906.t1
OG0000024	FGIG_02542	FhHiC23_g8663.t1
OG0000024	FGIG_08968	FhHiC23_g5245.t1
OG0000024	FGIG_10904	FhHiC23_g1523.t1
OG0000024	FGIG_02663	FhHiC23_g2599.t1
OG0000024	FGIG_09065	FhHiC23_g16265.t1
OG0000024	FGIG_08969	FhHiC23_g5242.t1
OG0000024	FGIG_02661	FhHiC23_g2601.t1
OG0000024	FGIG_02664	FhHiC23_g2598.t1
OG0000024	FGIG_02662	FhHiC23_g2600.t1
OG0000024	FGIG_01641	FhHiC23_g3909.t1
OG0000024	FGIG_07662	FhHiC23_g6966.t1
OG0000024	FGIG_11018, FGIG_08815	FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000024	FGIG_12230	FhHiC23_g1520.t1, FhHiC23_g1521.t1, FhHiC23_g1522.t1
OG0000026	FGIG_09798	FhHiC23_g9700.t3, FhHiC23_g9700.t1, FhHiC23_g9700.t2
OG0000026	FGIG_05063	FhHiC23_g1282.t1
OG0000026	FGIG_06363	FhHiC23_g2137.t1, FhHiC23_g2140.t1
OG0000026	FGIG_06362	FhHiC23_g2142.t1
OG0000026	FGIG_05048	FhHiC23_g2712.t1, FhHiC23_g2712.t2
OG0000026	FGIG_08063	FhHiC23_g2721.t1
OG0000026	FGIG_04998	FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	FGIG_03818	FhHiC23_g5213.t1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3
OG0000028	FGIG_10120, FGIG_11071, FGIG_07777	FhHiC23_g3336.t1
OG0000029	FGIG_01225	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	FGIG_12390	FhHiC23_g15904.t1
OG0000029	FGIG_07520	FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	FGIG_11050	FhHiC23_g16497.t1
OG0000029	FGIG_07271	FhHiC23_g15510.t1
OG0000029	FGIG_00116	FhHiC23_g15705.t1
OG0000029	FGIG_11109	FhHiC23_g16496.t1
OG0000030	FGIG_03562	FhHiC23_g11202.t1
OG0000031	FGIG_00219, FGIG_09645	FhHiC23_g15305.t1
OG0000032	FGIG_04072	FhHiC23_g13161.t1
OG0000032	FGIG_12421	FhHiC23_g12741.t1
OG0000032	FGIG_02819	FhHiC23_g12985.t1
OG0000032	FGIG_03670	FhHiC23_g13908.t1, FhHiC23_g13918.t1
OG0000032	FGIG_08039	FhHiC23_g3568.t1
OG0000032	FGIG_08038	FhHiC23_g3568.t2
OG0000032	FGIG_12135	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000032	FGIG_04371	FhHiC23_g11680.t1
OG0000034	FGIG_11870	FhHiC23_g13064.t1
OG0000034	FGIG_10591	FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3
OG0000034	FGIG_05132	FhHiC23_g13670.t1
OG0000035	FGIG_03979	FhHiC23_g11487.t2, FhHiC23_g11487.t4
OG0000035	FGIG_03980	FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000036	FGIG_02104	FhHiC23_g11086.t1, FhHiC23_g14049.t1, FhHiC23_g12363.t1, FhHiC23_g14736.t1, FhHiC23_g3106.t1
OG0000037	FGIG_03131, FGIG_03132	FhHiC23_g6871.t1
OG0000040	FGIG_07013	FhHiC23_g2039.t1
OG0000042	FGIG_05270	FhHiC23_g15459.t1
OG0000043	FGIG_08366	FhHiC23_g4609.t1, FhHiC23_g4609.t2
OG0000044	FGIG_02910, FGIG_04537, FGIG_03293	FhHiC23_g1755.t1
OG0000045	FGIG_12527	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2
OG0000049	FGIG_07932, FGIG_00477	FhHiC23_g1642.t1, FhHiC23_g1642.t2
OG0000049	FGIG_06077	FhHiC23_g2467.t1, FhHiC23_g2467.t2
OG0000050	FGIG_02718	FhHiC23_g957.t1
OG0000050	FGIG_02717	FhHiC23_g956.t1
OG0000050	FGIG_07228	FhHiC23_g960.t1, FhHiC23_g960.t2
OG0000052	FGIG_00994	FhHiC23_g6159.t2, FhHiC23_g6159.t1
OG0000052	FGIG_02824	FhHiC23_g12020.t1, FhHiC23_g12020.t3
OG0000052	FGIG_00459	FhHiC23_g13097.t1, FhHiC23_g13097.t2, FhHiC23_g13095.t1, FhHiC23_g13095.t2
OG0000052	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600	FhHiC23_g13824.t1
OG0000052	FGIG_04502	FhHiC23_g7219.t2, FhHiC23_g7219.t3
OG0000052	FGIG_12676	FhHiC23_g7219.t1
OG0000053	FGIG_08393, FGIG_12440	FhHiC23_g15140.t1, FhHiC23_g15140.t2
OG0000054	FGIG_06834, FGIG_00432	FhHiC23_g4961.t1, FhHiC23_g16319.t1
OG0000054	FGIG_05300	FhHiC23_g16178.t1
OG0000054	FGIG_12516	FhHiC23_g14380.t1, FhHiC23_g11010.t1, FhHiC23_g16188.t1, FhHiC23_g16179.t1
OG0000055	FGIG_03285	FhHiC23_g8345.t1
OG0000055	FGIG_05988	FhHiC23_g8344.t1
OG0000058	FGIG_11220	FhHiC23_g16509.t1
OG0000058	FGIG_06708	FhHiC23_g3241.t1
OG0000058	FGIG_00649	FhHiC23_g3240.t1
OG0000060	FGIG_07684	FhHiC23_g8030.t1
OG0000061	FGIG_09986	FhHiC23_g1481.t4, FhHiC23_g1481.t6, FhHiC23_g1481.t2, FhHiC23_g1481.t3, FhHiC23_g1481.t1, FhHiC23_g1481.t5
OG0000062	FGIG_00991	FhHiC23_g12088.t1, FhHiC23_g12088.t4
OG0000063	FGIG_03231	FhHiC23_g5471.t1, FhHiC23_g5471.t2
OG0000064	FGIG_06602	FhHiC23_g13576.t2, FhHiC23_g13576.t1
OG0000065	FGIG_09064	FhHiC23_g16266.t1
OG0000065	FGIG_12667	FhHiC23_g10252.t1
OG0000065	FGIG_08898	FhHiC23_g10251.t1
OG0000065	FGIG_01175	FhHiC23_g10047.t1
OG0000065	FGIG_02492	FhHiC23_g10134.t2, FhHiC23_g10133.t1
OG0000065	FGIG_07535	FhHiC23_g10134.t1
OG0000065	FGIG_12523	FhHiC23_g10151.t2, FhHiC23_g10150.t1
OG0000066	FGIG_00170	FhHiC23_g6042.t1, FhHiC23_g6042.t3, FhHiC23_g6042.t2, FhHiC23_g6042.t4, FhHiC23_g6042.t5, FhHiC23_g6042.t6
OG0000067	FGIG_02840	FhHiC23_g7039.t1
OG0000067	FGIG_02842	FhHiC23_g7040.t1
OG0000068	FGIG_12158	FhHiC23_g8084.t1, FhHiC23_g1795.t1, FhHiC23_g3468.t1
OG0000068	FGIG_12079	FhHiC23_g9101.t2, FhHiC23_g9101.t1, FhHiC23_g10754.t1
OG0000068	FGIG_07351	FhHiC23_g14707.t1, FhHiC23_g14707.t2, FhHiC23_g14706.t1
OG0000068	FGIG_05814	FhHiC23_g5260.t1
OG0000069	FGIG_12680	FhHiC23_g15180.t3
OG0000069	FGIG_06996	FhHiC23_g15180.t1, FhHiC23_g15180.t2
OG0000070	FGIG_00176	FhHiC23_g14582.t3, FhHiC23_g14582.t2, FhHiC23_g14582.t4
OG0000070	FGIG_00174	FhHiC23_g14582.t1
OG0000071	FGIG_07065	FhHiC23_g6283.t1
OG0000071	FGIG_07067	FhHiC23_g6282.t1, FhHiC23_g6282.t2
OG0000072	FGIG_06022	FhHiC23_g15889.t2, FhHiC23_g15889.t3
OG0000072	FGIG_09056	FhHiC23_g15889.t1
OG0000073	FGIG_05759	FhHiC23_g2446.t4, FhHiC23_g2446.t2, FhHiC23_g2446.t3, FhHiC23_g2446.t1, FhHiC23_g2446.t5
OG0000074	FGIG_06125	FhHiC23_g13499.t1
OG0000074	FGIG_03273	FhHiC23_g4352.t2, FhHiC23_g4352.t1
OG0000074	FGIG_07718	FhHiC23_g10998.t1
OG0000074	FGIG_01338	FhHiC23_g16397.t1
OG0000075	FGIG_05387	FhHiC23_g5300.t1, FhHiC23_g5300.t2
OG0000076	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290	FhHiC23_g8656.t1, FhHiC23_g8656.t2
OG0000076	FGIG_08489, FGIG_08490, FGIG_08491	FhHiC23_g13008.t1, FhHiC23_g13008.t2
OG0000077	FGIG_09054	FhHiC23_g13340.t1
OG0000078	FGIG_04314	FhHiC23_g13137.t1
OG0000079	FGIG_07135, FGIG_07136	FhHiC23_g5009.t2, FhHiC23_g5009.t1
OG0000079	FGIG_05069	FhHiC23_g2347.t2
OG0000079	FGIG_05070	FhHiC23_g2347.t1, FhHiC23_g2347.t3
OG0000080	FGIG_03532	FhHiC23_g14390.t1
OG0000081	FGIG_05277	FhHiC23_g1604.t1
OG0000081	FGIG_11514	FhHiC23_g8541.t1, FhHiC23_g2294.t1
OG0000082	FGIG_06461	FhHiC23_g13569.t1, FhHiC23_g13569.t2
OG0000085	FGIG_06241	FhHiC23_g14230.t1, FhHiC23_g14230.t2, FhHiC23_g14231.t1
OG0000086	FGIG_09371	FhHiC23_g1071.t1
OG0000087	FGIG_03026	FhHiC23_g1744.t1, FhHiC23_g1744.t2
OG0000088	FGIG_14005, FGIG_05150	FhHiC23_g5522.t1
OG0000090	FGIG_01258	FhHiC23_g954.t1, FhHiC23_g954.t2
OG0000091	FGIG_02766	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5
OG0000091	FGIG_02768	FhHiC23_g1072.t2
OG0000092	FGIG_06562	FhHiC23_g12946.t1, FhHiC23_g12946.t2
OG0000092	FGIG_11548	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2
OG0000093	FGIG_04003	FhHiC23_g5402.t1, FhHiC23_g5404.t1
OG0000093	FGIG_05928	FhHiC23_g11510.t1
OG0000093	FGIG_03785	FhHiC23_g6196.t1
OG0000093	FGIG_02320, FGIG_07732, FGIG_10190	FhHiC23_g5957.t1
OG0000093	FGIG_00747	FhHiC23_g6435.t1
OG0000094	FGIG_00948	FhHiC23_g11975.t1, FhHiC23_g11975.t2
OG0000095	FGIG_01883	FhHiC23_g7183.t1
OG0000096	FGIG_03065	FhHiC23_g5432.t1, FhHiC23_g5432.t2
OG0000097	FGIG_06823	FhHiC23_g11521.t1
OG0000098	FGIG_08056	FhHiC23_g4954.t1, FhHiC23_g4955.t1
OG0000098	FGIG_08009	FhHiC23_g8191.t1, FhHiC23_g8190.t1
OG0000099	FGIG_01162	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3
OG0000099	FGIG_12217	FhHiC23_g1666.t1
OG0000099	FGIG_10911	FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4
OG0000102	FGIG_11657	FhHiC23_g13582.t1
OG0000102	FGIG_04726, FGIG_06854	FhHiC23_g7758.t1
OG0000103	FGIG_06145, FGIG_13990	FhHiC23_g2725.t1
OG0000104	FGIG_08148	FhHiC23_g12208.t1
OG0000105	FGIG_06918	FhHiC23_g13058.t1
OG0000108	FGIG_10097, FGIG_10098, FGIG_03847	FhHiC23_g10941.t2, FhHiC23_g10941.t1
OG0000110	FGIG_03667	FhHiC23_g5186.t1, FhHiC23_g5186.t2
OG0000110	FGIG_10562	FhHiC23_g5563.t1
OG0000110	FGIG_06603	FhHiC23_g5184.t1, FhHiC23_g5184.t2, FhHiC23_g5184.t3
OG0000111	FGIG_04030	FhHiC23_g4957.t1
OG0000111	FGIG_06759	FhHiC23_g5507.t1
OG0000111	FGIG_04347	FhHiC23_g5520.t1
OG0000112	FGIG_09308, FGIG_06819	FhHiC23_g3619.t1, FhHiC23_g3619.t2
OG0000114	FGIG_00156	FhHiC23_g9186.t1
OG0000115	FGIG_02859	FhHiC23_g5095.t1
OG0000116	FGIG_03832, FGIG_01693	FhHiC23_g484.t4, FhHiC23_g484.t1, FhHiC23_g484.t3, FhHiC23_g484.t2
OG0000117	FGIG_02197	FhHiC23_g5310.t1
OG0000118	FGIG_02831	FhHiC23_g5237.t1
OG0000119	FGIG_05939, FGIG_05940	FhHiC23_g10335.t1
OG0000120	FGIG_06695	FhHiC23_g5279.t1
OG0000122	FGIG_06459, FGIG_06458	FhHiC23_g1533.t1
OG0000123	FGIG_06911	FhHiC23_g3411.t3, FhHiC23_g3411.t2, FhHiC23_g3411.t4, FhHiC23_g3411.t1
OG0000125	FGIG_12140, FGIG_05136	FhHiC23_g12828.t1, FhHiC23_g12828.t2, FhHiC23_g12828.t3
OG0000126	FGIG_02836, FGIG_00047	FhHiC23_g11731.t2, FhHiC23_g11731.t3, FhHiC23_g11731.t1
OG0000127	FGIG_10651	FhHiC23_g12206.t1
OG0000127	FGIG_01876	FhHiC23_g12204.t1
OG0000128	FGIG_02928	FhHiC23_g14316.t1
OG0000129	FGIG_01051	FhHiC23_g5688.t1, FhHiC23_g5688.t2
OG0000130	FGIG_06548, FGIG_01370	FhHiC23_g3563.t2, FhHiC23_g3563.t4, FhHiC23_g3563.t1, FhHiC23_g3563.t3
OG0000131	FGIG_05376	FhHiC23_g14945.t1, FhHiC23_g14945.t2
OG0000131	FGIG_05377	FhHiC23_g14944.t1
OG0000131	FGIG_11768	FhHiC23_g14213.t1, FhHiC23_g14216.t1, FhHiC23_g14216.t2
OG0000131	FGIG_10846	FhHiC23_g14222.t1, FhHiC23_g14214.t1, FhHiC23_g14214.t2, FhHiC23_g14215.t1, FhHiC23_g14223.t1
OG0000131	FGIG_05375, FGIG_01592	FhHiC23_g14948.t1
OG0000132	FGIG_04447	FhHiC23_g6424.t2, FhHiC23_g6424.t1
OG0000132	FGIG_04446	FhHiC23_g6424.t3
OG0000133	FGIG_10537	FhHiC23_g6624.t1, FhHiC23_g5039.t1, FhHiC23_g2075.t1
OG0000134	FGIG_03080	FhHiC23_g15419.t1, FhHiC23_g15419.t2
OG0000135	FGIG_08997	FhHiC23_g11606.t1, FhHiC23_g11606.t2, FhHiC23_g11606.t3
OG0000136	FGIG_11134, FGIG_12681	FhHiC23_g11493.t3
OG0000136	FGIG_11135	FhHiC23_g11493.t1
OG0000138	FGIG_10020	FhHiC23_g16219.t1
OG0000138	FGIG_00536, FGIG_00535	FhHiC23_g14050.t1
OG0000139	FGIG_04756	FhHiC23_g12767.t1
OG0000140	FGIG_05800	FhHiC23_g217.t1, FhHiC23_g217.t2
OG0000142	FGIG_10053	FhHiC23_g11124.t1
OG0000142	FGIG_07976	FhHiC23_g15370.t1, FhHiC23_g15371.t1
OG0000142	FGIG_08669	FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1
OG0000142	FGIG_07581	FhHiC23_g15365.t1, FhHiC23_g11989.t1
OG0000142	FGIG_01698	FhHiC23_g15549.t1
OG0000142	FGIG_06045	FhHiC23_g15251.t1
OG0000143	FGIG_03125	FhHiC23_g7696.t1, FhHiC23_g7697.t1
OG0000144	FGIG_04482	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2
OG0000144	FGIG_02516	FhHiC23_g4712.t2, FhHiC23_g4712.t1
OG0000145	FGIG_06896	FhHiC23_g6031.t1
