Orthogroup	schistosoma_intercalatum	s.mekongi
OG0000000	SINT1_18270.1, SINT1_52290.1, SINT1_10040.1, SINT1_41760.1, SINT1_41170.1, SINT1_23230.1, SINT1_90690.1, SINT1_49080.1, SINT1_58080.1, SINT1_70180.1, SINT1_42170.1, SINT1_52230.1, SINT1_7970.1, SINT1_23210.1, SINT1_45530.1, SINT1_81240.1	KAK4474313.1, KAK4474221.1
OG0000000	SINT1_14480.1, SINT1_5480.1, SINT1_6180.1, SINT1_51150.1, SINT1_62500.1	KAK4467292.1
OG0000006	SINT1_40400.1, SINT1_49650.1	KAK4467570.1
OG0000006	SINT1_5030.1, SINT1_76970.1	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1
OG0000008	SINT1_46510.1, SINT1_25930.1, SINT1_64440.1, SINT1_70830.1, SINT1_63570.1, SINT1_33470.1, SINT1_71680.1, SINT1_79730.1, SINT1_53990.1, SINT1_53990.2, SINT1_83680.1, SINT1_92450.1, SINT1_22730.1	KAK4472200.1
OG0000009	SINT1_45500.1, SINT1_14510.1	KAK4471801.1
OG0000009	SINT1_36860.1, SINT1_55890.1, SINT1_45810.1	KAK4472212.1
OG0000014	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	KAK4473936.1
OG0000015	SINT1_38300.1	KAK4473938.1
OG0000015	SINT1_65310.1	KAK4471448.1
OG0000015	SINT1_38460.1	KAK4473954.1, KAK4473955.1
OG0000015	SINT1_43670.1	KAK4467362.1, KAK4467363.1
OG0000015	SINT1_10280.1	KAK4474356.1
OG0000016	SINT1_37800.1, SINT1_2430.1, SINT1_21420.1, SINT1_21520.1, SINT1_37810.1, SINT1_62650.1, SINT1_30130.1	KAK4472342.1
OG0000018	SINT1_81200.1, SINT1_81200.2, SINT1_75920.1, SINT1_75920.2, SINT1_2600.1, SINT1_96520.4, SINT1_67830.2, SINT1_67830.3, SINT1_67830.4, SINT1_67830.5, SINT1_22160.8, SINT1_22160.9, SINT1_96520.1, SINT1_96520.3, SINT1_67830.1, SINT1_67830.6, SINT1_96520.2, SINT1_63310.1, SINT1_22160.7, SINT1_22160.13, SINT1_22160.4, SINT1_22160.5, SINT1_22160.1, SINT1_22160.10, SINT1_22160.11, SINT1_22160.12, SINT1_22160.2, SINT1_22160.3, SINT1_22160.6, SINT1_20820.1, SINT1_20830.1	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5	KAK4473983.1
OG0000019	SINT1_36670.11	KAK4473981.1
OG0000021	SINT1_5840.1, SINT1_5850.1	KAK4475892.1, KAK4475894.1
OG0000021	SINT1_5860.1	KAK4475895.1
OG0000021	SINT1_5810.2, SINT1_5810.1	KAK4475890.1
OG0000021	SINT1_5830.1	KAK4475891.1
OG0000021	SINT1_5790.2, SINT1_5790.1	KAK4475889.1
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	KAK4473037.1
OG0000023	SINT1_19010.1	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1
OG0000023	SINT1_24820.1, SINT1_69890.1, SINT1_27970.1, SINT1_18470.1, SINT1_22950.1, SINT1_24600.1, SINT1_50610.1	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1
OG0000024	SINT1_23830.1	KAK4473313.1
OG0000024	SINT1_90000.1	KAK4468456.1
OG0000024	SINT1_79070.1, SINT1_79070.2	KAK4470835.1
OG0000024	SINT1_79060.1	KAK4470057.1
OG0000026	SINT1_78530.1, SINT1_78530.2	KAK4470973.1
OG0000026	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2	KAK4470239.1, KAK4470240.1
OG0000026	SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1	KAK4470216.1
OG0000028	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14	KAK4470768.1
OG0000029	SINT1_57320.1	KAK4471130.1
OG0000029	SINT1_85860.1	KAK4468717.1
OG0000029	SINT1_20550.1	KAK4474996.1
OG0000029	SINT1_20550.2	KAK4474996.1
OG0000029	SINT1_20550.3	KAK4474996.1
OG0000030	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40	KAK4476063.1
OG0000031	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3	KAK4475389.1
OG0000032	SINT1_10460.1	KAK4476285.1
OG0000032	SINT1_9690.1, SINT1_78580.1, SINT1_78580.2	KAK4470045.1
OG0000033	SINT1_2960.1, SINT1_12580.1, SINT1_27460.1, SINT1_28240.1, SINT1_17560.1, SINT1_40580.1, SINT1_15570.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	SINT1_90240.1, SINT1_90240.2	KAK4468479.1
OG0000034	SINT1_90230.1, SINT1_90220.1	KAK4468478.1
OG0000034	SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1	KAK4471028.1, KAK4471029.1
OG0000035	SINT1_14990.1	KAK4475274.1
OG0000037	SINT1_95680.1, SINT1_95220.1, SINT1_59620.1, SINT1_59620.3, SINT1_59620.2, SINT1_59480.1	KAK4471851.1
OG0000037	SINT1_59630.1, SINT1_96530.1, SINT1_59650.1, SINT1_96160.1, SINT1_96640.1	KAK4471850.1
OG0000042	SINT1_39890.1	KAK4472150.1
OG0000042	SINT1_39880.1	KAK4472153.1
OG0000042	SINT1_39840.1	KAK4473688.1
OG0000042	SINT1_39870.1, SINT1_39850.1, SINT1_39860.1	KAK4472151.1, KAK4472152.1
