Orthogroup	fasciola_hepatica	fasciola_gigantica
OG0000000	FhHiC23_g16632.t1, FhHiC23_g15018.t1, FhHiC23_g16596.t1	FGIG_01283
OG0000000	FhHiC23_g13917.t1, FhHiC23_g8464.t1, FhHiC23_g6729.t1, FhHiC23_g6728.t1	FGIG_07746
OG0000002	FhHiC23_g8926.t1	FGIG_02209
OG0000002	FhHiC23_g13055.t1	FGIG_11600
OG0000002	FhHiC23_g9274.t1, FhHiC23_g9400.t1, FhHiC23_g7225.t1, FhHiC23_g1582.t1, FhHiC23_g14333.t1, FhHiC23_g1100.t1, FhHiC23_g10292.t1	FGIG_09080
OG0000002	FhHiC23_g12877.t1	FGIG_10285
OG0000002	FhHiC23_g2549.t1, FhHiC23_g14734.t1, FhHiC23_g6841.t1, FhHiC23_g4327.t1, FhHiC23_g10594.t1, FhHiC23_g6724.t1, FhHiC23_g6726.t1	FGIG_09319
OG0000002	FhHiC23_g10032.t1	FGIG_11489
OG0000006	FhHiC23_g6097.t1, FhHiC23_g10341.t1, FhHiC23_g7757.t1, FhHiC23_g8625.t1	FGIG_10502
OG0000008	FhHiC23_g10238.t1, FhHiC23_g12193.t1, FhHiC23_g1894.t1, FhHiC23_g5470.t1, FhHiC23_g11662.t1, FhHiC23_g3405.t1, FhHiC23_g9647.t1, FhHiC23_g16538.t1, FhHiC23_g6271.t1, FhHiC23_g15774.t1, FhHiC23_g9965.t1, FhHiC23_g740.t1, FhHiC23_g3867.t1, FhHiC23_g2994.t1, FhHiC23_g4554.t1, FhHiC23_g8916.t1, FhHiC23_g7866.t1, FhHiC23_g13363.t1, FhHiC23_g1992.t1, FhHiC23_g8158.t1, FhHiC23_g8925.t1, FhHiC23_g717.t1, FhHiC23_g8543.t1	FGIG_01604
OG0000009	FhHiC23_g5989.t1, FhHiC23_g4650.t1, FhHiC23_g4653.t1, FhHiC23_g4654.t1, FhHiC23_g4651.t1, FhHiC23_g4652.t1	FGIG_02970
OG0000009	FhHiC23_g8305.t1, FhHiC23_g6322.t1, FhHiC23_g6320.t1	FGIG_01054
OG0000010	FhHiC23_g3228.t1	FGIG_10402
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	FGIG_00643
OG0000014	FhHiC23_g14469.t1	FGIG_02434
OG0000015	FhHiC23_g13988.t1	FGIG_12126
OG0000015	FhHiC23_g13993.t1	FGIG_08847
OG0000015	FhHiC23_g14071.t1	FGIG_09118
OG0000015	FhHiC23_g13997.t1	FGIG_10861
OG0000015	FhHiC23_g13996.t1	FGIG_10862
