Orthogroup	schistosoma_japonicum	schistosoma_mattheei
OG0000000	EWB00_005526, EWB00_002902, EWB00_009614	SMTH1_69400.1
OG0000002	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826	SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1, SMTH1_97440.1, SMTH1_97450.1, SMTH1_104900.1, SMTH1_34500.1, SMTH1_36220.1, SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2, SMTH1_107240.1, SMTH1_107250.1, SMTH1_21370.1, SMTH1_61890.1, SMTH1_61890.3
OG0000003	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346	SMTH1_51780.8, SMTH1_51780.9, SMTH1_51780.5, SMTH1_51780.7, SMTH1_51780.1, SMTH1_51780.3, SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4, SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3, SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3
OG0000004	EWB00_009940	SMTH1_40470.1, SMTH1_6510.1, SMTH1_48810.1, SMTH1_50310.1, SMTH1_20460.1, SMTH1_48240.1, SMTH1_98470.1, SMTH1_19350.1, SMTH1_33620.1
OG0000004	EWB00_002233	SMTH1_107180.1
OG0000005	EWB00_002047, EWB00_000812, EWB00_002569	SMTH1_46440.1, SMTH1_59350.1, SMTH1_59350.2, SMTH1_59350.3, SMTH1_59350.4, SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1
OG0000005	EWB00_000895	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1
OG0000006	EWB00_004294, EWB00_009952	SMTH1_68820.1, SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	EWB00_002568	SMTH1_99630.1, SMTH1_99640.1, SMTH1_66410.1, SMTH1_101460.1, SMTH1_107420.1, SMTH1_65110.1, SMTH1_89700.1, SMTH1_48470.1, SMTH1_107410.1, SMTH1_107410.2, SMTH1_107410.3, SMTH1_78360.1
OG0000008	EWB00_003269	SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1
OG0000010	EWB00_000457, EWB00_004748	SMTH1_64040.1
OG0000010	EWB00_004604	SMTH1_102050.1
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9
OG0000015	EWB00_008878	SMTH1_73160.1
OG0000015	EWB00_008877	SMTH1_73170.1
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	SMTH1_42560.1
OG0000015	EWB00_004377.1, EWB00_004377.2	SMTH1_42570.3, SMTH1_42570.1, SMTH1_42570.2
OG0000015	EWB00_004374	SMTH1_42590.1
OG0000015	EWB00_009254, EWB00_009256.1, EWB00_009256.2	SMTH1_48670.1
OG0000015	EWB00_006401.1, EWB00_006401.2	SMTH1_47660.1
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	SMTH1_11420.1
OG0000018	EWB00_010090	SMTH1_29900.2, SMTH1_29900.7, SMTH1_29900.3, SMTH1_29900.4, SMTH1_29900.6, SMTH1_29900.5, SMTH1_60370.1, SMTH1_29900.1, SMTH1_38820.2, SMTH1_38820.3, SMTH1_38830.1, SMTH1_38840.1, SMTH1_38820.1, SMTH1_44570.1, SMTH1_44570.2, SMTH1_83600.1, SMTH1_64760.2, SMTH1_64760.3, SMTH1_64760.4, SMTH1_64760.1
OG0000019	EWB00_004344	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4
OG0000019	EWB00_004346	SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000020	EWB00_000448	SMTH1_102380.1, SMTH1_102370.1
OG0000021	EWB00_010539	SMTH1_9440.1
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1	SMTH1_6700.1, SMTH1_82170.1
OG0000021	EWB00_010822	SMTH1_6710.1
OG0000021	EWB00_002049	SMTH1_6660.1, SMTH1_6650.1
OG0000021	EWB00_002050.1, EWB00_002050.2	SMTH1_6670.1
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	SMTH1_6690.1, SMTH1_6690.2
OG0000021	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3	SMTH1_6640.1, SMTH1_6640.3, SMTH1_6640.2
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	SMTH1_30110.1
OG0000023	EWB00_008435	SMTH1_107560.1, SMTH1_39840.1, SMTH1_107460.1, SMTH1_78450.1, SMTH1_91200.1
OG0000024	EWB00_007079	SMTH1_26330.1
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	SMTH1_101590.1
OG0000024	EWB00_008906	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000024	EWB00_001214	SMTH1_89320.1
OG0000024	EWB00_003471	SMTH1_89310.1
OG0000026	EWB00_002251.1, EWB00_002251.2	SMTH1_88650.1, SMTH1_88650.2
OG0000026	EWB00_002721	SMTH1_80430.1
OG0000026	EWB00_002746	SMTH1_80360.1
OG0000027	EWB00_003944	SMTH1_44580.22, SMTH1_44580.24, SMTH1_44580.37, SMTH1_44580.23, SMTH1_44580.17, SMTH1_44580.16, SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39, SMTH1_44580.15, SMTH1_44580.21, SMTH1_44580.8, SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12, SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38, SMTH1_44580.18, SMTH1_44580.1, SMTH1_44580.14
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	SMTH1_78260.1, SMTH1_78260.2
OG0000029	EWB00_008857	SMTH1_63900.1
OG0000029	EWB00_007517	SMTH1_96900.1
OG0000029	EWB00_002502.3	SMTH1_22560.5
OG0000029	EWB00_002502.1	SMTH1_22560.1
OG0000029	EWB00_002502.1	SMTH1_22560.2
OG0000029	EWB00_002502.1	SMTH1_22560.3
OG0000029	EWB00_002502.1	SMTH1_22560.4
OG0000029	EWB00_002502.2	SMTH1_22560.1
OG0000029	EWB00_002502.2	SMTH1_22560.2
OG0000029	EWB00_002502.2	SMTH1_22560.3
OG0000029	EWB00_002502.2	SMTH1_22560.4
OG0000029	EWB00_002502.4	SMTH1_22560.1
OG0000029	EWB00_002502.4	SMTH1_22560.2
OG0000029	EWB00_002502.4	SMTH1_22560.3
OG0000029	EWB00_002502.4	SMTH1_22560.4
OG0000029	EWB00_004876	SMTH1_97890.7
OG0000029	EWB00_004878	SMTH1_54510.1, SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	EWB00_003826	SMTH1_7700.1
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3	SMTH1_11640.1
OG0000032	EWB00_008461	SMTH1_11660.1
OG0000032	EWB00_003338	SMTH1_88710.1, SMTH1_10840.2, SMTH1_10840.1, SMTH1_88700.1, SMTH1_88690.1
OG0000033	EWB00_011057, EWB00_008866	SMTH1_94000.1, SMTH1_51400.1, SMTH1_57070.1, SMTH1_101740.1, SMTH1_19750.1, SMTH1_2110.1, SMTH1_21910.1, SMTH1_22590.1, SMTH1_22960.1, SMTH1_35750.1, SMTH1_38700.1, SMTH1_47740.1, SMTH1_49720.1, SMTH1_53960.1, SMTH1_55150.1, SMTH1_59770.1, SMTH1_63160.1, SMTH1_63270.1, SMTH1_75790.1, SMTH1_78180.1, SMTH1_7910.1, SMTH1_81870.1, SMTH1_84770.1, SMTH1_85890.1, SMTH1_88830.1, SMTH1_92150.1, SMTH1_9890.1, SMTH1_77930.1, SMTH1_42200.1, SMTH1_85770.1, SMTH1_15360.1, SMTH1_16280.1, SMTH1_24450.1, SMTH1_6840.1
OG0000034	EWB00_008584	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3
OG0000034	EWB00_008585	SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1
OG0000035	EWB00_002318	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000036	EWB00_004262	SMTH1_10880.1, SMTH1_88260.1, SMTH1_88260.2, SMTH1_73840.1, SMTH1_75240.1, SMTH1_99120.1, SMTH1_1650.1, SMTH1_29330.1, SMTH1_3580.1, SMTH1_43730.1, SMTH1_76250.1, SMTH1_7500.1, SMTH1_51050.1, SMTH1_75070.1, SMTH1_43290.1, SMTH1_9430.1, SMTH1_89590.1, SMTH1_64230.1, SMTH1_42790.1, SMTH1_87980.1, SMTH1_93900.1, SMTH1_63180.1, SMTH1_63180.2, SMTH1_63170.1
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1
OG0000037	EWB00_006569	SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
OG0000042	EWB00_009261.1, EWB00_009261.2	SMTH1_44430.1, SMTH1_44430.2
OG0000042	EWB00_009262	SMTH1_44420.3, SMTH1_44420.4, SMTH1_44420.1, SMTH1_44420.2
OG0000042	EWB00_004609	SMTH1_44330.1
OG0000042	EWB00_004610, EWB00_009263	SMTH1_44340.1, SMTH1_44350.1, SMTH1_44360.1, SMTH1_44370.1, SMTH1_44380.1, SMTH1_44390.1, SMTH1_44410.1
OG0000043	EWB00_003370, EWB00_010871	SMTH1_30710.1, SMTH1_30710.2, SMTH1_30710.3, SMTH1_30710.4, SMTH1_30710.6, SMTH1_30710.5
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	SMTH1_95170.1, SMTH1_95180.1
OG0000044	EWB00_011369.1, EWB00_011369.2	SMTH1_95210.1, SMTH1_95220.1, SMTH1_95220.2, SMTH1_95230.1
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	SMTH1_11900.3, SMTH1_11900.4, SMTH1_11900.2, SMTH1_11900.5, SMTH1_11900.1
OG0000046	EWB00_001944, EWB00_002829	SMTH1_18850.1, SMTH1_47020.4, SMTH1_3530.3, SMTH1_3530.4, SMTH1_47020.1, SMTH1_3530.1, SMTH1_3530.2, SMTH1_47020.2, SMTH1_47020.3
