Orthogroup	schistosoma_margrebowiei	schistosoma_turkestanicum
OG0000000	SMRG1_21630.1	STRK1_54000.1, STRK1_6720.1
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1, SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2	STRK1_40290.1, STRK1_40290.2
OG0000004	SMRG1_79980.1, SMRG1_64480.1, SMRG1_21460.1, SMRG1_72490.1, SMRG1_64540.1, SMRG1_53600.1, SMRG1_64830.1, SMRG1_40440.1, SMRG1_41960.1, SMRG1_71400.1, SMRG1_68800.1	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1
OG0000005	SMRG1_95200.1, SMRG1_54410.1, SMRG1_88960.1	STRK1_81020.1, STRK1_70210.1, STRK1_68120.1
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1, SMRG1_14940.1, SMRG1_64070.1	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1
OG0000006	SMRG1_29020.1, SMRG1_38820.1, SMRG1_95670.1, SMRG1_34780.1, SMRG1_84840.1, SMRG1_88330.1, SMRG1_87900.1	STRK1_1850.1
OG0000009	SMRG1_85170.1, SMRG1_1650.1	STRK1_39640.1
OG0000012	SMRG1_40800.59	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	STRK1_32840.1
OG0000015	SMRG1_38270.1	STRK1_32820.1
OG0000015	SMRG1_66420.1	STRK1_58960.1
OG0000015	SMRG1_66430.1	STRK1_58950.1
OG0000015	SMRG1_38470.1	STRK1_28980.1
OG0000015	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3	STRK1_28970.1
OG0000015	SMRG1_38500.1	STRK1_28940.1
OG0000015	SMRG1_43920.2, SMRG1_43920.1	STRK1_40280.1
OG0000015	SMRG1_43060.2, SMRG1_43060.3, SMRG1_43060.1, SMRG1_43070.1	STRK1_41060.1
OG0000015	SMRG1_43100.1	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3
OG0000015	SMRG1_9700.1, SMRG1_9780.1	STRK1_9490.1
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2	STRK1_28380.1
OG0000019	SMRG1_36800.13, SMRG1_36800.14	STRK1_28370.1
OG0000020	SMRG1_93590.1, SMRG1_93590.2, SMRG1_93360.1, SMRG1_93570.1, SMRG1_93600.1, SMRG1_93600.2, SMRG1_93310.1, SMRG1_93420.3, SMRG1_93420.1, SMRG1_93420.2, SMRG1_93520.2, SMRG1_93520.1, SMRG1_93540.1, SMRG1_93520.4, SMRG1_93520.3, SMRG1_93520.6, SMRG1_93520.5, SMRG1_93320.1, SMRG1_93440.1, SMRG1_93430.1, SMRG1_93400.1, SMRG1_93400.2, SMRG1_93400.3, SMRG1_93500.1, SMRG1_93550.2, SMRG1_93550.3, SMRG1_93550.1, SMRG1_93350.1, SMRG1_93490.1, SMRG1_93490.5, SMRG1_93490.3, SMRG1_93490.4, SMRG1_93490.6, SMRG1_93490.2, SMRG1_93490.7, SMRG1_93450.1, SMRG1_93450.2, SMRG1_93450.3, SMRG1_93260.1, SMRG1_93260.2	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2
OG0000021	SMRG1_7940.1, SMRG1_7940.2	STRK1_12640.1
OG0000021	SMRG1_5610.1	STRK1_3460.1
OG0000021	SMRG1_5620.1	STRK1_3470.1
OG0000021	SMRG1_5580.1, SMRG1_5580.2	STRK1_3440.1
OG0000021	SMRG1_5600.1	STRK1_3450.1
OG0000021	SMRG1_5560.1, SMRG1_5560.2	STRK1_3430.1
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	STRK1_25560.1, STRK1_25560.2
OG0000023	SMRG1_2960.1	STRK1_89660.1, STRK1_74850.1, STRK1_87840.1
OG0000023	SMRG1_31990.1, SMRG1_66930.1, SMRG1_71600.1, SMRG1_70570.1, SMRG1_74600.1, SMRG1_22550.1, SMRG1_79770.1, SMRG1_86430.1, SMRG1_86500.1, SMRG1_86510.1, SMRG1_8990.1, SMRG1_32280.1, SMRG1_81680.1, SMRG1_17810.1	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1
OG0000024	SMRG1_23720.1	STRK1_22140.1
OG0000024	SMRG1_92680.1	STRK1_101880.1
OG0000024	SMRG1_64800.1	STRK1_58710.1
OG0000024	SMRG1_80820.5, SMRG1_80820.4, SMRG1_80820.1, SMRG1_80820.2, SMRG1_80820.3	STRK1_78170.1
OG0000024	SMRG1_80810.1, SMRG1_80810.2	STRK1_78160.1
OG0000026	SMRG1_80090.1, SMRG1_80090.2	STRK1_76900.1, STRK1_76900.2
OG0000026	SMRG1_72900.1, SMRG1_72830.1	STRK1_69960.1, STRK1_69960.2
