Orthogroup	s.mekongi	opisthorchis_viverrini
OG0000000	KAK4474313.1, KAK4474221.1	T265_08292, T265_06106, T265_03992, T265_00738, T265_00648, T265_03740, T265_04814, T265_03618, T265_07508, T265_05251, T265_13971
OG0000000	KAK4467292.1	T265_05924, T265_11738, T265_01000, T265_04573, T265_03467, T265_01355, T265_11891, T265_05764, T265_14052, T265_05739, T265_04107, T265_08627
OG0000002	KAK4468963.1, KAK4474300.1, KAK4474292.1, KAK4468401.1, KAK4470013.1, KAK4468389.1, KAK4468387.1, KAK4467415.1, KAK4471035.1, KAK4467347.1, KAK4467348.1, KAK4471052.1, KAK4472162.1, KAK4474339.1, KAK4467259.1, KAK4474249.1, KAK4468977.1, KAK4472141.1, KAK4468395.1, KAK4472211.1, KAK4472207.1, KAK4472132.1, KAK4470048.1, KAK4471020.1, KAK4468378.1, KAK4474245.1, KAK4472226.1, KAK4472138.1, KAK4468396.1, KAK4470000.1, KAK4471084.1, KAK4474337.1, KAK4467315.1, KAK4472136.1	T265_11803
OG0000002	KAK4474259.1	T265_05040, T265_05430
OG0000005	KAK4468999.1	T265_15624, T265_08884, T265_05955, T265_13723
OG0000006	KAK4467570.1	T265_09181
OG0000006	KAK4468381.1, KAK4474329.1, KAK4474327.1, KAK4472174.1, KAK4467496.1, KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	T265_12134
OG0000006	KAK4471081.1	T265_01228
OG0000006	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1	T265_06454
OG0000009	KAK4471529.1	T265_07923
OG0000012	KAK4473632.1	T265_16252, T265_09012
OG0000014	KAK4473936.1	T265_11882
OG0000015	KAK4471448.1	T265_11957
OG0000015	KAK4473954.1, KAK4473955.1	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	KAK4474356.1	T265_12809, T265_04378
OG0000019	KAK4473983.1, KAK4473981.1	T265_07377
OG0000021	KAK4475892.1, KAK4475894.1, KAK4475895.1, KAK4475890.1	T265_00883
OG0000021	KAK4475891.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	KAK4473037.1	T265_03268
OG0000023	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001
OG0000023	KAK4468392.1	T265_02351, T265_08565, T265_10803
OG0000023	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1	T265_09097
OG0000024	KAK4473313.1	T265_04524, T265_12877
OG0000024	KAK4468456.1	T265_08845
OG0000024	KAK4471475.1	T265_10896, T265_12043, T265_03132
OG0000026	KAK4470973.1	T265_07485
OG0000026	KAK4470239.1, KAK4470240.1, KAK4470216.1	T265_12778, T265_12779, T265_13344, T265_13367
OG0000027	KAK4473677.1, KAK4472147.1	T265_14036
OG0000028	KAK4470768.1	T265_03596, T265_13290
OG0000029	KAK4471130.1	T265_08214
OG0000029	KAK4468717.1	T265_00572, T265_00570, T265_00571
OG0000029	KAK4468699.1, KAK4468698.1	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	KAK4476063.1	T265_14111
OG0000031	KAK4475389.1	T265_06361
OG0000032	KAK4476283.1, KAK4476284.1	T265_03331
OG0000032	KAK4470045.1	T265_07282
