Orthogroup	opisthorchis_viverrini	schistosoma_curassoni
OG0000000	T265_06006, T265_06300, T265_02039, T265_12005, T265_10068, T265_11176, T265_15728, T265_13717, T265_06754, T265_13091, T265_15497, T265_12887, T265_14625, T265_13541, T265_13105, T265_12768, T265_01918, T265_09900, T265_01833, T265_14019, T265_11185, T265_11456, T265_01508, T265_09381, T265_14925, T265_13796, T265_02918, T265_13050, T265_13257, T265_06733, T265_11075, T265_01836, T265_10051, T265_01226, T265_10313, T265_06708, T265_09401, T265_12055, T265_14585, T265_03491, T265_07219, T265_02827, T265_06356, T265_02691, T265_06740, T265_02706, T265_11584, T265_13208, T265_06915, T265_05637, T265_08413, T265_11175, T265_13747, T265_01112, T265_10079, T265_01663, T265_15688, T265_00419, T265_07431, T265_01929, T265_01570, T265_01431, T265_07780, T265_01386, T265_05368, T265_10118, T265_13927, T265_09709, T265_07528, T265_02171, T265_08179, T265_10371	SCUR1_60820.1
OG0000000	T265_08265, T265_07213	SCUR1_18950.1
OG0000000	T265_02252, T265_00642, T265_02938, T265_10989	SCUR1_23690.1
OG0000000	T265_14993, T265_02443	SCUR1_4180.1
OG0000000	T265_10065	SCUR1_44610.1, SCUR1_50600.1, SCUR1_87560.1, SCUR1_18760.1, SCUR1_20310.1
OG0000000	T265_06680	SCUR1_12880.1
OG0000000	T265_08292, T265_06106, T265_03992, T265_00738	SCUR1_78890.1
OG0000000	T265_03740, T265_04814	SCUR1_41070.1
OG0000000	T265_07508, T265_05251	SCUR1_60840.1, SCUR1_78680.1
OG0000000	T265_13971	SCUR1_3950.1
OG0000000	T265_14052, T265_05739, T265_04107	SCUR1_2030.1, SCUR1_59970.1
OG0000002	T265_11803	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7, SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1, SCUR1_10130.1, SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4, SCUR1_44420.1
OG0000002	T265_05040, T265_05430	SCUR1_56640.1
OG0000003	T265_11432	SCUR1_10840.3, SCUR1_10840.14, SCUR1_10840.13, SCUR1_10840.12, SCUR1_50550.1, SCUR1_50550.2, SCUR1_10840.1, SCUR1_10840.2, SCUR1_1980.3, SCUR1_31360.7, SCUR1_31360.9, SCUR1_31360.6, SCUR1_31360.8, SCUR1_72910.3, SCUR1_27100.5, SCUR1_62060.1, SCUR1_81440.5, SCUR1_23020.1, SCUR1_43960.1, SCUR1_27100.4, SCUR1_27030.1, SCUR1_27030.2, SCUR1_27030.4, SCUR1_27030.5, SCUR1_95570.1, SCUR1_95570.2, SCUR1_78040.1, SCUR1_78040.3, SCUR1_27100.1, SCUR1_28120.1, SCUR1_28120.2, SCUR1_28120.3, SCUR1_1980.4, SCUR1_27030.3, SCUR1_95570.3, SCUR1_78040.2, SCUR1_90510.6, SCUR1_31360.1, SCUR1_31360.10, SCUR1_31360.11, SCUR1_31360.4, SCUR1_31360.5, SCUR1_31360.3, SCUR1_27100.2, SCUR1_27100.3, SCUR1_72910.1, SCUR1_72910.2, SCUR1_72910.4, SCUR1_1980.5, SCUR1_90510.1, SCUR1_31360.2, SCUR1_99400.1, SCUR1_25610.1, SCUR1_99400.2, SCUR1_83520.5, SCUR1_22950.7, SCUR1_42620.1, SCUR1_22950.6, SCUR1_22950.2, SCUR1_22950.3, SCUR1_31380.1, SCUR1_31380.2, SCUR1_5350.3, SCUR1_5350.4, SCUR1_5350.2, SCUR1_5350.1, SCUR1_5350.5, SCUR1_74580.1, SCUR1_22950.8, SCUR1_58510.1, SCUR1_58510.15, SCUR1_58510.3, SCUR1_58510.5, SCUR1_58510.6, SCUR1_58510.4, SCUR1_58510.11, SCUR1_58510.12, SCUR1_58510.13, SCUR1_58510.7, SCUR1_58510.8, SCUR1_58510.9, SCUR1_58510.2
OG0000005	T265_11244	SCUR1_77060.1, SCUR1_90810.1, SCUR1_90810.2, SCUR1_57140.1, SCUR1_36670.1, SCUR1_57280.1
OG0000006	T265_12134	SCUR1_97460.1, SCUR1_29880.1, SCUR1_770.1, SCUR1_86810.1, SCUR1_32370.1, SCUR1_63120.1
OG0000006	T265_06454	SCUR1_10110.1, SCUR1_91530.1, SCUR1_2540.1
OG0000010	T265_00181	SCUR1_1350.1
OG0000012	T265_16252, T265_09012	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45, SCUR1_40740.63, SCUR1_40740.64
OG0000014	T265_11882	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14
OG0000015	T265_11957	SCUR1_65580.1, SCUR1_65590.1, SCUR1_65590.2
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SCUR1_38610.1
OG0000015	T265_01476, T265_15570	SCUR1_43740.1
