# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	TREG1_46620.1	2613.7	1244	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	TREG1_134140.1	984.9	1063	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	TREG1_53760.1	1169.3	1328	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	TREG1_9510.1	2153.1	1622	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	TREG1_16660.1	527.1	504	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	TREG1_113630.1	1160.9	1158	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	TREG1_113630.2	1160.9	1158	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	TREG1_113630.3	1127.8	1115	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Duplicated	TREG1_20960.1	1022.9	950	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	TREG1_20960.2	1009.2	888	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	TREG1_20960.3	1008.9	888	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	TREG1_20960.4	959.4	886	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
50756at33208	Duplicated	TREG1_20960.5	946.3	824	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	TREG1_16120.1	1041.8	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	TREG1_16120.4	1022.2	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	TREG1_16120.3	895.5	680	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Duplicated	TREG1_19240.1	1794.3	1039	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	TREG1_19240.2	1751.8	1039	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	TREG1_51300.2	1894.6	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.8	1894.6	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.10	1894.4	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.3	1894.4	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.7	1894.4	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.1	1894.3	928	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.4	1898.0	925	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.6	1898.0	925	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.9	1892.0	917	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	TREG1_51300.5	1891.5	916	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	TREG1_131600.1	64.5	297	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Duplicated	TREG1_109010.1	798.3	926	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
65302at33208	Duplicated	TREG1_109020.1	798.3	926	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	TREG1_67160.1	1201.2	844	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Duplicated	TREG1_47800.1	456.8	597	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	TREG1_47800.2	456.8	597	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
