Orthogroup	trichobilharzia_regenti	schistosoma_mansoni
OG0000003	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1	Smp_059140.1, Smp_167670.1, Smp_167780.1
OG0000004	TREG1_114890.1, TREG1_91510.1, TREG1_11430.1, TREG1_43860.1, TREG1_78510.1, TREG1_104710.1, TREG1_117230.1, TREG1_16900.1, TREG1_143740.1, TREG1_14680.1, TREG1_128340.1, TREG1_117920.1, TREG1_70450.1, TREG1_49610.1, TREG1_55440.1, TREG1_132510.1, TREG1_67310.1, TREG1_102020.1, TREG1_77160.1, TREG1_130700.1, TREG1_80360.1, TREG1_7560.1, TREG1_37500.1, TREG1_65020.1, TREG1_35720.1, TREG1_119210.1, TREG1_69100.1, TREG1_69390.1, TREG1_51440.1, TREG1_133520.1, TREG1_105490.1, TREG1_75160.1, TREG1_96730.1, TREG1_96730.2, TREG1_99620.1, TREG1_111900.1, TREG1_51930.1, TREG1_56360.1, TREG1_9160.1, TREG1_86090.1, TREG1_62070.1, TREG1_139030.1, TREG1_102840.1, TREG1_45670.1, TREG1_121760.1, TREG1_121760.2, TREG1_21670.1, TREG1_30820.1, TREG1_90760.1, TREG1_62440.1, TREG1_46400.1	Smp_122020.1
OG0000009	TREG1_9000.1, TREG1_111240.1	Smp_329770.1
OG0000009	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2	Smp_245810.1, Smp_118710.1
OG0000009	TREG1_103980.1, TREG1_64410.1	Smp_174140.1
OG0000010	TREG1_94700.1, TREG1_145500.1	Smp_158940.1
OG0000014	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1	Smp_141630.1
OG0000015	TREG1_51330.1	Smp_201030.1
OG0000015	TREG1_82560.1	Smp_326390.1
OG0000015	TREG1_82570.1	Smp_202130.1
OG0000015	TREG1_44970.1	Smp_201060.1
OG0000015	TREG1_44960.1	Smp_095520.1
OG0000015	TREG1_44940.2, TREG1_44940.1	Smp_174520.1
OG0000015	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1	Smp_320310.1
OG0000015	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1	Smp_200190.1
OG0000015	TREG1_129100.1	Smp_322950.1
OG0000016	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1	Smp_169310.1
OG0000019	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2	Smp_102690.1, Smp_179320.1
OG0000021	TREG1_7080.1	Smp_145560.1
OG0000021	TREG1_13160.1	Smp_134980.1
OG0000021	TREG1_13170.1, TREG1_13180.1	Smp_245140.1
OG0000021	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5	Smp_135010.1
OG0000021	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3	Smp_245150.3, Smp_245150.5, Smp_245150.4, Smp_245150.2, Smp_245150.6, Smp_245150.1
OG0000021	TREG1_13150.1	Smp_245160.1
OG0000021	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2	Smp_135020.1
OG0000022	TREG1_58780.1	Smp_163420.1
OG0000024	TREG1_48810.1	Smp_103790.1
OG0000024	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1	Smp_027920.1
OG0000024	TREG1_101000.1	Smp_103140.1
OG0000024	TREG1_101010.1	Smp_090120.1
OG0000026	TREG1_108810.1	Smp_055780.1
OG0000026	TREG1_100830.1, TREG1_100840.1	Smp_336100.1, Smp_089200.1, Smp_089200.2
OG0000027	TREG1_41010.1	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5
OG0000028	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3
OG0000029	TREG1_77780.2, TREG1_77780.1	Smp_072870.1
OG0000029	TREG1_125210.1	Smp_203130.1
OG0000029	TREG1_120250.1	Smp_202970.1
OG0000029	TREG1_124060.1	Smp_183710.1
OG0000030	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1	Smp_174960.1
