Orthogroup	schistosoma_bovis	s.mekongi
OG0000000	SBOV2_62110.1, SBOV2_95890.1, SBOV2_80970.1	KAK4474313.1, KAK4474221.1
OG0000000	SBOV2_9250.1, SBOV2_79810.1	KAK4467292.1
OG0000002	SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1	KAK4467347.1
OG0000002	SBOV2_50780.1, SBOV2_50780.2	KAK4474259.1
OG0000004	SBOV2_77230.1	KAK4467973.1, KAK4471060.1
OG0000004	SBOV2_31470.1	KAK4470021.1
OG0000005	SBOV2_96430.1	KAK4474285.1, KAK4472197.1, KAK4472189.1
OG0000006	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1	KAK4467570.1
OG0000006	SBOV2_58500.1	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1
OG0000008	SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1, SBOV2_68530.1	KAK4472200.1
OG0000009	SBOV2_15160.1	KAK4469289.1
OG0000009	SBOV2_89880.1, SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1, SBOV2_45750.1	KAK4472212.1
OG0000014	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20	KAK4473936.1
OG0000015	SBOV2_29460.1	KAK4473938.1
OG0000015	SBOV2_65410.1	KAK4471448.1
OG0000015	SBOV2_29300.1	KAK4473954.1, KAK4473955.1
OG0000015	SBOV2_42900.1	KAK4467362.1, KAK4467363.1
OG0000015	SBOV2_9870.1	KAK4474356.1
OG0000016	SBOV2_9920.1, SBOV2_22430.1	KAK4472342.1
OG0000018	SBOV2_2690.1	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9	KAK4473983.1
OG0000019	SBOV2_30990.6, SBOV2_30990.1	KAK4473981.1
OG0000021	SBOV2_5830.1	KAK4475892.1, KAK4475894.1
OG0000021	SBOV2_5840.1	KAK4475895.1
OG0000021	SBOV2_5800.2, SBOV2_5800.1	KAK4475890.1
OG0000021	SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2	KAK4475891.1
OG0000021	SBOV2_5780.1, SBOV2_5780.2	KAK4475889.1
OG0000022	SBOV2_40340.1	KAK4473037.1
OG0000023	SBOV2_19240.1	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1
OG0000023	SBOV2_75080.1, SBOV2_22350.1, SBOV2_78210.1, SBOV2_56510.1	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1
OG0000024	SBOV2_23240.1	KAK4473313.1
OG0000024	SBOV2_90560.1	KAK4468456.1
OG0000024	SBOV2_63690.1	KAK4471475.1
OG0000024	SBOV2_79360.1, SBOV2_79360.2	KAK4470835.1
OG0000024	SBOV2_79350.1	KAK4470057.1
OG0000026	SBOV2_78760.1	KAK4470973.1
OG0000026	SBOV2_71440.7, SBOV2_71440.2, SBOV2_71440.10, SBOV2_71440.5, SBOV2_71440.9, SBOV2_71440.8, SBOV2_71440.1, SBOV2_71440.4, SBOV2_71440.6, SBOV2_71440.3	KAK4470216.1
OG0000027	SBOV2_27780.13, SBOV2_27780.29, SBOV2_27780.35, SBOV2_27780.15, SBOV2_27780.14, SBOV2_27780.30, SBOV2_27780.34, SBOV2_27780.12, SBOV2_27780.2, SBOV2_27780.20, SBOV2_27780.28, SBOV2_27780.26, SBOV2_27780.24, SBOV2_27780.33, SBOV2_27780.31	KAK4472147.1
OG0000028	SBOV2_69930.1, SBOV2_69930.3, SBOV2_69930.6, SBOV2_69930.10, SBOV2_69930.13, SBOV2_69930.7, SBOV2_69930.9, SBOV2_69930.12, SBOV2_69930.11, SBOV2_69930.5, SBOV2_69930.8, SBOV2_69930.2, SBOV2_69930.4	KAK4470768.1
OG0000029	SBOV2_57030.1	KAK4471130.1
OG0000029	SBOV2_86480.1	KAK4468717.1
OG0000029	SBOV2_86450.1, SBOV2_96800.1	KAK4468778.1
OG0000029	SBOV2_19870.1	KAK4474996.1
OG0000029	SBOV2_19870.2	KAK4474996.1
OG0000029	SBOV2_19870.3	KAK4474996.1
OG0000029	SBOV2_19870.4	KAK4474996.1
OG0000029	SBOV2_87380.1	KAK4468699.1
OG0000030	SBOV2_6650.12, SBOV2_6650.14, SBOV2_6650.21, SBOV2_6650.22, SBOV2_6650.3, SBOV2_6650.35, SBOV2_6650.41, SBOV2_6650.49, SBOV2_6650.29, SBOV2_6650.30, SBOV2_6650.31, SBOV2_6650.38, SBOV2_6650.9, SBOV2_6650.45, SBOV2_6650.18, SBOV2_6650.1, SBOV2_6650.13, SBOV2_6650.19, SBOV2_6650.2, SBOV2_6650.23, SBOV2_6650.26, SBOV2_6650.34, SBOV2_6650.53, SBOV2_6650.7, SBOV2_6650.15, SBOV2_6650.37, SBOV2_6650.4, SBOV2_6650.40, SBOV2_6650.42, SBOV2_6650.5, SBOV2_6650.8, SBOV2_6650.39, SBOV2_6650.11, SBOV2_6650.24, SBOV2_6650.27, SBOV2_6650.46, SBOV2_6650.10, SBOV2_6650.17, SBOV2_6650.32, SBOV2_6650.33, SBOV2_6650.20, SBOV2_6650.48, SBOV2_6650.50, SBOV2_6650.51, SBOV2_6650.52	KAK4476063.1
OG0000031	SBOV2_20760.2, SBOV2_20760.7, SBOV2_20760.1, SBOV2_20760.9, SBOV2_20760.13, SBOV2_20760.10, SBOV2_20760.11, SBOV2_20760.3, SBOV2_20760.4, SBOV2_20760.5, SBOV2_20760.6, SBOV2_20760.8, SBOV2_20760.12	KAK4475389.1
