Orthogroup	schistosoma_bovis	schmidtea_mediterranea
OG0000000	SBOV2_53930.1, SBOV2_41410.1, SBOV2_8110.1, SBOV2_46600.1, SBOV2_32480.1, SBOV2_45160.1, SBOV2_43280.1, SBOV2_28070.1, SBOV2_24640.1, SBOV2_95740.1, SBOV2_45580.1, SBOV2_56410.1, SBOV2_10200.1, SBOV2_38300.1, SBOV2_62110.1, SBOV2_95890.1, SBOV2_80970.1, SBOV2_9250.1, SBOV2_79810.1	h1SMcT0000914.1
OG0000002	SBOV2_96700.1	h1SMcT0015173.1
OG0000002	SBOV2_81170.1, SBOV2_81170.2, SBOV2_81170.3, SBOV2_81170.4, SBOV2_81170.5, SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4, SBOV2_66570.1, SBOV2_20750.1, SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1, SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1, SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3, SBOV2_50780.1, SBOV2_50780.2	h1SMcT0001934.1
OG0000009	SBOV2_1710.1, SBOV2_76160.1, SBOV2_59820.1, SBOV2_62130.1, SBOV2_91300.1, SBOV2_58610.1, SBOV2_15160.1, SBOV2_89880.1, SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1, SBOV2_45750.1, SBOV2_76620.1, SBOV2_70920.1, SBOV2_28290.1, SBOV2_81720.1, SBOV2_10990.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	SBOV2_95290.1, SBOV2_2840.1, SBOV2_68650.1, SBOV2_81980.1, SBOV2_30110.1, SBOV2_3700.1	h1SMcT0012568.1
OG0000012	SBOV2_27240.38, SBOV2_27240.45, SBOV2_27240.32, SBOV2_27240.3, SBOV2_27240.4, SBOV2_27240.5, SBOV2_27240.15, SBOV2_27240.17, SBOV2_27240.18, SBOV2_27240.33, SBOV2_27240.43, SBOV2_27240.24, SBOV2_27240.25, SBOV2_27240.37, SBOV2_27240.9, SBOV2_27240.2, SBOV2_27240.30, SBOV2_27240.46, SBOV2_27240.23, SBOV2_27240.16, SBOV2_27240.20, SBOV2_27240.26, SBOV2_27240.27, SBOV2_27240.10, SBOV2_27240.11, SBOV2_27240.44, SBOV2_27240.36, SBOV2_27240.28, SBOV2_27240.6, SBOV2_27240.35, SBOV2_27240.13, SBOV2_27240.7, SBOV2_27240.8, SBOV2_27240.40, SBOV2_27240.47, SBOV2_27240.42, SBOV2_27240.41, SBOV2_27240.14, SBOV2_27240.19, SBOV2_27240.21, SBOV2_27240.22, SBOV2_27240.48, SBOV2_27240.31, SBOV2_27240.1, SBOV2_27240.12, SBOV2_27240.39, SBOV2_27240.34, SBOV2_27240.29	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	SBOV2_29460.1, SBOV2_65410.1, SBOV2_65420.1, SBOV2_29300.1, SBOV2_29290.1, SBOV2_42840.1, SBOV2_42900.1, SBOV2_41940.1, SBOV2_41950.1, SBOV2_41990.2, SBOV2_41960.1, SBOV2_41970.1, SBOV2_41990.1, SBOV2_9870.1	h1SMcT0022961.1
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9, SBOV2_30990.6, SBOV2_30990.1	h1SMcT0009829.1
OG0000021	SBOV2_7110.1, SBOV2_5830.1, SBOV2_5840.1, SBOV2_5800.2, SBOV2_5800.1, SBOV2_5810.1, SBOV2_5820.1, SBOV2_5820.3, SBOV2_5820.2, SBOV2_5780.1, SBOV2_5780.2	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
