Orthogroup	schistosoma_margrebowiei	schistosoma_rodhaini
OG0000000	SMRG1_77850.1	SRDH2_77170.1
OG0000000	SMRG1_50500.1	SRDH2_25620.1, SRDH2_86260.1, SRDH2_40700.1, SRDH2_80700.1, SRDH2_92740.1, SRDH2_7430.1, SRDH2_36210.1, SRDH2_88670.1, SRDH2_30050.1, SRDH2_48790.1
OG0000000	SMRG1_9520.1, SMRG1_21630.1, SMRG1_10830.1, SMRG1_93580.1, SMRG1_43020.1, SMRG1_35620.1, SMRG1_9090.1, SMRG1_45810.1	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1, SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000004	SMRG1_79980.1	SRDH2_20010.1
OG0000004	SMRG1_32430.1	SRDH2_89230.1
OG0000005	SMRG1_22610.1, SMRG1_61910.1, SMRG1_16540.1, SMRG1_16520.1	SRDH2_44370.1, SRDH2_39490.1, SRDH2_84110.1, SRDH2_56810.1, SRDH2_58350.1, SRDH2_85280.1, SRDH2_1590.1, SRDH2_1590.2, SRDH2_1590.3, SRDH2_1590.4, SRDH2_1590.5, SRDH2_85730.1, SRDH2_28480.1, SRDH2_56330.1, SRDH2_102570.1
OG0000005	SMRG1_97660.1, SMRG1_8560.1	SRDH2_16230.1, SRDH2_45960.1, SRDH2_60700.1
OG0000005	SMRG1_95200.1, SMRG1_54410.1, SMRG1_88960.1	SRDH2_74440.1, SRDH2_1360.1, SRDH2_79640.1, SRDH2_93790.1, SRDH2_9680.1, SRDH2_55640.1, SRDH2_39870.1, SRDH2_24030.1, SRDH2_92820.1, SRDH2_68140.1, SRDH2_42260.1, SRDH2_40170.1
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1, SMRG1_14940.1, SMRG1_64070.1	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1
OG0000006	SMRG1_29020.1, SMRG1_38820.1, SMRG1_95670.1, SMRG1_34780.1, SMRG1_84840.1, SMRG1_88330.1, SMRG1_87900.1	SRDH2_74110.1, SRDH2_95720.1, SRDH2_42990.1, SRDH2_40930.1, SRDH2_56680.1
OG0000006	SMRG1_96150.1, SMRG1_26330.1	SRDH2_49820.1, SRDH2_56060.1
OG0000006	SMRG1_90230.1, SMRG1_8290.1, SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1
OG0000008	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1, SMRG1_21640.1	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1
OG0000009	SMRG1_85170.1	SRDH2_82870.1, SRDH2_36960.1, SRDH2_71930.1
OG0000009	SMRG1_1650.1	SRDH2_19580.1, SRDH2_19570.1, SRDH2_42650.1, SRDH2_86450.1
OG0000009	SMRG1_37020.1	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1
OG0000009	SMRG1_3150.1	SRDH2_66450.1, SRDH2_33280.1
OG0000009	SMRG1_93380.1	SRDH2_65600.1
OG0000010	SMRG1_86940.1	SRDH2_68920.1
OG0000010	SMRG1_43170.1	SRDH2_68580.2, SRDH2_68590.1
OG0000012	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6
