Orthogroup	schistosoma_margrebowiei	fasciola_gigantica
OG0000008	SMRG1_81250.1, SMRG1_56250.1, SMRG1_90080.1, SMRG1_61850.1, SMRG1_20660.1, SMRG1_64600.1, SMRG1_21640.1	FGIG_01604
OG0000012	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4, SMRG1_40800.59	FGIG_00643
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	FGIG_02434
OG0000015	SMRG1_66420.1, SMRG1_66430.1	FGIG_12126, FGIG_08847
OG0000015	SMRG1_38470.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3	FGIG_10471, FGIG_07736
OG0000015	SMRG1_43920.2, SMRG1_43920.1	FGIG_03653
OG0000015	SMRG1_43060.2, SMRG1_43060.3, SMRG1_43060.1, SMRG1_43070.1	FGIG_02432
OG0000015	SMRG1_9700.1, SMRG1_9780.1	FGIG_05368, FGIG_05133
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14	FGIG_11320
OG0000021	SMRG1_7940.1, SMRG1_7940.2	FGIG_04378, FGIG_04728
OG0000021	SMRG1_5600.1	FGIG_06427, FGIG_06428
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	FGIG_03596, FGIG_03595
OG0000024	SMRG1_23720.1	FGIG_02542
OG0000024	SMRG1_92680.1	FGIG_10904
OG0000024	SMRG1_64800.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	SMRG1_80090.1, SMRG1_80090.2	FGIG_05063
OG0000026	SMRG1_72900.1, SMRG1_72830.1	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	SMRG1_40140.16, SMRG1_40140.7, SMRG1_40140.17, SMRG1_40140.8, SMRG1_40140.29, SMRG1_40140.26, SMRG1_40140.30, SMRG1_40140.11, SMRG1_40140.34, SMRG1_40140.19, SMRG1_40140.31, SMRG1_40140.9, SMRG1_40140.32, SMRG1_40140.27, SMRG1_40140.14, SMRG1_40140.15, SMRG1_40140.13, SMRG1_40140.35, SMRG1_40140.25, SMRG1_40140.12, SMRG1_40140.33, SMRG1_40140.10, SMRG1_40140.24, SMRG1_40140.2, SMRG1_40140.28, SMRG1_40140.6, SMRG1_40140.4, SMRG1_40140.5, SMRG1_40140.21, SMRG1_40140.18, SMRG1_40140.20, SMRG1_40140.3, SMRG1_40140.23, SMRG1_40140.22, SMRG1_40140.1	FGIG_03818
