Orthogroup	fasciola_hepatica	schistosoma_japonicum
OG0000000	FhHiC23_g7450.t1	EWB00_007114
OG0000000	FhHiC23_g16632.t1	EWB00_003401
OG0000000	FhHiC23_g15018.t1, FhHiC23_g16596.t1	EWB00_010051
OG0000000	FhHiC23_g5500.t1, FhHiC23_g10642.t1	EWB00_000722
OG0000000	FhHiC23_g11020.t1, FhHiC23_g13776.t1	EWB00_011331, EWB00_010543
OG0000000	FhHiC23_g7392.t1	EWB00_005526, EWB00_002902, EWB00_009614
OG0000002	FhHiC23_g11972.t1, FhHiC23_g15678.t1, FhHiC23_g16832.t1, FhHiC23_g8926.t1	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919
OG0000002	FhHiC23_g8487.t1, FhHiC23_g251.t1	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	FhHiC23_g10032.t1, FhHiC23_g6421.t1	EWB00_000881
OG0000005	FhHiC23_g13259.t1, FhHiC23_g5281.t1	EWB00_000895
OG0000005	FhHiC23_g10056.t1	EWB00_005736, EWB00_006826
OG0000005	FhHiC23_g11401.t1	EWB00_009775
OG0000006	FhHiC23_g7146.t1	EWB00_004294, EWB00_009952
OG0000006	FhHiC23_g10723.t1	EWB00_000462
OG0000006	FhHiC23_g491.t1	EWB00_008234
OG0000006	FhHiC23_g12099.t1, FhHiC23_g7403.t1	EWB00_004008
OG0000006	FhHiC23_g2201.t1	EWB00_002568
OG0000010	FhHiC23_g13439.t1, FhHiC23_g2435.t1, FhHiC23_g2221.t1, FhHiC23_g16183.t1, FhHiC23_g8175.t1, FhHiC23_g7438.t1, FhHiC23_g5198.t1, FhHiC23_g13061.t1, FhHiC23_g7942.t1, FhHiC23_g13941.t1, FhHiC23_g6188.t1	EWB00_006690
OG0000010	FhHiC23_g7781.t1	EWB00_007719
OG0000010	FhHiC23_g4046.t1, FhHiC23_g3556.t1	EWB00_004748
OG0000010	FhHiC23_g4342.t1, FhHiC23_g13481.t1, FhHiC23_g12470.t1, FhHiC23_g16493.t1	EWB00_000088
OG0000012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6	EWB00_002832
OG0000014	FhHiC23_g14469.t1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	FhHiC23_g13988.t1, FhHiC23_g13993.t1	EWB00_008878, EWB00_008877
OG0000015	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	FhHiC23_g16654.t1, FhHiC23_g14001.t1	EWB00_004377.1, EWB00_004377.2
OG0000015	FhHiC23_g14206.t1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	FhHiC23_g14628.t1, FhHiC23_g13668.t1, FhHiC23_g13669.t1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000019	FhHiC23_g5935.t1, FhHiC23_g5936.t1	EWB00_004344, EWB00_004346
OG0000021	FhHiC23_g13529.t1, FhHiC23_g12834.t1	EWB00_010539
OG0000021	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000022	FhHiC23_g10034.t1, FhHiC23_g10034.t2	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	FhHiC23_g2807.t1, FhHiC23_g14990.t1	EWB00_001990
OG0000024	FhHiC23_g8663.t1	EWB00_007079
OG0000024	FhHiC23_g1523.t1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1	EWB00_008906
OG0000026	FhHiC23_g1282.t1	EWB00_002251.1, EWB00_002251.2
OG0000026	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1	EWB00_002721, EWB00_002746
OG0000027	FhHiC23_g5213.t1	EWB00_003944
OG0000028	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	FhHiC23_g7784.t2, FhHiC23_g7784.t1	EWB00_008857
OG0000029	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1	EWB00_007517
OG0000029	FhHiC23_g16496.t1	EWB00_004876, EWB00_004878
OG0000030	FhHiC23_g11202.t1	EWB00_003826
